"","Table 2: Fuel Poverty by Administrative Area, 2019","...2","...3","...4","...5","...6","...7"
"1",NA,NA,NA,NA,NA,NA,NA
"2","Area Codes","Area name",NA,NA,"Number of households1","Number of households in fuel poverty1","Proportion of households fuel poor (%)"
"3","E92000001","ENGLAND",NA,NA,"23661751","3175979","13.422417470287806"
"4","E12000001","NORTH EAST",NA,NA,"1191912","176869","14.839098859647356"
"5","E06000047",NA,"County Durham",NA,"235959","36620","15.519645362117995"
"6","E06000005",NA,"Darlington",NA,"49204","6881","13.9846353954963"
"7","E06000001",NA,"Hartlepool",NA,"42645","6292","14.754367452221832"
"8","E06000002",NA,"Middlesbrough",NA,"60318","9966","16.522431115090022"
"9","E06000057",NA,"Northumberland",NA,"146167","20640","14.120834388062969"
"10","E06000003",NA,"Redcar and Cleveland",NA,"62870","9066","14.420232225226659"
"11","E06000004",NA,"Stockton-on-Tees",NA,"83510","10829","12.967309304274938"
