"","Table 2: Fuel poor households by administrative area [Notes 3 and 4], 2022","...2","...3","...4","...5","...6","...7"
"316","E06000026",NA,"Plymouth",NA,"119930","17361","14.475"
"317","E06000066",NA,"Somerset",NA,"261915","34901","13.324999999999999"
"318","E06000025",NA,"South Gloucestershire",NA,"123683","11624","9.3979999999999997"
"319","E06000030",NA,"Swindon",NA,"100585","9833","9.7750000000000004"
"320","E06000027",NA,"Torbay",NA,"65981","10240","15.519"
"321","E06000054",NA,"Wiltshire",NA,"225413","25244","11.198"
"322","E10000008",NA,"Devon",NA,"368855","51547","13.97"
"323","E07000040",NA,NA,"East Devon","69825","9132","13.077999999999999"
"324","E07000041",NA,NA,"Exeter","55094","6843","12.42"
"325","E07000042",NA,NA,"Mid Devon","37277","5444","14.603999999999999"
"326","E07000043",NA,NA,"North Devon","45179","7052","15.609"
"327","E07000044",NA,NA,"South Hams","41155","5834","14.175000000000001"
"328","E07000045",NA,NA,"Teignbridge","62558","8256","13.196999999999999"
"329","E07000046",NA,NA,"Torridge","31833","5008","15.731999999999999"
"330","E07000047",NA,NA,"West Devon","25934","3978","15.337999999999999"
"331","E10000013",NA,"Gloucestershire",NA,"292565","35491","12.13"
"332","E07000078",NA,NA,"Cheltenham","55420","6182","11.154"
"333","E07000079",NA,NA,"Cotswold","42558","5607","13.173999999999999"
"334","E07000080",NA,NA,"Forest of Dean","38902","6147","15.801"
"335","E07000081",NA,NA,"Gloucester","58044","6714","11.567"
"336","E07000082",NA,NA,"Stroud","54745","6864","12.538"
"337","E07000083",NA,NA,"Tewkesbury","42896","3977","9.2710000000000008"
"338",NA,NA,NA,NA,NA,NA,"England"
"339",NA,NA,NA,NA,NA,NA,NA
"340","Back to contents",NA,NA,NA,NA,NA,NA
