"","Table 2: Fuel Poverty by Local Authority1, 2015","...2","...3","...4","...5","...6"
"109","E07000039","South Derbyshire","East Midlands","39970","4513","11.2909682261696"
"110","E07000140","South Holland","East Midlands","38197","4442","11.629185538131299"
"111","E07000141","South Kesteven","East Midlands","58801","6828","11.6120474141596"
"112","E07000155","South Northamptonshire","East Midlands","35654","3681","10.324227295675099"
"113","E07000156","Wellingborough","East Midlands","32892","4188","12.732579350602"
"114","E07000142","West Lindsey","East Midlands","39376","5017","12.7412637139374"
"115","E08000025","Birmingham","West Midlands","418199","65117","15.5708167642677"
"116","E07000234","Bromsgrove","West Midlands","38964","4124","10.584128939533901"
"117","E07000192","Cannock Chase","West Midlands","41380","4347","10.505074915418099"
"118","E08000026","Coventry","West Midlands","130907","18878","14.4209247786597"
"119","E08000027","Dudley","West Midlands","132185","15648","11.837954382116001"
"120","E07000193","East Staffordshire","West Midlands","48081","6631","13.791310496869899"
"121","E06000019","Herefordshire County of","West Midlands","79804","13287","16.649541376372103"
"122","E07000194","Lichfield","West Midlands","41976","4597","10.951496093005501"
"123","E07000235","Malvern Hills","West Midlands","32795","5100","15.551151090105201"
"124","E07000195","Newcastle-under-Lyme","West Midlands","53533","6840","12.7771654867091"
"125","E07000218","North Warwickshire","West Midlands","26300","3123","11.874524714828901"
"126","E07000219","Nuneaton and Bedworth","West Midlands","53623","6034","11.2526341308767"
"127","E07000236","Redditch","West Midlands","35323","3696","10.4634374203777"
"128","E07000220","Rugby","West Midlands","42622","5038","11.8201867580123"
"129","E08000028","Sandwell","West Midlands","123652","17684","14.301426584284899"
"130","E06000051","Shropshire","West Midlands","131948","21139","16.020705126261898"
"131","E08000029","Solihull","West Midlands","87584","9261","10.573849104859299"
"132","E07000196","South Staffordshire","West Midlands","45267","4859","10.734088850597601"
"133","E07000197","Stafford","West Midlands","56689","7087","12.501543509322799"
"134","E07000198","Staffordshire Moorlands","West Midlands","42522","5506","12.948591317435701"
"135","E06000021","Stoke-on-Trent","West Midlands","109500","15349","14.0173515981735"
"136","E07000221","Stratford-on-Avon","West Midlands","52903","7203","13.6154849441431"
"137","E07000199","Tamworth","West Midlands","32192","3463","10.757331013916501"
"138","E06000020","Telford and Wrekin","West Midlands","67827","7903","11.6517021245227"
"139","E08000030","Walsall","West Midlands","109737","14458","13.175136918268199"
"140","E07000222","Warwick","West Midlands","59749","7376","12.3449764849621"
"141","E08000031","Wolverhampton","West Midlands","103970","15158","14.579205540059601"
"142","E07000237","Worcester","West Midlands","42792","5181","12.107403252944501"
"143","E07000238","Wychavon","West Midlands","50362","6398","12.7040228743894"
"144","E07000239","Wyre Forest","West Midlands","43741","5502","12.5785875951624"
"145","E07000200","Babergh","East","38826","3737","9.6249935610158097"
"146","E07000066","Basildon","East","75113","4248","5.6554790781888604"
"147","E06000055","Bedford","East","65930","5582","8.4665554375853205"
"148","E07000067","Braintree","East","63048","4861","7.7099987311254905"
"149","E07000143","Breckland","East","56348","5367","9.5247391211755499"
"150","E07000068","Brentwood","East","31653","1983","6.2648090228414404"
"151","E07000144","Broadland","East","55105","3619","6.5674621177751593"
"152","E07000095","Broxbourne","East","38876","2329","5.9908426792879901"
"153","E07000008","Cambridge","East","48272","5165","10.699784554192899"
"154","E07000069","Castle Point","East","37645","2122","5.6368707663700395"
"155","E06000056","Central Bedfordshire","East","107755","7182","6.6651199480302497"
"156","E07000070","Chelmsford","East","71951","4441","6.1722561187474803"
"157","E07000071","Colchester","East","74099","5278","7.1229031430923504"
"158","E07000096","Dacorum","East","61866","4138","6.6886496621730798"
"159","E07000009","East Cambridgeshire","East","35732","2626","7.3491548192096703"
"160","E07000097","East Hertfordshire","East","58434","4030","6.8966697470650704"
"161","E07000072","Epping Forest","East","53746","3842","7.1484389535965507"
"162","E07000010","Fenland","East","41836","2910","6.9557319055359006"
"163","E07000201","Forest Heath","East","26191","2265","8.6480088580046601"
"164","E07000145","Great Yarmouth","East","43496","4276","9.830789038072469"
"165","E07000073","Harlow","East","35775","2305","6.4430468204053097"
"166","E07000098","Hertsmere","East","41085","2748","6.6885724717049992"
"167","E07000011","Huntingdonshire","East","71591","4359","6.0887541730105701"
"168","E07000202","Ipswich","East","59136","5239","8.8592397186147203"
"169","E07000146","King's Lynn and West Norfolk","East","65018","6567","10.100279922483001"
"170","E06000032","Luton","East","76762","6827","8.8937234569187886"
"171","E07000074","Maldon","East","26668","2258","8.4670766461676905"
"172","E07000203","Mid Suffolk","East","41582","4258","10.2400076956375"
"173","E07000099","North Hertfordshire","East","55193","4049","7.3360752269309506"
"174","E07000147","North Norfolk","East","47616","5357","11.250420026881699"
"175","E07000148","Norwich","East","62232","6146","9.875948065304021"
"176","E06000031","Peterborough","East","76558","5935","7.7522923796337402"
"177","E07000075","Rochford","East","34672","1900","5.4799261652053506"
"178","E07000012","South Cambridgeshire","East","61942","4484","7.2390300603790605"
"179","E07000149","South Norfolk","East","54575","5057","9.26614750343564"
"180","E06000033","Southend-on-Sea","East","77103","6445","8.3589484196464507"
"181","E07000100","St Albans","East","57938","3820","6.5932548586420001"
"182","E07000204","St Edmundsbury","East","47324","4070","8.6002873806102595"
"183","E07000101","Stevenage","East","36045","2316","6.4253017062005799"
"184","E07000205","Suffolk Coastal","East","55416","4818","8.6942399307059297"
"185","E07000076","Tendring","East","64182","4735","7.3774578542270399"
"186","E07000102","Three Rivers","East","36278","2308","6.36198246871382"
"187","E06000034","Thurrock","East","64459","4359","6.76243813897206"
"188","E07000077","Uttlesford","East","32370","2901","8.9620018535681201"
"189","E07000103","Watford","East","37824","3019","7.9817047377326604"
"190","E07000206","Waveney","East","52617","4919","9.3486895870156008"
"191","E07000104","Welwyn Hatfield","East","45091","3327","7.3784125435230994"
"192","E09000002","Barking and Dagenham","London","70973","7117","10.0277570343652"
"193","E09000003","Barnet","London","138304","12729","9.2036383618695101"
"194","E09000004","Bexley","London","94290","7202","7.6381376604093703"
"195","E09000005","Brent","London","112210","14702","13.102219053560299"
"196","E09000006","Bromley","London","133233","9210","6.9127018081105991"
"197","E09000007","Camden","London","99264","9859","9.9321002578981297"
"198","E09000001","City of London","London","4456","216","4.8473967684021497"
"199","E09000008","Croydon","London","147611","14815","10.0365148938765"
"200","E09000009","Ealing","London","126309","14363","11.3713195417587"
"201","E09000010","Enfield","London","122013","11334","9.2891741043987111"
"202","E09000011","Greenwich","London","102919","9467","9.1984959045462897"
"203","E09000012","Hackney","London","103419","10155","9.8192788559162203"
"204","E09000013","Hammersmith and Fulham","London","82033","8747","10.6627820511258"
"205","E09000014","Haringey","London","103718","13033","12.565803428527399"
"206","E09000015","Harrow","London","85773","10104","11.779930747438"
"207","E09000016","Havering","London","98941","7726","7.8086940702034493"
"208","E09000017","Hillingdon","London","102052","9823","9.62548504683887"
"209","E09000018","Hounslow","London","96560","11268","11.669428334714201"
"210","E09000019","Islington","London","95172","9293","9.7644265119993303"
"211","E09000020","Kensington and Chelsea","London","80004","6975","8.7183140842957787"
"212","E09000021","Kingston upon Thames","London","64797","6072","9.370804203898329"
"213","E09000022","Lambeth","London","132268","13287","10.045513654096199"
"214","E09000023","Lewisham","London","118129","12045","10.196480119191701"
"215","E09000024","Merton","London","80252","8151","10.1567562179136"
"216","E09000025","Newham","London","103415","16195","15.6602040322971"
"217","E09000026","Redbridge","London","100885","11570","11.4685037418843"
"218","E09000027","Richmond upon Thames","London","81241","5995","7.3792789355128603"
"219","E09000028","Southwark","London","122494","10718","8.7498163175339201"
"220","E09000029","Sutton","London","79607","5994","7.5294886128104297"
"221","E09000030","Tower Hamlets","London","102982","10871","10.5562137072498"
"222","E09000031","Waltham Forest","London","98585","13033","13.2200639042451"
"223","E09000032","Wandsworth","London","132762","13069","9.8439312453864787"
"224","E09000033","Westminster","London","107584","10067","9.3573393813206387"
"225","E07000223","Adur","South East","28094","2425","8.6317363138036605"
"226","E07000224","Arun","South East","69500","6139","8.8330935251798604"
"227","E07000105","Ashford","South East","49812","4713","9.4615755239701294"
"228","E07000004","Aylesbury Vale","South East","72449","6441","8.8903918618614508"
"229","E07000084","Basingstoke and Deane","South East","72321","5709","7.8939727050234403"
"230","E06000036","Bracknell Forest","South East","47870","3321","6.9375391685815702"
"231","E06000043","Brighton and Hove","South East","126536","16074","12.703104254915601"
"232","E07000106","Canterbury","South East","63287","6914","10.9248344841753"
"233","E07000177","Cherwell","South East","59131","5481","9.2692496321726292"
"234","E07000225","Chichester","South East","51906","4847","9.338034138635221"
"235","E07000005","Chiltern","South East","38499","2874","7.4651289643886898"
"236","E07000226","Crawley","South East","44528","3769","8.4643370463528598"
"237","E07000107","Dartford","South East","41766","3624","8.6769142364602807"
"238","E07000108","Dover","South East","50249","5407","10.7604131425501"
"239","E07000085","East Hampshire","South East","49250","3818","7.7522842639593899"
"240","E07000061","Eastbourne","South East","46929","4467","9.5186345330179591"
"241","E07000086","Eastleigh","South East","54351","4452","8.1912016338245888"
"242","E07000207","Elmbridge","South East","55114","3475","6.3051130384294396"
"243","E07000208","Epsom and Ewell","South East","31011","2336","7.5328109380542392"
"244","E07000087","Fareham","South East","48494","3662","7.5514496638759407"
"245","E07000088","Gosport","South East","36898","3597","9.7484958534337895"
"246","E07000109","Gravesham","South East","42136","4560","10.822099867097"
"247","E07000209","Guildford","South East","56339","5049","8.9618204085979496"
"248","E07000089","Hart","South East","37022","2780","7.5090486737615496"
"249","E07000062","Hastings","South East","42832","4859","11.3443220022413"
"250","E07000090","Havant","South East","53398","4826","9.0377916775909206"
"251","E07000227","Horsham","South East","57172","4382","7.6645910585601298"
"252","E06000046","Isle of Wight","South East","63595","6730","10.5825929711455"
"253","E07000063","Lewes","South East","43903","3723","8.4800583103660294"
"254","E07000110","Maidstone","South East","66088","6406","9.6931364241617199"
"255","E06000035","Medway","South East","110669","12682","11.459396940426"
"256","E07000228","Mid Sussex","South East","59731","4816","8.0628149537091289"
"257","E06000042","Milton Keynes","South East","102855","8158","7.9315541295999203"
"258","E07000210","Mole Valley","South East","37312","2865","7.6784948542024001"
"259","E07000091","New Forest","South East","80024","6511","8.1363091072678202"
"260","E07000178","Oxford","South East","57729","7406","12.8289074815084"
"261","E06000044","Portsmouth","South East","88969","12868","14.4634648023469"
"262","E06000038","Reading","South East","65528","9085","13.864302282993499"
"263","E07000211","Reigate and Banstead","South East","57777","4346","7.5220243349429703"
"264","E07000064","Rother","South East","42586","3986","9.3598835297985303"
"265","E07000212","Runnymede","South East","34119","2820","8.2651894838652993"
"266","E07000092","Rushmoor","South East","37966","3427","9.0264973924037299"
"267","E07000111","Sevenoaks","South East","48978","3904","7.9709257217526197"
"268","E07000112","Shepway","South East","49255","5097","10.348188001218201"
"269","E06000039","Slough","South East","52860","6711","12.6958002270148"
"270","E07000006","South Bucks","South East","27606","1884","6.8246033470984599"
"271","E07000179","South Oxfordshire","South East","56431","4809","8.521911715192001"
"272","E06000045","Southampton","South East","102383","12739","12.4424953361398"
"273","E07000213","Spelthorne","South East","41183","3163","7.6803535439380299"
"274","E07000214","Surrey Heath","South East","34993","2672","7.6358128768610891"
"275","E07000113","Swale","South East","57918","5954","10.280051106737099"
"276","E07000215","Tandridge","South East","34777","2638","7.5854731575466499"
"277","E07000093","Test Valley","South East","49612","4124","8.3125050391034403"
"278","E07000114","Thanet","South East","61962","6989","11.2794938833479"
"279","E07000115","Tonbridge and Malling","South East","50159","4166","8.3055882294304109"
"280","E07000116","Tunbridge Wells","South East","49089","4763","9.7027847379249899"
"281","E07000180","Vale of White Horse","South East","51528","4306","8.3566216426020805"
"282","E07000216","Waverley","South East","51358","4033","7.8527201215000604"
"283","E07000065","Wealden","South East","65253","5568","8.532941014206239"
"284","E06000037","West Berkshire","South East","64926","5446","8.3880109663308993"
"285","E07000181","West Oxfordshire","South East","45119","3913","8.6726212903654805"
"286","E07000094","Winchester","South East","48834","4228","8.6579022811975292"
"287","E06000040","Windsor and Maidenhead","South East","60777","4976","8.1873076986359994"
"288","E07000217","Woking","South East","41122","3182","7.737950488789461"
"289","E06000041","Wokingham","South East","62921","4446","7.0660034010902599"
"290","E07000229","Worthing","South East","48948","4499","9.19138677780502"
"291","E07000007","Wycombe","South East","70705","6352","8.9838059543172299"
"292","E06000022","Bath and North East Somerset","South West","77111","9555","12.3912282294355"
"293","E06000028","Bournemouth","South West","86062","9044","10.508703028049499"
"294","E06000023","Bristol City of","South West","191219","24574","12.851233402538501"
"295","E07000078","Cheltenham","South West","53378","5660","10.603619468694999"
"296","E07000048","Christchurch","South West","22507","1771","7.8686630825965302"
"297","E06000052","Cornwall","South West","241496","34176","14.151787193162599"
"298","E07000079","Cotswold","South West","38078","5216","13.698198434791701"
"299","E07000040","East Devon","South West","61850","6489","10.4915117219078"
"300","E07000049","East Dorset","South West","39397","2950","7.4878797878010994"
"301","E07000041","Exeter","South West","51631","5947","11.518273905212"
"302","E07000080","Forest of Dean","South West","35805","4771","13.324954615277202"
"303","E07000081","Gloucester","South West","52849","4650","8.7986527654260289"
"304","E06000053","Isles of Scilly","South West","1046","203","19.407265774378597"
"305","E07000187","Mendip","South West","48411","5626","11.621325731755199"
"306","E07000042","Mid Devon","South West","34326","4677","13.625240342597401"
"307","E07000043","North Devon","South West","41888","5500","13.1302521008403"
"308","E07000050","North Dorset","South West","30087","3329","11.064579386445999"
"309","E06000024","North Somerset","South West","92605","8382","9.0513471194859907"
"310","E06000026","Plymouth","South West","114545","13778","12.0284604303985"
"311","E06000029","Poole","South West","66518","5394","8.1090832556601189"
"312","E07000051","Purbeck","South West","20550","2012","9.7907542579075404"
"313","E07000188","Sedgemoor","South West","51156","5748","11.2362186253812"
"314","E06000025","South Gloucestershire","South West","112706","9877","8.7635085975901905"
"315","E07000044","South Hams","South West","38634","4796","12.4139359113734"
"316","E07000189","South Somerset","South West","72911","8870","12.1655168630248"
"317","E07000082","Stroud","South West","50032","5196","10.385353373840701"
"318","E06000030","Swindon","South West","92777","8335","8.983907649525209"
"319","E07000190","Taunton Deane","South West","49245","5159","10.476190476190499"
"320","E07000045","Teignbridge","South West","56597","6153","10.871600968249199"
"321","E07000083","Tewkesbury","South West","36877","3142","8.5202158526995095"
"322","E06000027","Torbay","South West","61923","6702","10.823119034930501"
"323","E07000046","Torridge","South West","29308","4156","14.1804285519312"
"324","E07000047","West Devon","South West","23813","3427","14.391298870364899"
"325","E07000052","West Dorset","South West","46559","5134","11.0268691337872"
"326","E07000191","West Somerset","South West","16442","2234","13.5871548473422"
"327","E07000053","Weymouth and Portland","South West","29926","3289","10.9904430929626"
"328","E06000054","Wiltshire","South West","203780","23965","11.7602316223378"
"329",NA,NA,NA,NA,NA,NA
"330","1 The geographies are based on pre-2012 geography codes. More information on geography code changes can be found at the ONS website:",NA,NA,NA,NA,NA
"331","https://www.ons.gov.uk/methodology/geography/ukgeographies",NA,NA,NA,NA,NA
