"","Table 2: Fuel Poverty by Local Authority1, 2015","...2","...3","...4","...5","...6"
"1",NA,NA,NA,NA,NA,NA
"2","LA Code","LA Name","Region","Estimated number of households","Estimated number of fuel poor households","Proportion of households fuel poor (%)"
"3","E06000047","County Durham","North East","226940","30242","13.325989248259502"
"4","E06000005","Darlington","North East","47332","6663","14.077157103016999"
"5","E08000020","Gateshead","North East","90465","11445","12.6513016083568"
"6","E06000001","Hartlepool","North East","41016","5262","12.829139847864198"
"7","E06000002","Middlesbrough","North East","58011","9057","15.6125562393339"
"8","E08000021","Newcastle upon Tyne","North East","118817","17604","14.816061674676201"
"9","E08000022","North Tyneside","North East","92576","10300","11.125993778085"
"10","E06000048","Northumberland","North East","140543","18389","13.0842517948244"
"11","E06000003","Redcar and Cleveland","North East","60458","7712","12.755962817162301"
"12","E08000023","South Tyneside","North East","68147","8364","12.2734676508137"
"13","E06000004","Stockton-on-Tees","North East","80287","9907","12.339482107937801"
"14","E08000024","Sunderland","North East","121491","16997","13.990336732762099"
"15","E07000026","Allerdale","North West","43181","4902","11.352215094601799"
"16","E07000027","Barrow-in-Furness","North West","31851","4297","13.490942199617001"
"17","E06000008","Blackburn with Darwen","North West","58486","8162","13.955476524296401"
"18","E06000009","Blackpool","North West","65703","8835","13.4468745719374"
"19","E08000001","Bolton","North West","118662","14811","12.4816706274966"
"20","E07000117","Burnley","North West","38309","5611","14.646688767652499"
"21","E08000002","Bury","North West","79708","8938","11.213429015908099"
"22","E07000028","Carlisle","North West","49275","6038","12.253678335870099"
"23","E06000049","Cheshire East","North West","162686","16289","10.012539493256901"
"24","E06000050","Cheshire West and Chester","North West","144311","14627","10.135748487641299"
"25","E07000118","Chorley","North West","45830","4494","9.8058040584769799"
"26","E07000029","Copeland","North West","31160","3396","10.8985879332478"
"27","E07000030","Eden","North West","23501","3004","12.782434790008901"
"28","E07000119","Fylde","North West","35564","3038","8.5423461927792204"
"29","E06000006","Halton","North West","54361","5854","10.768749655083599"
"30","E07000120","Hyndburn","North West","35029","5050","14.416626223985801"
"31","E08000011","Knowsley","North West","62600","6924","11.0607028753994"
"32","E07000121","Lancaster","North West","59013","7530","12.759900360937401"
"33","E08000012","Liverpool","North West","210601","30210","14.3446612314282"
"34","E08000003","Manchester","North West","208928","31939","15.2870845458723"
"35","E08000004","Oldham","North West","91541","11032","12.051430506549"
"36","E07000122","Pendle","North West","38092","6027","15.822219888690499"
"37","E07000123","Preston","North West","58723","8218","13.994516628918799"
"38","E07000124","Ribble Valley","North West","24545","2608","10.6253819515176"
"39","E08000005","Rochdale","North West","89308","11034","12.3549961929502"
"40","E07000125","Rossendale","North West","29631","3608","12.1764368397962"
"41","E08000006","Salford","North West","105638","12076","11.431492455366401"
"42","E08000014","Sefton","North West","120325","13169","10.944525244130499"
"43","E07000031","South Lakeland","North West","47506","4821","10.148191807350699"
"44","E07000126","South Ribble","North West","47039","4672","9.9321839324815606"
"45","E08000013","St. Helens","North West","77295","8429","10.904974448541301"
"46","E08000007","Stockport","North West","124472","12746","10.240053988045499"
"47","E08000008","Tameside","North West","96846","11512","11.8869132437065"
"48","E08000009","Trafford","North West","96386","9519","9.8759155894009503"
"49","E06000007","Warrington","North West","86844","8541","9.8348763299709798"
"50","E07000127","West Lancashire","North West","46301","4542","9.8097233321094599"
"51","E08000010","Wigan","North West","139097","15216","10.939128809392001"
"52","E08000015","Wirral","North West","143347","16028","11.181259461307199"
"53","E07000128","Wyre","North West","48255","4739","9.8207439643560299"
"54","E08000016","Barnsley","Yorkshire and The Humber","102086","11572","11.335540622612299"
"55","E08000032","Bradford","Yorkshire and The Humber","201995","30380","15.039976237035599"
"56","E08000033","Calderdale","Yorkshire and The Humber","89795","12170","13.553093156634599"
"57","E07000163","Craven","Yorkshire and The Humber","24922","3124","12.5351095417703"
"58","E08000017","Doncaster","Yorkshire and The Humber","128226","14511","11.316737635113"
"59","E06000011","East Riding of Yorkshire","Yorkshire and The Humber","144997","14736","10.1629688890115"
"60","E07000164","Hambleton","Yorkshire and The Humber","38672","4124","10.664046338436101"
"61","E07000165","Harrogate","Yorkshire and The Humber","68116","7074","10.385225204063699"
"62","E06000010","Kingston upon Hull City of","Yorkshire and The Humber","114079","15760","13.8149878592905"
"63","E08000034","Kirklees","Yorkshire and The Humber","175820","24570","13.9745193948356"
"64","E08000035","Leeds","Yorkshire and The Humber","324995","43871","13.498976907336999"
"65","E06000012","North East Lincolnshire","Yorkshire and The Humber","70655","8632","12.217111315547401"
"66","E06000013","North Lincolnshire","Yorkshire and The Humber","71620","7770","10.848924881318101"
"67","E07000166","Richmondshire","Yorkshire and The Humber","20509","2518","12.277536691208701"
"68","E08000018","Rotherham","Yorkshire and The Humber","109821","11670","10.6263829322261"
"69","E07000167","Ryedale","Yorkshire and The Humber","22868","3043","13.3068042679727"
"70","E07000168","Scarborough","Yorkshire and The Humber","50101","6181","12.337079100217601"
"71","E07000169","Selby","Yorkshire and The Humber","35033","3213","9.1713527245739694"
"72","E08000019","Sheffield","Yorkshire and The Humber","233110","28708","12.3152159924499"
"73","E08000036","Wakefield","Yorkshire and The Humber","142303","15547","10.9252791578533"
"74","E06000014","York","Yorkshire and The Humber","84694","9779","11.5462724632205"
"75","E07000032","Amber Valley","East Midlands","53923","6784","12.5809023978636"
"76","E07000170","Ashfield","East Midlands","52228","6193","11.857624262847501"
"77","E07000171","Bassetlaw","East Midlands","48929","5678","11.604569886979101"
"78","E07000129","Blaby","East Midlands","39665","3973","10.0163872431615"
"79","E07000033","Bolsover","East Midlands","33624","3908","11.6226504877468"
"80","E07000136","Boston","East Midlands","27949","3883","13.893162546066002"
"81","E07000172","Broxtowe","East Midlands","48045","5716","11.897179727338999"
"82","E07000130","Charnwood","East Midlands","68248","8540","12.5131871996249"
"83","E07000034","Chesterfield","East Midlands","48000","5882","12.2541666666667"
"84","E07000150","Corby","East Midlands","25895","2968","11.461672137478301"
"85","E07000151","Daventry","East Midlands","32469","3445","10.6101204225569"
"86","E06000015","Derby","East Midlands","104871","15139","14.435830687225302"
"87","E07000035","Derbyshire Dales","East Midlands","31580","3920","12.4129195693477"
"88","E07000137","East Lindsey","East Midlands","62513","7969","12.747748468318601"
"89","E07000152","East Northamptonshire","East Midlands","36556","4263","11.6615603457709"
"90","E07000036","Erewash","East Midlands","49943","6495","13.004825501071199"
"91","E07000173","Gedling","East Midlands","50626","5789","11.4348358550942"
"92","E07000131","Harborough","East Midlands","35804","3546","9.903921349569881"
"93","E07000037","High Peak","East Midlands","39969","4965","12.422127148540101"
"94","E07000132","Hinckley and Bosworth","East Midlands","46554","5219","11.210637109593199"
"95","E07000153","Kettering","East Midlands","40677","5058","12.4345453204514"
"96","E06000016","Leicester","East Midlands","126348","22985","18.1918194193814"
"97","E07000138","Lincoln","East Midlands","40851","5982","14.6434603804068"
"98","E07000174","Mansfield","East Midlands","46091","5560","12.0630925777267"
"99","E07000133","Melton","East Midlands","22047","2826","12.8180704857804"
"100","E07000175","Newark and Sherwood","East Midlands","50060","5946","11.8777467039553"
"101","E07000038","North East Derbyshire","East Midlands","44199","4883","11.047761261567"
"102","E07000139","North Kesteven","East Midlands","47091","4843","10.284343080418799"
"103","E07000134","North West Leicestershire","East Midlands","40113","4535","11.305561787949001"
"104","E07000154","Northampton","East Midlands","90998","11716","12.875008241939401"
"105","E06000018","Nottingham","East Midlands","129446","20493","15.831311898397802"
"106","E07000135","Oadby and Wigston","East Midlands","21935","2628","11.9808525188056"
"107","E07000176","Rushcliffe","East Midlands","47034","4695","9.9821405791554998"
"108","E06000017","Rutland","East Midlands","15389","1744","11.3327701605043"
