Area Codes,households,fuel_poor,proportion
E06000001,42645,6292,14.754367452221832
E06000002,60318,9966,16.522431115090022
E06000003,62870,9066,14.420232225226659
E06000004,83510,10829,12.967309304274938
E06000005,49204,6881,13.9846353954963
E06000006,56233,7889,14.029128803371686
E06000007,89883,10401,11.571709889523046
E06000008,60504,9922,16.39891577416369
E06000009,68041,11066,16.263723343278315
E06000010,119733,23434,19.571880768042227
E06000011,152382,21259,13.951122836030502
E06000012,74239,12396,16.697423187273536
E06000013,75168,12097,16.093284376330352
E06000014,88898,11992,13.489617314225292
E06000015,109670,17089,15.582201148901248
E06000016,132344,25118,18.979326603397205
E06000017,16102,1890,11.737672338839895
E06000018,135580,25068,18.489452721640358
E06000019,84028,13902,16.544485171609463
E06000020,71336,11101,15.56156779185825
E06000021,115172,25134,21.823012537769596
E06000022,81129,8314,10.247876838122002
E06000023,200622,27615,13.764691808475641
E06000024,97431,8322,8.541429319210518
E06000025,118445,9439,7.969099582084511
E06000026,120391,14867,12.34892973727272
E06000027,65146,6869,10.544008841678691
E06000030,97673,9402,9.625996949003307
E06000031,80172,12192,15.207304295764107
E06000032,80287,12886,16.049920908739896
E06000033,80525,11904,14.782986650108661
E06000034,67416,9006,13.35884656461374
E06000035,114663,10207,8.90173813697531
E06000036,49677,2657,5.348551643617771
E06000037,67274,4234,6.2936647144513485
E06000038,67961,6999,10.298553582201556
E06000039,54738,5105,9.326245021739926
E06000040,62957,3723,5.913560048922281
E06000041,65254,3047,4.6694455512305755
E06000042,106654,6746,6.325126108725411
E06000043,130998,13723,10.475732453930595
E06000044,92144,9873,10.71475082479597
E06000045,106104,11367,10.713073965166252
E06000046,65861,5839,8.86564127480603
E06000047,235959,36620,15.519645362117995
E06000049,168372,18336,10.890171762525835
E06000050,149439,17869,11.95738729515053
E06000051,138460,22819,16.480572006355626
E06000052,253805,29123,11.474557238825083
E06000053,1107,130,11.743450767841011
E06000054,214350,21058,9.824119430837415
E06000055,68890,9588,13.917840034838147
E06000056,112472,13023,11.578881855039477
E06000057,146167,20640,14.120834388062969
E06000058,183610,18889,10.28756603670824
E06000059,175109,16280,9.29706639864313
E06000060,216950,14131,6.513482369209496
E07000008,50486,7535,14.924929683476606
E07000009,37304,5097,13.663414111087283
E07000010,43565,6887,15.80856191897165
E07000011,74808,8487,11.345043310875843
E07000012,64768,6677,10.309103260869565
E07000026,44660,7209,16.14196148678907
E07000027,32967,4704,14.26881426881427
E07000028,50955,7502,14.722794622706308
E07000029,32275,5072,15.714949651432997
E07000030,24309,3474,14.291003332099223
E07000031,49212,5883,11.954401365520605
E07000032,56377,7872,13.963140997215175
E07000033,35135,5707,16.243062473317206
E07000034,50185,7485,14.914815183819865
E07000035,33096,4468,13.500120860526952
E07000036,52240,6951,13.305895865237366
E07000037,41854,5499,13.138529172838917
E07000038,46261,6247,13.503815308791422
E07000039,41778,4916,11.766958686389966
E07000040,64942,6148,9.466908934125835
E07000041,54298,6439,11.858631993811928
E07000042,36079,4162,11.535796446686438
E07000043,43963,5073,11.539248913859382
E07000044,40597,3834,9.444047589723379
E07000045,59478,5886,9.896096035508927
E07000046,30763,3637,11.8226440854273
E07000047,25010,2872,11.483406637345063
E07000061,48630,4118,8.46802385358832
E07000062,44311,4780,10.787389135880481
E07000063,45481,3216,7.07108462874607
E07000064,44106,3807,8.631478710379541
E07000065,67567,4524,6.69557624284044
E07000066,78458,9275,11.821611562874404
