"","LA.Code","households","fuel_poor","proportion"
"132","E07000105",51261,4362,8.50939310586996
"133","E07000106",65134,6576,10.0961095587558
"134","E07000107",42962,2926,6.81066989432522
"135","E07000108",51615,5196,10.066841034583
"136","E07000109",43333,3826,8.82929868691298
"137","E07000110",67963,5419,7.97345614525551
"138","E07000111",50395,3685,7.31223335648378
"139","E07000112",50597,5157,10.1923038915351
"140","E07000113",59559,5491,9.21942947329539
"141","E07000114",63692,6826,10.7172015323746
"142","E07000115",51581,3770,7.30889280936779
"143","E07000116",50451,4276,8.47555053418168
"144","E07000117",39344,5353,13.6056323708825
"145","E07000118",47066,4687,9.95835635065652
"146","E07000119",36494,3527,9.66460240039459
"147","E07000120",35972,4727,13.140776159235
"148","E07000121",60626,8370,13.8059578398707
"149","E07000122",39128,5935,15.168166019219
"150","E07000123",60267,8057,13.3688419864934
"151","E07000124",25243,2791,11.0565305233134
"152","E07000125",30401,3450,11.3483109108253
"153","E07000126",48311,4515,9.34569766719795
"154","E07000127",47528,5477,11.5237333782192
"155","E07000128",49558,5500,11.0981072682513
"156","E07000129",41051,3433,8.3627682638669
"157","E07000130",70689,7105,10.0510687660032
"158","E07000131",37075,3285,8.86041807147674
"159","E07000132",48179,4359,9.04751032607568
"160","E07000133",22815,2412,10.5719921104536
"161","E07000134",41508,4052,9.76197359545148
"162","E07000135",22757,2017,8.86320692534165
"163","E07000136",28878,3461,11.9849020015237
"164","E07000137",64777,9312,14.3754727758309
"165","E07000138",42291,4672,11.0472677401811
"166","E07000139",48676,5047,10.3685594543512
"167","E07000140",39492,4579,11.5947533677707
"168","E07000141",60841,6075,9.9850429808846
"169","E07000142",40755,5207,12.776346460557
"170","E07000143",58302,6573,11.2740557785325
"171","E07000144",57002,5398,9.46984316339778
"172","E07000145",44976,5705,12.684542867307
"173","E07000146",67221,8187,12.1792297050029
"174","E07000147",49292,6661,13.5133490221537
"175","E07000148",64291,7129,11.088643822619
"176","E07000149",56471,5994,10.61429760408
"184","E07000163",25747,2733,10.6148289121063
"185","E07000164",39983,3790,9.47902858714954
"186","E07000165",70361,5832,8.28868265090036
"187","E07000166",21227,2201,10.3688698355868
"188","E07000167",23687,2782,11.7448389411914
"189","E07000168",51733,6237,12.0561343823092
"190","E07000169",36179,3006,8.30868736007076
"191","E07000170",54004,5700,10.5547737204652
"192","E07000171",50666,5749,11.346859827103
"193","E07000172",49786,4794,9.629213031776
"194","E07000173",52426,4946,9.4342501812078
"195","E07000174",47709,5107,10.7044792387181
"196","E07000175",51835,5805,11.1989968168226
"197","E07000176",48731,4302,8.82805606287579
"198","E07000177",60856,4498,7.39121861443407
"199","E07000178",59391,6234,10.4965398797798
"200","E07000179",58086,4266,7.34428261543229
"201","E07000180",53046,3670,6.91852354560193
"202","E07000181",46449,3441,7.40812504036685
"203","E07000187",50709,4772,9.41055828353941
"204","E07000188",53581,5130,9.57428939362834
"205","E07000189",76445,7610,9.95486951402969
"206","E07000192",42974,4265,9.92460557546423
"207","E07000193",49921,5610,11.2377556539332
"208","E07000194",43653,3982,9.12193892745058
"209","E07000195",55674,6061,10.8865897905665
"210","E07000196",47091,4329,9.19283939606294
"211","E07000197",58875,5801,9.85307855626327
"212","E07000198",44156,5038,11.4095479663013
"213","E07000199",33476,2943,8.79137292388577
"214","E07000200",40212,4416,10.9817964786631
"215","E07000202",61066,6450,10.5623423836505
"216","E07000203",42934,4651,10.8329063213304
"217","E07000207",56676,3310,5.84021455289717
"218","E07000208",31906,2106,6.60063937817338
"219","E07000209",57995,4109,7.08509354254677
"220","E07000210",38384,2592,6.75281367236348
"221","E07000211",59453,3543,5.95932921803778
"222","E07000212",35115,2249,6.40467036878827
"223","E07000213",42381,2542,5.99797078879687
"224","E07000214",36001,2001,5.5581789394739
"225","E07000215",35813,2335,6.5199787786558
"226","E07000216",52848,3603,6.81766575840145
"227","E07000217",42315,2570,6.07349639607704
"228","E07000218",27374,2888,10.5501570833638
"229","E07000219",55741,5333,9.56746380581619
"230","E07000220",44299,4058,9.16047766315267
"231","E07000221",55030,5595,10.1671815373433
"232","E07000222",62116,5369,8.64350569901475
"233","E07000223",28903,2234,7.7293014565962
"234","E07000224",71485,5678,7.94292508917955
"235","E07000225",53362,5056,9.47490723735992
"236","E07000226",45803,3043,6.64366962862695
"237","E07000227",58752,4258,7.2474128540305
"238","E07000228",61403,3988,6.49479667117242
"239","E07000229",50298,3957,7.86711201240606
"240","E07000234",40500,3383,8.35308641975309
"241","E07000235",34107,4150,12.1675902307444
"242","E07000236",36680,3058,8.33696837513631
"243","E07000237",44475,4392,9.8752107925801
"244","E07000238",52444,5416,10.3272061627641
"245","E07000239",45467,4746,10.4383398948688
"127","E07000240",59883,4114,6.87006329008233
"131","E07000241",46663,3875,8.30422390330669
"124","E07000242",60370,4397,7.28341891668047
"128","E07000243",37245,2746,7.37280171835146
"246","E07000244",111849,13112,11.7229479029763
"247","E07000245",76024,7045,9.26681048090077
"248","E07000246",68919,6623,9.60983183157039
"249","E08000001",121762,14433,11.8534518158375
"250","E08000002",81773,8662,10.5927384344466
"251","E08000003",214252,33216,15.5032391762971
"252","E08000004",94036,11023,11.7221064273257
"253","E08000005",91675,11200,12.2170711753477
"254","E08000006",108434,12171,11.224339229393
"255","E08000007",127827,12564,9.82890938534113
"256","E08000008",99426,10601,10.6622010339348
"257","E08000009",98944,10327,10.4372170116429
"258","E08000010",142719,15394,10.7862302846853
"259","E08000011",64336,8194,12.7362596369062
"260","E08000012",216150,33672,15.5780707841777
"261","E08000013",79376,9009,11.34977827051
"262","E08000014",123611,15481,12.5239663136776
"263","E08000015",147102,17986,12.2268901850417
"264","E08000016",105311,10266,9.74826941155245
"265","E08000017",132354,12728,9.61663417803769
"266","E08000018",113416,10814,9.53480990336461
"267","E08000019",240828,25121,10.4310960519541
"269","E08000021",122360,12935,10.57126511932
"270","E08000022",95300,7286,7.64533053515215
"271","E08000023",70221,6139,8.74239899745091
"272","E08000024",125184,11533,9.21283870143149
"273","E08000025",434800,61560,14.1582336706532
"274","E08000026",136174,16512,12.1256627550046
"275","E08000027",137397,14565,10.6006681368589
"276","E08000028",128555,15377,11.9614172922096
"277","E08000029",91032,7428,8.15976799367255
"278","E08000030",114018,13510,11.8490062972513
"279","E08000031",108032,13733,12.7119742298578
"280","E08000032",208463,25934,12.4405769848846
"281","E08000033",92629,9448,10.1998294270693
"282","E08000034",181390,19294,10.6367495451789
"283","E08000035",335852,34657,10.3191286638162
"284","E08000036",146899,12915,8.79175487920272
"268","E08000037",93204,8047,8.63374962447964
"285","E09000001",4580,250,5.45851528384279
"286","E09000002",73210,9008,12.3043300095615
"287","E09000003",142491,16766,11.7663571734355
"288","E09000004",97216,8783,9.03452106649111
"289","E09000005",115550,15783,13.6590220683687
"290","E09000006",137352,11746,8.55175024753917
"291","E09000007",102291,12193,11.9199147530086
"292","E09000008",152205,17108,11.2401038073651
"293","E09000009",130170,16464,12.6480755934547
"294","E09000010",125663,15911,12.6616426473982
"295","E09000011",106158,11798,11.113623090111
"296","E09000012",106436,12980,12.1951219512195
"297","E09000013",84552,9585,11.3362191314221
"298","E09000014",106703,15393,14.4260236356991
"299","E09000015",88331,10364,11.7331401206824
"300","E09000016",101967,9200,9.02252689595653
"301","E09000017",105213,10663,10.1346791746267
"302","E09000018",99429,11494,11.5600076436452
"303","E09000019",97944,10763,10.9889324511966
"304","E09000020",82550,10208,12.3658388855239
"305","E09000021",66817,6955,10.4090276426658
"306","E09000022",136156,15209,11.1702752724816
"307","E09000023",121708,14739,12.1101324481546
"308","E09000024",82831,9282,11.2059494633652
"309","E09000025",106661,17205,16.1305444351731
"310","E09000026",104038,13172,12.6607585689844
"311","E09000027",83728,8280,9.88916491496274
"312","E09000028",126079,12426,9.85572537853251
"313","E09000029",82077,6897,8.40308490807413
"314","E09000030",106001,10118,9.54519296987764
"315","E09000031",101503,14437,14.2232249293124
"316","E09000032",136720,13765,10.0680222352253
"317","E09000033",110733,12979,11.7209865171178
