"","2. Fuel Poverty by Local Authority","...2","...3","...4","...5","...6"
"1",NA,NA,NA,NA,NA,NA
"2","LA Code","LA Name","Region","Estimated number of households","Estimated number of Fuel Poor Households","Proportion of households fuel poor (%)"
"3","E07000032","Amber Valley","East Midlands","53853","5426","10.1"
"4","E07000170","Ashfield","East Midlands","52126","4835","9.3000000000000007"
"5","E07000171","Bassetlaw","East Midlands","48839","5072","10.4"
"6","E07000129","Blaby","East Midlands","39619","2844","7.2"
"7","E07000033","Bolsover","East Midlands","33571","3310","9.9"
"8","E07000136","Boston","East Midlands","27915","3196","11.4"
"9","E07000172","Broxtowe","East Midlands","47984","4388","9.1"
"10","E07000130","Charnwood","East Midlands","68151","6064","8.9"
"11","E07000034","Chesterfield","East Midlands","47925","4594","9.6"
"12","E07000150","Corby","East Midlands","25851","2127","8.1999999999999993"
"13","E07000151","Daventry","East Midlands","32420","3430","10.6"
"14","E06000015","Derby","East Midlands","104703","11175","10.7"
"15","E07000035","Derbyshire Dales","East Midlands","31524","3835","12.2"
"16","E07000137","East Lindsey","East Midlands","62426","7209","11.5"
"17","E07000152","East Northamptonshire","East Midlands","36499","3490","9.6"
"18","E07000036","Erewash","East Midlands","49883","4704","9.4"
"19","E07000173","Gedling","East Midlands","50562","4379","8.6999999999999993"
"20","E07000131","Harborough","East Midlands","35756","2993","8.4"
"21","E07000037","High Peak","East Midlands","39898","4208","10.5"
"22","E07000132","Hinckley and Bosworth","East Midlands","46479","3994","8.6"
"23","E07000153","Kettering","East Midlands","40620","3825","9.4"
"24","E06000016","Leicester","East Midlands","126158","16991","13.5"
"25","E07000138","Lincoln","East Midlands","40802","4736","11.6"
"26","E07000174","Mansfield","East Midlands","46027","4292","9.3000000000000007"
"27","E07000133","Melton","East Midlands","22007","2425","11"
"28","E07000175","Newark and Sherwood","East Midlands","49982","5026","10.1"
"29","E07000038","North East Derbyshire","East Midlands","44134","3836","8.6999999999999993"
"30","E07000139","North Kesteven","East Midlands","47044","4288","9.1"
"31","E07000134","North West Leicestershire","East Midlands","40059","3993","10"
"32","E07000154","Northampton","East Midlands","90878","8531","9.4"
"33","E06000018","Nottingham","East Midlands","129238","16245","12.6"
"34","E07000135","Oadby and Wigston","East Midlands","21895","1787","8.1999999999999993"
"35","E07000176","Rushcliffe","East Midlands","46981","4037","8.6"
"36","E06000017","Rutland","East Midlands","15366","1630","10.6"
"37","E07000039","South Derbyshire","East Midlands","39903","3614","9.1"
"38","E07000140","South Holland","East Midlands","38138","3406","8.9"
"39","E07000141","South Kesteven","East Midlands","58727","6045","10.3"
"40","E07000155","South Northamptonshire","East Midlands","35605","3378","9.5"
"41","E07000156","Wellingborough","East Midlands","32841","3177","9.6999999999999993"
"42","E07000142","West Lindsey","East Midlands","39315","4324","11"
"43","E07000200","Babergh","East of England","38591","3985","10.3"
"44","E07000066","Basildon","East of England","74711","4725","6.3"
"45","E06000055","Bedford","East of England","65522","6006","9.1999999999999993"
"46","E07000067","Braintree","East of England","62687","5237","8.4"
"47","E07000143","Breckland","East of England","56026","5741","10.199999999999999"
"48","E07000068","Brentwood","East of England","31462","2196","7"
"49","E07000144","Broadland","East of England","54789","3955","7.2"
"50","E07000095","Broxbourne","East of England","38656","2560","6.6"
"51","E07000008","Cambridge","East of England","47995","5447","11.3"
"52","E07000069","Castle Point","East of England","37438","2382","6.4"
"53","E06000056","Central Bedfordshire","East of England","107161","7836","7.3"
"54","E07000070","Chelmsford","East of England","71553","4906","6.9"
"55","E07000071","Colchester","East of England","73643","5766","7.8"
"56","E07000096","Dacorum","East of England","61530","4505","7.3"
"57","E07000009","East Cambridgeshire","East of England","35530","2853","8"
"58","E07000097","East Hertfordshire","East of England","58103","4381","7.5"
"59","E07000072","Epping Forest","East of England","53459","4185","7.8"
"60","E07000010","Fenland","East of England","41619","3133","7.5"
"61","E07000201","Forest Heath","East of England","26031","2443","9.4"
"62","E07000145","Great Yarmouth","East of England","43246","4541","10.5"
"63","E07000073","Harlow","East of England","35561","2531","7.1"
"64","E07000098","Hertsmere","East of England","40872","2997","7.3"
"65","E07000011","Huntingdonshire","East of England","71207","4790","6.7"
"66","E07000202","Ipswich","East of England","58807","5596","9.5"
"67","E07000146","King's Lynn and West Norfolk","East of England","64656","6990","10.8"
"68","E06000032","Luton","East of England","76337","7321","9.6"
"69","E07000074","Maldon","East of England","26517","2422","9.1"
"70","E07000203","Mid Suffolk","East of England","41379","4527","10.9"
"71","E07000099","North Hertfordshire","East of England","54869","4403","8"
"72","E07000147","North Norfolk","East of England","47350","5670","12"
"73","E07000148","Norwich","East of England","61906","6523","10.5"
"74","E06000031","Peterborough","East of England","76128","6441","8.5"
"75","E07000075","Rochford","East of England","34475","2128","6.2"
"76","E07000012","South Cambridgeshire","East of England","61602","4870","7.9"
"77","E07000149","South Norfolk","East of England","54240","5406","10"
"78","E06000033","Southend-on-Sea","East of England","76668","6907","9"
"79","E07000100","St Albans","East of England","57634","4166","7.2"
"80","E07000204","St Edmundsbury","East of England","47057","4374","9.3000000000000007"
"81","E07000101","Stevenage","East of England","35836","2530","7.1"
"82","E07000205","Suffolk Coastal","East of England","55081","5176","9.4"
"83","E07000076","Tendring","East of England","63823","5128","8"
"84","E07000102","Three Rivers","East of England","36057","2559","7.1"
"85","E06000034","Thurrock","East of England","64109","4747","7.4"
"86","E07000077","Uttlesford","East of England","32181","3120","9.6999999999999993"
"87","E07000103","Watford","East of England","37636","3233","8.6"
"88","E07000206","Waveney","East of England","52331","5270","10.1"
"89","E07000104","Welwyn Hatfield","East of England","44839","3607","8"
"90","E09000002","Barking and Dagenham","London","70017","7444","10.6"
"91","E09000003","Barnet","London","136601","13761","10.1"
"92","E09000004","Bexley","London","93063","7950","8.5"
"93","E09000005","Brent","London","110806","12921","11.7"
"94","E09000006","Bromley","London","131478","11160","8.5"
"95","E09000007","Camden","London","98017","12884","13.1"
"96","E09000001","City of London","London","4404","251","5.7"
"97","E09000008","Croydon","London","145715","14085","9.6999999999999993"
"98","E09000009","Ealing","London","124653","14014","11.2"
"99","E09000010","Enfield","London","120482","12787","10.6"
"100","E09000011","Greenwich","London","101557","10011","9.9"
"101","E09000012","Hackney","London","102161","10768","10.5"
"102","E09000013","Hammersmith and Fulham","London","80985","10978","13.6"
"103","E09000014","Haringey","London","102452","13650","13.3"
"104","E09000015","Harrow","London","84666","8686","10.3"
"105","E09000016","Havering","London","97652","8184","8.4"
"106","E09000017","Hillingdon","London","100698","9202","9.1"
"107","E09000018","Hounslow","London","95342","9513","10"
"108","E09000019","Islington","London","93991","10440","11.1"
"109","E09000020","Kensington and Chelsea","London","78943","11274","14.3"
"110","E09000021","Kingston upon Thames","London","63940","6422","10"
"111","E09000022","Lambeth","London","130632","14172","10.8"
"112","E09000023","Lewisham","London","116620","12282","10.5"
"113","E09000024","Merton","London","79167","8384","10.6"
"114","E09000025","Newham","London","102046","13925","13.6"
"115","E09000026","Redbridge","London","99593","10599","10.6"
"116","E09000027","Richmond upon Thames","London","80220","7598","9.5"
"117","E09000028","Southwark","London","120989","10783","8.9"
"118","E09000029","Sutton","London","78586","6402","8.1"
"119","E09000030","Tower Hamlets","London","101733","8210","8.1"
"120","E09000031","Waltham Forest","London","97328","11807","12.1"
"121","E09000032","Wandsworth","London","131086","13996","10.7"
"122","E09000033","Westminster","London","106259","13672","12.9"
"123","E06000047","County Durham","North East","226226","27618","12.2"
"124","E06000005","Darlington","North East","47177","5940","12.6"
"125","E08000020","Gateshead","North East","90158","10108","11.2"
"126","E06000001","Hartlepool","North East","40875","4837","11.8"
"127","E06000002","Middlesbrough","North East","57832","8292","14.3"
