"","Table 2: Fuel poor households by administrative area, 2020 [Notes 3 and 4]","...2","...3","...4","...5","...6","...7"
"340","E07000046",NA,NA,"Torridge","31029","3979","12.823487705050116"
"341","E07000047",NA,NA,"West Devon","25208","3154","12.511900983814661"
"342","E10000013",NA,"Gloucestershire",NA,"283174","30539","10.784535303382373"
"343","E07000078",NA,NA,"Cheltenham","56585","6463","11.421754882035875"
"344","E07000079",NA,NA,"Cotswold","40481","4188","10.345594229391567"
"345","E07000080",NA,NA,"Forest of Dean","37952","4747","12.507904721753793"
"346","E07000081",NA,NA,"Gloucester","56068","6065","10.817221944781338"
"347","E07000082",NA,NA,"Stroud","52972","5628","10.624480857811674"
"348","E07000083",NA,NA,"Tewkesbury","39116","3448","8.8148072400040896"
"349","E10000027",NA,"Somerset",NA,"252648","28651","11.340283714891864"
"350","E07000187",NA,NA,"Mendip","51304","5692","11.094651489162638"
"351","E07000188",NA,NA,"Sedgemoor","54216","6198","11.432049579459939"
"352","E07000246",NA,NA,"Somerset West and Taunton","69773","8023","11.498717268857581"
"353","E07000189",NA,NA,"South Somerset","77355","8738","11.295973110981837"
"354",NA,NA,NA,NA,NA,NA,"England"
"355",NA,NA,NA,NA,NA,NA,NA
"356","Back to contents",NA,NA,NA,NA,NA,NA
