"","2. Fuel Poverty by Local Authority","...2","...3","...4","...5","...6"
"123","E06000047","County Durham","North East","226091","26050","11.5"
"124","E06000005","Darlington","North East","47148","5884","12.5"
"125","E08000020","Gateshead","North East","90089","9855","10.9"
"126","E06000001","Hartlepool","North East","40843","4995","12.2"
"127","E06000002","Middlesbrough","North East","57778","8880","15.4"
"128","E08000021","Newcastle upon Tyne","North East","118362","15344","13"
"129","E08000022","North Tyneside","North East","92240","9088","9.9"
"130","E06000048","Northumberland","North East","139995","15962","11.4"
"131","E06000003","Redcar and Cleveland","North East","60247","7263","12.1"
"132","E08000023","South Tyneside","North East","67896","7642","11.3"
"133","E06000004","Stockton-on-Tees","North East","79982","8911","11.1"
"134","E08000024","Sunderland","North East","121046","15021","12.4"
"135","E07000026","Allerdale","North West","43212","4536","10.5"
"136","E07000027","Barrow-in-Furness","North West","31885","4604","14.399999999999999"
"137","E06000008","Blackburn with Darwen","North West","58539","7959","13.600000000000001"
"138","E06000009","Blackpool","North West","65773","9288","14.099999999999998"
"139","E08000001","Bolton","North West","118791","13111","11"
"140","E07000117","Burnley","North West","38368","5436","14.2"
"141","E08000002","Bury","North West","79749","8047","10.100000000000001"
"142","E07000028","Carlisle","North West","49337","5002","10.100000000000001"
"143","E06000049","Cheshire East","North West","162840","14296","8.7999999999999989"
"144","E06000050","Cheshire West and Chester","North West","144489","12823","8.9"
"145","E07000118","Chorley","North West","45892","3783","8.2000000000000011"
"146","E07000029","Copeland","North West","31198","3059","9.8000000000000007"
"147","E07000030","Eden","North West","23529","2671","11.4"
"148","E07000119","Fylde","North West","35618","2899","8.1"
"149","E06000006","Halton","North West","54421","4992","9.1999999999999993"
"150","E07000120","Hyndburn","North West","35073","4901","14.000000000000002"
"151","E08000011","Knowsley","North West","62684","6506","10.4"
"152","E07000121","Lancaster","North West","59100","6838","11.600000000000001"
"153","E08000012","Liverpool","North West","210818","30567","14.499999999999998"
"154","E08000003","Manchester","North West","209159","31195","14.899999999999999"
"155","E08000004","Oldham","North West","91643","9806","10.7"
"156","E07000122","Pendle","North West","38149","5982","15.7"
"157","E07000123","Preston","North West","58773","7566","12.9"
"158","E07000124","Ribble Valley","North West","24587","2308","9.4"
"159","E08000005","Rochdale","North West","89398","10104","11.3"
"160","E07000125","Rossendale","North West","29671","3069","10.299999999999999"
"161","E08000006","Salford","North West","105758","10497","9.9"
"162","E08000014","Sefton","North West","120486","13111","10.9"
"163","E07000031","South Lakeland","North West","47561","4810","10.100000000000001"
"164","E07000126","South Ribble","North West","47109","3699","7.9"
"165","E08000013","St. Helens","North West","77386","7508","9.7000000000000011"
"166","E08000007","Stockport","North West","124601","11442","9.1999999999999993"
"167","E08000008","Tameside","North West","96976","9507","9.8000000000000007"
"168","E08000009","Trafford","North West","96468","9666","10"
"169","E06000007","Warrington","North West","86956","6916","8"
"170","E07000127","West Lancashire","North West","46348","3995","8.6"
"171","E08000010","Wigan","North West","139218","12709","9.1"
"172","E08000015","Wirral","North West","143503","15176","10.6"
"173","E07000128","Wyre","North West","48296","4368","9"
"174","E07000223","Adur","South East","27753","2016","7.3"
"175","E07000224","Arun","South East","68637","5118","7.5"
"176","E07000105","Ashford","South East","49197","3730","7.6"
"177","E07000004","Aylesbury Vale","South East","71526","5197","7.3"
"178","E07000084","Basingstoke and Deane","South East","71392","4232","5.8999999999999995"
"179","E06000036","Bracknell Forest","South East","47277","2646","5.6000000000000005"
"180","E06000043","Brighton and Hove","South East","125027","14863","11.899999999999999"
"181","E07000106","Canterbury","South East","62533","5878","9.4"
"182","E07000177","Cherwell","South East","58412","4219","7.1999999999999993"
"183","E07000225","Chichester","South East","51275","4235","8.3000000000000007"
"184","E07000005","Chiltern","South East","38042","2807","7.3999999999999995"
"185","E07000226","Crawley","South East","43988","2966","6.7"
"186","E07000107","Dartford","South East","41256","3111","7.5"
"187","E07000108","Dover","South East","49641","4702","9.5"
"188","E07000085","East Hampshire","South East","48652","3183","6.5"
"189","E07000061","Eastbourne","South East","46344","3950","8.5"
"190","E07000086","Eastleigh","South East","53691","3446","6.4"
"191","E07000207","Elmbridge","South East","54452","3821","7.0000000000000009"
"192","E07000208","Epsom and Ewell","South East","30658","2415","7.9"
"193","E07000087","Fareham","South East","47919","2842","5.8999999999999995"
"194","E07000088","Gosport","South East","36446","2755","7.6"
"195","E07000109","Gravesham","South East","41623","3984","9.6"
"196","E07000209","Guildford","South East","55627","4356","7.8"
"197","E07000089","Hart","South East","36568","2218","6.1"
"198","E07000062","Hastings","South East","42327","5006","11.799999999999999"
"199","E07000090","Havant","South East","52759","3917","7.3999999999999995"
"200","E07000227","Horsham","South East","56489","3842","6.8000000000000007"
"201","E06000046","Isle of Wight","South East","62835","6301","10"
"202","E07000063","Lewes","South East","43388","3339","7.7"
"203","E07000110","Maidstone","South East","65267","5109","7.8"
"204","E06000035","Medway","South East","109312","10701","9.8000000000000007"
"205","E07000228","Mid Sussex","South East","59032","4090","6.9"
"206","E06000042","Milton Keynes","South East","101557","6408","6.3"
"207","E07000210","Mole Valley","South East","36865","2700","7.3"
"208","E07000091","New Forest","South East","79061","5470","6.9"
"209","E07000178","Oxford","South East","57017","6804","11.899999999999999"
"210","E06000044","Portsmouth","South East","87895","10784","12.3"
"211","E06000038","Reading","South East","64742","7264","11.200000000000001"
"212","E07000211","Reigate and Banstead","South East","57058","3996","7.0000000000000009"
"213","E07000064","Rother","South East","42051","3749","8.9"
"214","E07000212","Runnymede","South East","33693","2576","7.6"
"215","E07000092","Rushmoor","South East","37483","2613","7.0000000000000009"
"216","E07000111","Sevenoaks","South East","48390","3705","7.7"
"217","E07000112","Shepway","South East","48711","4589","9.4"
"218","E06000039","Slough","South East","52217","5284","10.100000000000001"
"219","E07000006","South Bucks","South East","27268","1858","6.8000000000000007"
"220","E07000179","South Oxfordshire","South East","55710","4108","7.3999999999999995"
"221","E06000045","Southampton","South East","101116","10429","10.299999999999999"
"222","E07000213","Spelthorne","South East","40678","2868","7.1"
"223","E07000214","Surrey Heath","South East","34555","2285","6.6000000000000005"
"224","E07000113","Swale","South East","57215","5022","8.7999999999999989"
"225","E07000215","Tandridge","South East","34345","2395","7.0000000000000009"
"226","E07000093","Test Valley","South East","49012","3240","6.6000000000000005"
"227","E07000114","Thanet","South East","61219","6279","10.299999999999999"
"228","E07000115","Tonbridge and Malling","South East","49542","3629","7.3"
"229","E07000116","Tunbridge Wells","South East","48503","4157","8.6"
"230","E07000180","Vale of White Horse","South East","50873","3599","7.1"
"231","E07000216","Waverley","South East","50750","3761","7.3999999999999995"
"232","E07000065","Wealden","South East","64469","4772","7.3999999999999995"
"233","E06000037","West Berkshire","South East","64165","4264","6.6000000000000005"
"234","E07000181","West Oxfordshire","South East","44559","3069","6.9"
"235","E07000094","Winchester","South East","48237","3601","7.5"
"236","E06000040","Windsor and Maidenhead","South East","60046","4591","7.6"
"237","E07000217","Woking","South East","40624","2785","6.9"
"238","E06000041","Wokingham","South East","62150","3858","6.2"
"239","E07000229","Worthing","South East","48377","4016","8.3000000000000007"
"240","E07000007","Wycombe","South East","69857","5630","8.1"
"241","E06000022","Bath and North East Somerset","South West","77428","9354","12.1"
"242","E06000028","Bournemouth","South West","86332","9933","11.5"
"243","E06000023","Bristol City of","South West","191878","25379","13.200000000000001"
"244","E07000078","Cheltenham","South West","53581","5908","11"
"245","E07000048","Christchurch","South West","22586","1984","8.7999999999999989"
"246","E06000052","Cornwall","South West","242388","34998","14.399999999999999"
"247","E07000079","Cotswold","South West","38219","4226","11.1"
"248","E07000040","East Devon","South West","62073","6842","11"
"249","E07000049","East Dorset","South West","39552","3197","8.1"
"250","E07000041","Exeter","South West","51816","6796","13.100000000000001"
"251","E07000080","Forest of Dean","South West","35930","4181","11.600000000000001"
"252","E07000081","Gloucester","South West","53027","5666","10.7"
"253","E06000053","Isles of Scilly","South West","1052","236","22.400000000000002"
"254","E07000187","Mendip","South West","48566","5428","11.200000000000001"
"255","E07000042","Mid Devon","South West","34458","4397","12.8"
"256","E07000043","North Devon","South West","42019","5701","13.600000000000001"
"257","E07000050","North Dorset","South West","30192","3070","10.199999999999999"
"258","E06000024","North Somerset","South West","92931","8861","9.5"
"259","E06000026","Plymouth","South West","114977","15407","13.4"
"260","E06000029","Poole","South West","66732","6062","9.1"
"261","E07000051","Purbeck","South West","20629","2081","10.100000000000001"
"262","E07000188","Sedgemoor","South West","51328","5658","11"
"263","E06000025","South Gloucestershire","South West","113101","10243","9.1"
"264","E07000044","South Hams","South West","38772","4711","12.2"
"265","E07000189","South Somerset","South West","73167","8216","11.200000000000001"
"266","E07000082","Stroud","South West","50226","5326","10.6"
"267","E06000030","Swindon","South West","93120","9115","9.8000000000000007"
"268","E07000190","Taunton Deane","South West","49431","5301","10.7"
"269","E07000045","Teignbridge","South West","56796","6704","11.799999999999999"
"270","E07000083","Tewkesbury","South West","36988","3373","9.1"
"271","E06000027","Torbay","South West","62146","7941","12.8"
"272","E07000046","Torridge","South West","29409","4122","14.000000000000002"
"273","E07000047","West Devon","South West","23894","3286","13.8"
"274","E07000052","West Dorset","South West","46723","4878","10.4"
"275","E07000191","West Somerset","South West","16502","2127","12.9"
"276","E07000053","Weymouth and Portland","South West","30040","3657","12.2"
"277","E06000054","Wiltshire","South West","204471","20523","10"
"278","E08000025","Birmingham","West Midlands","412401","78086","18.899999999999999"
"279","E07000234","Bromsgrove","West Midlands","38448","3774","9.8000000000000007"
"280","E07000192","Cannock Chase","West Midlands","40807","4142","10.199999999999999"
"281","E08000026","Coventry","West Midlands","129082","20579","15.9"
"282","E08000027","Dudley","West Midlands","130394","16648","12.8"
"283","E07000193","East Staffordshire","West Midlands","47418","6612","13.900000000000002"
"284","E06000019","Herefordshire County of","West Midlands","78628","11098","14.099999999999998"
"285","E07000194","Lichfield","West Midlands","41387","4061","9.8000000000000007"
"286","E07000235","Malvern Hills","West Midlands","32340","4086","12.6"
"287","E07000195","Newcastle-under-Lyme","West Midlands","52768","6411","12.1"
"288","E07000218","North Warwickshire","West Midlands","25922","2786","10.7"
"289","E07000219","Nuneaton and Bedworth","West Midlands","52927","5900","11.1"
"290","E07000236","Redditch","West Midlands","34854","3390","9.7000000000000011"
"291","E07000220","Rugby","West Midlands","42036","4574","10.9"
"292","E08000028","Sandwell","West Midlands","121966","20031","16.400000000000002"
"293","E06000051","Shropshire","West Midlands","130170","17222","13.200000000000001"
"294","E08000029","Solihull","West Midlands","86375","8733","10.100000000000001"
"295","E07000196","South Staffordshire","West Midlands","44642","4440","9.9"
"296","E07000197","Stafford","West Midlands","55924","6262","11.200000000000001"
"297","E07000198","Staffordshire Moorlands","West Midlands","41946","5062","12.1"
"298","E06000021","Stoke-on-Trent","West Midlands","107993","15847","14.7"
"299","E07000221","Stratford-on-Avon","West Midlands","52143","5497","10.5"
"300","E07000199","Tamworth","West Midlands","31744","3196","10.100000000000001"
"301","E06000020","Telford and Wrekin","West Midlands","66858","7232","10.8"
"302","E08000030","Walsall","West Midlands","108226","15427","14.299999999999999"
"303","E07000222","Warwick","West Midlands","58918","6514","11.1"
"304","E08000031","Wolverhampton","West Midlands","102569","16722","16.3"
"305","E07000237","Worcester","West Midlands","42226","5112","12.1"
"306","E07000238","Wychavon","West Midlands","49685","5280","10.6"
"307","E07000239","Wyre Forest","West Midlands","43146","5273","12.2"
"308","E08000016","Barnsley","Yorkshire and The Humber","102811","9421","9.1999999999999993"
"309","E08000032","Bradford","Yorkshire and The Humber","203464","28724","14.099999999999998"
"310","E08000033","Calderdale","Yorkshire and The Humber","90444","10566","11.700000000000001"
"311","E07000163","Craven","Yorkshire and The Humber","25114","2683","10.7"
"312","E08000017","Doncaster","Yorkshire and The Humber","129161","12676","9.8000000000000007"
"313","E06000011","East Riding of Yorkshire","Yorkshire and The Humber","146078","11964","8.2000000000000011"
"314","E07000164","Hambleton","Yorkshire and The Humber","38967","3333","8.6"
"315","E07000165","Harrogate","Yorkshire and The Humber","68622","5904","8.6"
"316","E06000010","Kingston upon Hull City of","Yorkshire and The Humber","114915","13413","11.700000000000001"
"317","E08000034","Kirklees","Yorkshire and The Humber","177100","20935","11.799999999999999"
"318","E08000035","Leeds","Yorkshire and The Humber","327513","38133","11.600000000000001"
"319","E06000012","North East Lincolnshire","Yorkshire and The Humber","71187","7678","10.8"
"320","E06000013","North Lincolnshire","Yorkshire and The Humber","72141","5891","8.2000000000000011"
"321","E07000166","Richmondshire","Yorkshire and The Humber","20668","1988","9.6"
"322","E08000018","Rotherham","Yorkshire and The Humber","110613","9984","9"
"323","E07000167","Ryedale","Yorkshire and The Humber","23046","2440","10.6"
"324","E07000168","Scarborough","Yorkshire and The Humber","50493","5923","11.700000000000001"
"325","E07000169","Selby","Yorkshire and The Humber","35306","2428","6.9"
"326","E08000019","Sheffield","Yorkshire and The Humber","234893","25509","10.9"
"327","E08000036","Wakefield","Yorkshire and The Humber","143367","12373","8.6"
"328","E06000014","York","Yorkshire and The Humber","85278","7695","9"
