"","2. Fuel Poverty by Local Authority","...2","...3","...4","...5","...6"
"1",NA,NA,NA,NA,NA,NA
"2","LA Code","LA Name","Region","Estimated number of households","Estimated number of Fuel Poor Households","Proportion of households fuel poor (%)"
"3","E07000032","Amber Valley","East Midlands","53649","5509","10.299999999999999"
"4","E07000170","Ashfield","East Midlands","51925","4948","9.5"
"5","E07000171","Bassetlaw","East Midlands","48626","4716","9.7000000000000011"
"6","E07000129","Blaby","East Midlands","39450","3142","8"
"7","E07000033","Bolsover","East Midlands","33442","3294","9.8000000000000007"
"8","E07000136","Boston","East Midlands","27804","2931","10.5"
"9","E07000172","Broxtowe","East Midlands","47791","4651","9.7000000000000011"
"10","E07000130","Charnwood","East Midlands","67880","6605","9.7000000000000011"
"11","E07000034","Chesterfield","East Midlands","47745","4794","10"
"12","E07000150","Corby","East Midlands","25741","2067","8"
"13","E07000151","Daventry","East Midlands","32284","2754","8.5"
"14","E06000015","Derby","East Midlands","104287","13397","12.8"
"15","E07000035","Derbyshire Dales","East Midlands","31385","3560","11.3"
"16","E07000137","East Lindsey","East Midlands","62150","6472","10.4"
"17","E07000152","East Northamptonshire","East Midlands","36359","3214","8.7999999999999989"
"18","E07000036","Erewash","East Midlands","49665","5172","10.4"
"19","E07000173","Gedling","East Midlands","50366","4567","9.1"
"20","E07000131","Harborough","East Midlands","35616","2799","7.9"
"21","E07000037","High Peak","East Midlands","39744","4162","10.5"
"22","E07000132","Hinckley and Bosworth","East Midlands","46281","3965","8.6"
"23","E07000153","Kettering","East Midlands","40473","3844","9.5"
"24","E06000016","Leicester","East Midlands","125643","20810","16.600000000000001"
"25","E07000138","Lincoln","East Midlands","40646","4846","11.899999999999999"
"26","E07000174","Mansfield","East Midlands","45824","4395","9.6"
"27","E07000133","Melton","East Midlands","21924","2073","9.5"
"28","E07000175","Newark and Sherwood","East Midlands","49768","4750","9.5"
"29","E07000038","North East Derbyshire","East Midlands","43962","3949","9"
"30","E07000139","North Kesteven","East Midlands","46858","3605","7.7"
"31","E07000134","North West Leicestershire","East Midlands","39913","3597","9"
"32","E07000154","Northampton","East Midlands","90517","9309","10.299999999999999"
"33","E06000018","Nottingham","East Midlands","128710","18050","14.000000000000002"
"34","E07000135","Oadby and Wigston","East Midlands","21798","2085","9.6"
"35","E07000176","Rushcliffe","East Midlands","46778","4093","8.6999999999999993"
"36","E06000017","Rutland","East Midlands","15305","1424","9.3000000000000007"
"37","E07000039","South Derbyshire","East Midlands","39758","3573","9"
"38","E07000140","South Holland","East Midlands","37999","3018","7.9"
"39","E07000141","South Kesteven","East Midlands","58487","5206","8.9"
"40","E07000155","South Northamptonshire","East Midlands","35453","2863","8.1"
"41","E07000156","Wellingborough","East Midlands","32692","3316","10.100000000000001"
"42","E07000142","West Lindsey","East Midlands","39163","3880","9.9"
"43","E07000200","Babergh","East of England","38544","3443","8.9"
"44","E07000066","Basildon","East of England","74621","5246","7.0000000000000009"
"45","E06000055","Bedford","East of England","65504","6625","10.100000000000001"
"46","E07000067","Braintree","East of England","62639","5107","8.2000000000000011"
"47","E07000143","Breckland","East of England","55990","4777","8.5"
"48","E07000068","Brentwood","East of England","31457","2427","7.7"
"49","E07000144","Broadland","East of England","54757","3876","7.1"
"50","E07000095","Broxbourne","East of England","38627","2896","7.5"
"51","E07000008","Cambridge","East of England","47964","5788","12.1"
"52","E07000069","Castle Point","East of England","37407","2828","7.6"
"53","E06000056","Central Bedfordshire","East of England","107092","8203","7.7"
"54","E07000070","Chelmsford","East of England","71499","5283","7.3999999999999995"
"55","E07000071","Colchester","East of England","73595","6212","8.4"
"56","E07000096","Dacorum","East of England","61483","4778","7.8"
"57","E07000009","East Cambridgeshire","East of England","35504","2588","7.3"
"58","E07000097","East Hertfordshire","East of England","58061","4229","7.3"
"59","E07000072","Epping Forest","East of England","53411","4449","8.3000000000000007"
"60","E07000010","Fenland","East of England","41585","3275","7.9"
"61","E07000201","Forest Heath","East of England","26017","2041","7.8"
"62","E07000145","Great Yarmouth","East of England","43215","4873","11.3"
"63","E07000073","Harlow","East of England","35527","2608","7.3"
"64","E07000098","Hertsmere","East of England","40826","3344","8.2000000000000011"
"65","E07000011","Huntingdonshire","East of England","71126","4968","7.0000000000000009"
"66","E07000202","Ipswich","East of England","58737","6773","11.5"
"67","E07000146","King's Lynn and West Norfolk","East of England","64629","5711","8.7999999999999989"
"68","E06000032","Luton","East of England","76281","10217","13.4"
"69","E07000074","Maldon","East of England","26500","2187","8.3000000000000007"
"70","E07000203","Mid Suffolk","East of England","41339","3591","8.6999999999999993"
"71","E07000099","North Hertfordshire","East of England","54822","4505","8.2000000000000011"
"72","E07000147","North Norfolk","East of England","47308","4923","10.4"
"73","E07000148","Norwich","East of England","61854","7124","11.5"
"74","E06000031","Peterborough","East of England","76061","7383","9.7000000000000011"
"75","E07000075","Rochford","East of England","34466","2465","7.1999999999999993"
"76","E07000012","South Cambridgeshire","East of England","61555","4393","7.1"
"77","E07000149","South Norfolk","East of England","54227","4416","8.1"
"78","E06000033","Southend-on-Sea","East of England","76619","7511","9.8000000000000007"
"79","E07000100","St Albans","East of England","57587","4533","7.9"
"80","E07000204","St Edmundsbury","East of England","47014","3922","8.3000000000000007"
"81","E07000101","Stevenage","East of England","35804","2626","7.3"
"82","E07000205","Suffolk Coastal","East of England","55062","5022","9.1"
"83","E07000076","Tendring","East of England","63786","5983","9.4"
"84","E07000102","Three Rivers","East of England","36044","2869","8"
"85","E06000034","Thurrock","East of England","64025","5554","8.6999999999999993"
"86","E07000077","Uttlesford","East of England","32160","2732","8.5"
"87","E07000103","Watford","East of England","37593","3827","10.199999999999999"
"88","E07000206","Waveney","East of England","52273","5854","11.200000000000001"
"89","E07000104","Welwyn Hatfield","East of England","44803","3865","8.6"
"90","E09000002","Barking and Dagenham","London","71101","7877","11.1"
"91","E09000003","Barnet","London","138553","13479","9.7000000000000011"
"92","E09000004","Bexley","London","94450","7735","8.2000000000000011"
"93","E09000005","Brent","London","112395","13477","12"
"94","E09000006","Bromley","London","133450","10088","7.6"
"95","E09000007","Camden","London","99440","9812","9.9"
"96","E09000001","City of London","London","4460","173","3.9"
"97","E09000008","Croydon","London","147895","14628","9.9"
"98","E09000009","Ealing","London","126503","13954","11"
"99","E09000010","Enfield","London","122209","12927","10.6"
"100","E09000011","Greenwich","London","103078","9502","9.1999999999999993"
"101","E09000012","Hackney","London","103592","9788","9.4"
"102","E09000013","Hammersmith and Fulham","London","82180","8500","10.299999999999999"
"103","E09000014","Haringey","London","103875","12399","11.899999999999999"
"104","E09000015","Harrow","London","85884","9668","11.3"
"105","E09000016","Havering","London","99099","7383","7.5"
"106","E09000017","Hillingdon","London","102216","9456","9.3000000000000007"
"107","E09000018","Hounslow","London","96723","9756","10.100000000000001"
"108","E09000019","Islington","London","95332","8160","8.6"
"109","E09000020","Kensington and Chelsea","London","80149","8565","10.7"
"110","E09000021","Kingston upon Thames","London","64928","6075","9.4"
"111","E09000022","Lambeth","London","132476","12215","9.1999999999999993"
"112","E09000023","Lewisham","London","118339","11840","10"
"113","E09000024","Merton","London","80400","7962","9.9"
"114","E09000025","Newham","London","103574","15403","14.899999999999999"
"115","E09000026","Redbridge","London","101097","11615","11.5"
"116","E09000027","Richmond upon Thames","London","81410","6284","7.7"
"117","E09000028","Southwark","London","122686","9872","8"
"118","E09000029","Sutton","London","79724","6144","7.7"
"119","E09000030","Tower Hamlets","London","103176","7813","7.6"
"120","E09000031","Waltham Forest","London","98708","11928","12.1"
"121","E09000032","Wandsworth","London","132997","10981","8.3000000000000007"
"122","E09000033","Westminster","London","107747","10655","9.9"
