LA Code,households,fuel_poor,proportion
E06000001,42229,4274,10.121006890999077
E06000002,59726,7092,11.87422563037873
E06000003,62277,6385,10.25258120975641
E06000004,82686,7474,9.03901506905643
E06000005,48726,4402,9.034191191560973
E06000006,55796,6085,10.905799698903147
E06000007,89154,8110,9.096619332839806
E06000008,60022,8793,14.64962846956116
E06000009,67472,10280,15.235949727294285
E06000010,117714,12445,10.572234398627181
E06000011,149715,14027,9.369134689242895
E06000012,72939,7380,10.118043844856661
E06000013,73893,7222,9.773591544530605
E06000014,87374,7408,8.478494746720992
E06000015,108475,12611,11.625720212030421
E06000016,130856,19078,14.579384972794523
E06000017,15928,1744,10.949271722752387
E06000018,134077,18666,13.921850876735009
E06000019,83106,10682,12.853464250475296
E06000020,70543,6607,9.36591865954099
E06000021,113939,14143,12.4127822782366
E06000022,80865,7335,9.070673344462994
E06000023,199974,19572,9.787272345404903
E06000024,97122,7343,7.560593892218035
E06000025,118051,7928,6.7157415015544135
E06000026,120006,12418,10.347815942536206
E06000027,64909,6467,9.963179220138963
E06000030,97316,6651,6.834436269472646
E06000031,79276,7547,9.519905141530854
E06000032,79418,9219,11.608199652471733
E06000033,79656,7409,9.301245355026614
E06000034,66659,5815,8.72350320286833
E06000035,113834,10291,9.040357011086318
E06000036,49285,2544,5.161813939332454
E06000037,66770,4401,6.591283510558633
E06000038,67451,6056,8.978369483032127
E06000039,54341,4815,8.860712905540936
E06000040,62509,3829,6.12551792541874
E06000041,64764,3498,5.4011487863627945
E06000042,105850,6290,5.942371280113368
E06000043,130091,14575,11.203695874426362
E06000044,91464,9859,10.77910434706551
E06000045,105322,10964,10.409980820721216
E06000046,65398,7310,11.177711856631701
E06000047,233658,22919,9.80878035419288
E06000048,144722,14182,9.799477619159493
E06000049,167004,16441,9.844674379056789
E06000050,148163,15769,10.643008038444146
E06000051,137012,16826,12.28067614515517
E06000052,252948,31826,12.582032670746557
E06000053,1104,231,20.92391304347826
E06000054,213598,17540,8.211687375349957
E06000055,68164,6900,10.122645384660526
E06000056,111290,9307,8.362835834306766
E06000058,183033,14902,8.141701223276678
E06000059,174556,15286,8.757075093379775
E07000004,74608,5517,7.394649367360069
E07000005,39609,2509,6.334418945189224
E07000006,28372,1604,5.653461158889046
E07000007,72739,5405,7.430676803365458
E07000008,49951,5522,11.05483373706232
E07000009,36914,3661,9.91764642141193
E07000010,43134,4660,10.803542449112069
E07000011,73996,6242,8.435591113033137
E07000012,64070,5324,8.309661307944435
E07000026,44283,6091,13.754713998599913
E07000027,32698,4699,14.370909535751423
E07000028,50540,6077,12.02413929560744
E07000029,32006,4350,13.591201649690682
E07000030,24110,3536,14.66611364579013
E07000031,48798,6123,12.547645395303086
E07000032,55791,5867,10.516033051925938
E07000033,34761,3754,10.799459164005638
E07000034,49652,5140,10.352050269878353
E07000035,32734,4130,12.616850980631758
E07000036,51701,5340,10.328620336163711
E07000037,41392,4346,10.499613451874758
E07000038,45769,4760,10.400052437239179
E07000039,41348,4067,9.836025926284222
E07000040,64717,6267,9.683699800670611
E07000041,54112,5613,10.37293021880544
E07000042,35964,3972,11.044377711044378
E07000043,43820,5147,11.745778183477865
E07000044,40445,4383,10.836939053034985
E07000045,59307,5717,9.639671539615897
E07000046,30662,3854,12.56930402452547
E07000047,24919,3056,12.263734499779284
E07000061,48279,4125,8.544087491455912
E07000062,44005,5051,11.47824110896489
E07000063,45151,3615,8.006467187880666
E07000064,43778,4650,10.621773493535565
E07000065,67062,5701,8.501088544928574
E07000066,77625,6034,7.773268921095008
E07000067,65149,6064,9.307894211730035
E07000068,32703,2439,7.458031373268508
E07000069,38918,3506,9.008684927283005
E07000070,74369,5855,7.872904032594226
E07000071,76699,7195,9.380826347149245
E07000072,55618,4572,8.220360315005934
E07000073,37005,2781,7.515200648561006
E07000074,27566,2936,10.650801712254227
E07000075,35854,3053,8.515088971941765
E07000076,66413,7239,10.8999744026019
E07000077,33489,3117,9.307533817074264
E07000078,55923,4550,8.136187257479035
E07000079,39984,3794,9.488795518207283
E07000080,37514,4371,11.651650050647758
E07000081,55398,4387,7.919058449763529
E07000082,52372,4587,8.758496906744062
E07000083,38660,2845,7.3590274185204345
E07000084,74448,4563,6.129110251450677
E07000085,50673,3560,7.025437609772463
E07000086,55886,3519,6.296746949146477
E07000087,49869,2935,5.885419799875674
E07000088,37940,2739,7.219293621507644
E07000089,38114,2090,5.483549351944168
E07000090,54880,4260,7.762390670553936
E07000091,82308,6296,7.6493171988142095
E07000092,39124,2521,6.443615172272773
E07000093,51038,3526,6.90857792233238
E07000094,50226,3906,7.776848644128539
E07000095,40185,2998,7.460495209655344
E07000096,63925,4700,7.352366053969496
E07000097,60370,4397,7.28341891668047
E07000098,42465,3240,7.62981278700106
E07000099,57059,4478,7.848016964895985
E07000100,59883,4114,6.870063290082327
E07000101,37245,2746,7.372801718351457
E07000102,37500,2760,7.359999999999999
E07000103,39047,3317,8.494890772658591
E07000104,46663,3875,8.304223903306688
E07000105,51261,4362,8.50939310586996
E07000106,65134,6576,10.096109558755796
E07000107,42962,2926,6.810669894325218
E07000108,51615,5196,10.06684103458297
E07000109,43333,3826,8.829298686912976
E07000110,67963,5419,7.973456145255507
E07000111,50395,3685,7.3122333564837785
E07000112,50597,5157,10.192303891535072
E07000113,59559,5491,9.219429473295387
E07000114,63692,6826,10.717201532374553
E07000115,51581,3770,7.308892809367791
E07000116,50451,4276,8.47555053418168
E07000117,39344,5353,13.605632370882473
E07000118,47066,4687,9.958356350656524
E07000119,36494,3527,9.664602400394585
