"","Table 2: Fuel Poverty by Local Authority1, 2018","...2","...3","...4","...5","...6"
"48","E06000046","Isle of Wight","South East","65398","7310","11.2"
"49","E06000047","County Durham","North East","233658","22919","9.8000000000000007"
"50","E06000048","Northumberland","North East","144722","14182","9.8000000000000007"
"51","E06000049","Cheshire East","North West","167004","16441","9.8000000000000007"
"52","E06000050","Cheshire West and Chester","North West","148163","15769","10.6"
"53","E06000051","Shropshire","West Midlands","137012","16826","12.3"
"54","E06000052","Cornwall","South West","252948","31826","12.6"
"55","E06000053","Isles of Scilly","South West","1104","231","20.9"
"56","E06000054","Wiltshire","South West","213598","17540","8.1999999999999993"
"57","E06000055","Bedford","East of England","68164","6900","10.1"
"58","E06000056","Central Bedfordshire","East of England","111290","9307","8.4"
"59","E07000004","Aylesbury Vale","South East","74608","5517","7.4"
"60","E07000005","Chiltern","South East","39609","2509","6.3"
"61","E07000006","South Bucks","South East","28372","1604","5.7"
"62","E07000007","Wycombe","South East","72739","5405","7.4"
"63","E07000008","Cambridge","East of England","49951","5522","11.1"
"64","E07000009","East Cambridgeshire","East of England","36914","3661","9.9"
"65","E07000010","Fenland","East of England","43134","4660","10.8"
"66","E07000011","Huntingdonshire","East of England","73996","6242","8.4"
"67","E07000012","South Cambridgeshire","East of England","64070","5324","8.3000000000000007"
"68","E07000026","Allerdale","North West","44283","6091","13.8"
"69","E07000027","Barrow-in-Furness","North West","32698","4699","14.4"
"70","E07000028","Carlisle","North West","50540","6077","12"
"71","E07000029","Copeland","North West","32006","4350","13.6"
"72","E07000030","Eden","North West","24110","3536","14.7"
"73","E07000031","South Lakeland","North West","48798","6123","12.5"
"74","E07000032","Amber Valley","East Midlands","55791","5867","10.5"
"75","E07000033","Bolsover","East Midlands","34761","3754","10.8"
"76","E07000034","Chesterfield","East Midlands","49652","5140","10.4"
"77","E07000035","Derbyshire Dales","East Midlands","32734","4130","12.6"
"78","E07000036","Erewash","East Midlands","51701","5340","10.3"
"79","E07000037","High Peak","East Midlands","41392","4346","10.5"
"80","E07000038","North East Derbyshire","East Midlands","45769","4760","10.4"
"81","E07000039","South Derbyshire","East Midlands","41348","4067","9.8000000000000007"
"82","E07000040","East Devon","South West","64717","6267","9.6999999999999993"
"83","E07000041","Exeter","South West","54112","5613","10.4"
"84","E07000042","Mid Devon","South West","35964","3972","11"
"85","E07000043","North Devon","South West","43820","5147","11.7"
"86","E07000044","South Hams","South West","40445","4383","10.8"
"87","E07000045","Teignbridge","South West","59307","5717","9.6"
"88","E07000046","Torridge","South West","30662","3854","12.6"
"89","E07000047","West Devon","South West","24919","3056","12.3"
"90","E07000048","Christchurch","South West","23576","1596","6.8"
"91","E07000049","East Dorset","South West","41290","2679","6.5"
"92","E07000050","North Dorset","South West","31536","2955","9.4"
"93","E07000051","Purbeck","South West","21558","1933","9"
"94","E07000052","West Dorset","South West","48790","4669","9.6"
"95","E07000053","Weymouth and Portland","South West","31382","3050","9.6999999999999993"
"96","E07000061","Eastbourne","South East","48279","4125","8.5"
"97","E07000062","Hastings","South East","44005","5051","11.5"
"98","E07000063","Lewes","South East","45151","3615","8"
"99","E07000064","Rother","South East","43778","4650","10.6"
"100","E07000065","Wealden","South East","67062","5701","8.5"
"101","E07000066","Basildon","East of England","77625","6034","7.8"
"102","E07000067","Braintree","East of England","65149","6064","9.3000000000000007"
"103","E07000068","Brentwood","East of England","32703","2439","7.5"
"104","E07000069","Castle Point","East of England","38918","3506","9"
"105","E07000070","Chelmsford","East of England","74369","5855","7.9"
"106","E07000071","Colchester","East of England","76699","7195","9.4"
"107","E07000072","Epping Forest","East of England","55618","4572","8.1999999999999993"
"108","E07000073","Harlow","East of England","37005","2781","7.5"
"109","E07000074","Maldon","East of England","27566","2936","10.7"
"110","E07000075","Rochford","East of England","35854","3053","8.5"
"111","E07000076","Tendring","East of England","66413","7239","10.9"
"112","E07000077","Uttlesford","East of England","33489","3117","9.3000000000000007"
"113","E07000078","Cheltenham","South West","55923","4550","8.1"
"114","E07000079","Cotswold","South West","39984","3794","9.5"
"115","E07000080","Forest of Dean","South West","37514","4371","11.7"
"116","E07000081","Gloucester","South West","55398","4387","7.9"
"117","E07000082","Stroud","South West","52372","4587","8.8000000000000007"
"118","E07000083","Tewkesbury","South West","38660","2845","7.4"
"119","E07000084","Basingstoke and Deane","South East","74448","4563","6.1"
"120","E07000085","East Hampshire","South East","50673","3560","7"
"121","E07000086","Eastleigh","South East","55886","3519","6.3"
"122","E07000087","Fareham","South East","49869","2935","5.9"
"123","E07000088","Gosport","South East","37940","2739","7.2"
"124","E07000089","Hart","South East","38114","2090","5.5"
"125","E07000090","Havant","South East","54880","4260","7.8"
"126","E07000091","New Forest","South East","82308","6296","7.6"
"127","E07000092","Rushmoor","South East","39124","2521","6.4"
"128","E07000093","Test Valley","South East","51038","3526","6.9"
"129","E07000094","Winchester","South East","50226","3906","7.8"
"130","E07000095","Broxbourne","East of England","40185","2998","7.5"
"131","E07000096","Dacorum","East of England","63925","4700","7.4"
"132","E07000097","East Hertfordshire","East of England","60370","4397","7.3"
"133","E07000098","Hertsmere","East of England","42465","3240","7.6"
"134","E07000099","North Hertfordshire","East of England","57059","4478","7.8"
"135","E07000100","St Albans","East of England","59883","4114","6.9"
"136","E07000101","Stevenage","East of England","37245","2746","7.4"
"137","E07000102","Three Rivers","East of England","37500","2760","7.4"
"138","E07000103","Watford","East of England","39047","3317","8.5"
"139","E07000104","Welwyn Hatfield","East of England","46663","3875","8.3000000000000007"
"140","E07000105","Ashford","South East","51261","4362","8.5"
"141","E07000106","Canterbury","South East","65134","6576","10.1"
"142","E07000107","Dartford","South East","42962","2926","6.8"
"143","E07000108","Dover","South East","51615","5196","10.1"
"144","E07000109","Gravesham","South East","43333","3826","8.8000000000000007"
"145","E07000110","Maidstone","South East","67963","5419","8"
"146","E07000111","Sevenoaks","South East","50395","3685","7.3"
"147","E07000112","Shepway","South East","50597","5157","10.199999999999999"
"148","E07000113","Swale","South East","59559","5491","9.1999999999999993"
"149","E07000114","Thanet","South East","63692","6826","10.7"
"150","E07000115","Tonbridge and Malling","South East","51581","3770","7.3"
"151","E07000116","Tunbridge Wells","South East","50451","4276","8.5"
"152","E07000117","Burnley","North West","39344","5353","13.6"
"153","E07000118","Chorley","North West","47066","4687","10"
"154","E07000119","Fylde","North West","36494","3527","9.6999999999999993"
"155","E07000120","Hyndburn","North West","35972","4727","13.1"
"156","E07000121","Lancaster","North West","60626","8370","13.8"
"157","E07000122","Pendle","North West","39128","5935","15.2"
"158","E07000123","Preston","North West","60267","8057","13.4"
"159","E07000124","Ribble Valley","North West","25243","2791","11.1"
"160","E07000125","Rossendale","North West","30401","3450","11.3"
"161","E07000126","South Ribble","North West","48311","4515","9.3000000000000007"
"162","E07000127","West Lancashire","North West","47528","5477","11.5"
"163","E07000128","Wyre","North West","49558","5500","11.1"
"164","E07000129","Blaby","East Midlands","41051","3433","8.4"
"165","E07000130","Charnwood","East Midlands","70689","7105","10.1"
"166","E07000131","Harborough","East Midlands","37075","3285","8.9"
"167","E07000132","Hinckley and Bosworth","East Midlands","48179","4359","9"
"168","E07000133","Melton","East Midlands","22815","2412","10.6"
"169","E07000134","North West Leicestershire","East Midlands","41508","4052","9.8000000000000007"
"170","E07000135","Oadby and Wigston","East Midlands","22757","2017","8.9"
"171","E07000136","Boston","East Midlands","28878","3461","12"
"172","E07000137","East Lindsey","East Midlands","64777","9312","14.4"
"173","E07000138","Lincoln","East Midlands","42291","4672","11"
"174","E07000139","North Kesteven","East Midlands","48676","5047","10.4"
"175","E07000140","South Holland","East Midlands","39492","4579","11.6"
"176","E07000141","South Kesteven","East Midlands","60841","6075","10"
"177","E07000142","West Lindsey","East Midlands","40755","5207","12.8"
"178","E07000143","Breckland","East of England","58302","6573","11.3"
"179","E07000144","Broadland","East of England","57002","5398","9.5"
"180","E07000145","Great Yarmouth","East of England","44976","5705","12.7"
"181","E07000146","King's Lynn and West Norfolk","East of England","67221","8187","12.2"
"182","E07000147","North Norfolk","East of England","49292","6661","13.5"
"183","E07000148","Norwich","East of England","64291","7129","11.1"
"184","E07000149","South Norfolk","East of England","56471","5994","10.6"
"185","E07000150","Corby","East Midlands","26835","2401","8.9"
"186","E07000151","Daventry","East Midlands","33624","3429","10.199999999999999"
"187","E07000152","East Northamptonshire","East Midlands","37813","3753","9.9"
"188","E07000153","Kettering","East Midlands","42054","3993","9.5"
"189","E07000154","Northampton","East Midlands","94177","8167","8.6999999999999993"
"190","E07000155","South Northamptonshire","East Midlands","36975","3596","9.6999999999999993"
"191","E07000156","Wellingborough","East Midlands","34046","3331","9.8000000000000007"
"192","E07000163","Craven","Yorkshire and The Humber","25747","2733","10.6"
"193","E07000164","Hambleton","Yorkshire and The Humber","39983","3790","9.5"
"194","E07000165","Harrogate","Yorkshire and The Humber","70361","5832","8.3000000000000007"
"195","E07000166","Richmondshire","Yorkshire and The Humber","21227","2201","10.4"
"196","E07000167","Ryedale","Yorkshire and The Humber","23687","2782","11.7"
"197","E07000168","Scarborough","Yorkshire and The Humber","51733","6237","12.1"
"198","E07000169","Selby","Yorkshire and The Humber","36179","3006","8.3000000000000007"
"199","E07000170","Ashfield","East Midlands","54004","5700","10.6"
"200","E07000171","Bassetlaw","East Midlands","50666","5749","11.3"
"201","E07000172","Broxtowe","East Midlands","49786","4794","9.6"
"202","E07000173","Gedling","East Midlands","52426","4946","9.4"
"203","E07000174","Mansfield","East Midlands","47709","5107","10.7"
"204","E07000175","Newark and Sherwood","East Midlands","51835","5805","11.2"
"205","E07000176","Rushcliffe","East Midlands","48731","4302","8.8000000000000007"
"206","E07000177","Cherwell","South East","60856","4498","7.4"
"207","E07000178","Oxford","South East","59391","6234","10.5"
"208","E07000179","South Oxfordshire","South East","58086","4266","7.3"
"209","E07000180","Vale of White Horse","South East","53046","3670","6.9"
"210","E07000181","West Oxfordshire","South East","46449","3441","7.4"
"211","E07000187","Mendip","South West","50709","4772","9.4"
"212","E07000188","Sedgemoor","South West","53581","5130","9.6"
"213","E07000189","South Somerset","South West","76445","7610","10"
"214","E07000190","Taunton Deane","South West","51638","4377","8.5"
"215","E07000191","West Somerset","South West","17281","2246","13"
"216","E07000192","Cannock Chase","West Midlands","42974","4265","9.9"
"217","E07000193","East Staffordshire","West Midlands","49921","5610","11.2"
"218","E07000194","Lichfield","West Midlands","43653","3982","9.1"
"219","E07000195","Newcastle-under-Lyme","West Midlands","55674","6061","10.9"
"220","E07000196","South Staffordshire","West Midlands","47091","4329","9.1999999999999993"
"221","E07000197","Stafford","West Midlands","58875","5801","9.9"
"222","E07000198","Staffordshire Moorlands","West Midlands","44156","5038","11.4"
"223","E07000199","Tamworth","West Midlands","33476","2943","8.8000000000000007"
"224","E07000200","Babergh","East of England","40212","4416","11"
"225","E07000201","Forest Heath","East of England","27058","2522","9.3000000000000007"
"226","E07000202","Ipswich","East of England","61066","6450","10.6"
"227","E07000203","Mid Suffolk","East of England","42934","4651","10.8"
"228","E07000204","St Edmundsbury","East of England","48966","4523","9.1999999999999993"
"229","E07000205","Suffolk Coastal","East of England","57386","6362","11.1"
"230","E07000206","Waveney","East of England","54463","6750","12.4"
"231","E07000207","Elmbridge","South East","56676","3310","5.8"
"232","E07000208","Epsom and Ewell","South East","31906","2106","6.6"
"233","E07000209","Guildford","South East","57995","4109","7.1"
"234","E07000210","Mole Valley","South East","38384","2592","6.8"
"235","E07000211","Reigate and Banstead","South East","59453","3543","6"
"236","E07000212","Runnymede","South East","35115","2249","6.4"
"237","E07000213","Spelthorne","South East","42381","2542","6"
"238","E07000214","Surrey Heath","South East","36001","2001","5.6"
"239","E07000215","Tandridge","South East","35813","2335","6.5"
"240","E07000216","Waverley","South East","52848","3603","6.8"
"241","E07000217","Woking","South East","42315","2570","6.1"
"242","E07000218","North Warwickshire","West Midlands","27374","2888","10.6"
"243","E07000219","Nuneaton and Bedworth","West Midlands","55741","5333","9.6"
"244","E07000220","Rugby","West Midlands","44299","4058","9.1999999999999993"
"245","E07000221","Stratford-on-Avon","West Midlands","55030","5595","10.199999999999999"
"246","E07000222","Warwick","West Midlands","62116","5369","8.6"
"247","E07000223","Adur","South East","28903","2234","7.7"
"248","E07000224","Arun","South East","71485","5678","7.9"
"249","E07000225","Chichester","South East","53362","5056","9.5"
"250","E07000226","Crawley","South East","45803","3043","6.6"
"251","E07000227","Horsham","South East","58752","4258","7.2"
"252","E07000228","Mid Sussex","South East","61403","3988","6.5"
"253","E07000229","Worthing","South East","50298","3957","7.9"
"254","E07000234","Bromsgrove","West Midlands","40500","3383","8.4"
"255","E07000235","Malvern Hills","West Midlands","34107","4150","12.2"
"256","E07000236","Redditch","West Midlands","36680","3058","8.3000000000000007"
"257","E07000237","Worcester","West Midlands","44475","4392","9.9"
"258","E07000238","Wychavon","West Midlands","52444","5416","10.3"
"259","E07000239","Wyre Forest","West Midlands","45467","4746","10.4"
"260","E08000001","Bolton","North West","121762","14433","11.9"
"261","E08000002","Bury","North West","81773","8662","10.6"
"262","E08000003","Manchester","North West","214252","33216","15.5"
"263","E08000004","Oldham","North West","94036","11023","11.7"
"264","E08000005","Rochdale","North West","91675","11200","12.2"
"265","E08000006","Salford","North West","108434","12171","11.2"
"266","E08000007","Stockport","North West","127827","12564","9.8000000000000007"
"267","E08000008","Tameside","North West","99426","10601","10.7"
"268","E08000009","Trafford","North West","98944","10327","10.4"
"269","E08000010","Wigan","North West","142719","15394","10.8"
"270","E08000011","Knowsley","North West","64336","8194","12.7"
"271","E08000012","Liverpool","North West","216150","33672","15.6"
"272","E08000013","St. Helens","North West","79376","9009","11.3"
"273","E08000014","Sefton","North West","123611","15481","12.5"
"274","E08000015","Wirral","North West","147102","17986","12.2"
"275","E08000016","Barnsley","Yorkshire and The Humber","105311","10266","9.6999999999999993"
"276","E08000017","Doncaster","Yorkshire and The Humber","132354","12728","9.6"
"277","E08000018","Rotherham","Yorkshire and The Humber","113416","10814","9.5"
"278","E08000019","Sheffield","Yorkshire and The Humber","240828","25121","10.4"
"279","E08000020","Gateshead","North East","93204","8047","8.6"
"280","E08000021","Newcastle upon Tyne","North East","122360","12935","10.6"
"281","E08000022","North Tyneside","North East","95300","7286","7.6"
"282","E08000023","South Tyneside","North East","70221","6139","8.6999999999999993"
"283","E08000024","Sunderland","North East","125184","11533","9.1999999999999993"
"284","E08000025","Birmingham","West Midlands","434800","61560","14.2"
"285","E08000026","Coventry","West Midlands","136174","16512","12.1"
"286","E08000027","Dudley","West Midlands","137397","14565","10.6"
"287","E08000028","Sandwell","West Midlands","128555","15377","12"
"288","E08000029","Solihull","West Midlands","91032","7428","8.1999999999999993"
"289","E08000030","Walsall","West Midlands","114018","13510","11.8"
"290","E08000031","Wolverhampton","West Midlands","108032","13733","12.7"
"291","E08000032","Bradford","Yorkshire and The Humber","208463","25934","12.4"
"292","E08000033","Calderdale","Yorkshire and The Humber","92629","9448","10.199999999999999"
"293","E08000034","Kirklees","Yorkshire and The Humber","181390","19294","10.6"
"294","E08000035","Leeds","Yorkshire and The Humber","335852","34657","10.3"
"295","E08000036","Wakefield","Yorkshire and The Humber","146899","12915","8.8000000000000007"
"296","E09000001","City of London","London","4580","250","5.5"
"297","E09000002","Barking and Dagenham","London","73210","9008","12.3"
"298","E09000003","Barnet","London","142491","16766","11.8"
"299","E09000004","Bexley","London","97216","8783","9"
"300","E09000005","Brent","London","115550","15783","13.7"
"301","E09000006","Bromley","London","137352","11746","8.6"
"302","E09000007","Camden","London","102291","12193","11.9"
"303","E09000008","Croydon","London","152205","17108","11.2"
"304","E09000009","Ealing","London","130170","16464","12.6"
"305","E09000010","Enfield","London","125663","15911","12.7"
"306","E09000011","Greenwich","London","106158","11798","11.1"
"307","E09000012","Hackney","London","106436","12980","12.2"
"308","E09000013","Hammersmith and Fulham","London","84552","9585","11.3"
"309","E09000014","Haringey","London","106703","15393","14.4"
"310","E09000015","Harrow","London","88331","10364","11.7"
"311","E09000016","Havering","London","101967","9200","9"
"312","E09000017","Hillingdon","London","105213","10663","10.1"
"313","E09000018","Hounslow","London","99429","11494","11.6"
"314","E09000019","Islington","London","97944","10763","11"
"315","E09000020","Kensington and Chelsea","London","82550","10208","12.4"
"316","E09000021","Kingston upon Thames","London","66817","6955","10.4"
"317","E09000022","Lambeth","London","136156","15209","11.2"
"318","E09000023","Lewisham","London","121708","14739","12.1"
"319","E09000024","Merton","London","82831","9282","11.2"
"320","E09000025","Newham","London","106661","17205","16.100000000000001"
"321","E09000026","Redbridge","London","104038","13172","12.7"
"322","E09000027","Richmond upon Thames","London","83728","8280","9.9"
"323","E09000028","Southwark","London","126079","12426","9.9"
"324","E09000029","Sutton","London","82077","6897","8.4"
"325","E09000030","Tower Hamlets","London","106001","10118","9.5"
"326","E09000031","Waltham Forest","London","101503","14437","14.2"
"327","E09000032","Wandsworth","London","136720","13765","10.1"
"328","E09000033","Westminster","London","110733","12979","11.7"
"329",NA,NA,NA,NA,NA,"England"
"330",NA,NA,NA,NA,NA,NA
"331","1 The geographies are based on pre-2012 geography codes. More information on geography code changes can be found at the ONS website:",NA,NA,NA,NA,NA
"332","https://www.ons.gov.uk/methodology/geography/ukgeographies",NA,NA,NA,NA,NA
"333",NA,NA,NA,NA,NA,NA
"334","Estimates should only be used to look at general trends and identify areas of particularly high or low fuel poverty. See Sub-regional fuel poverty report, 2020:",NA,NA,NA,NA,NA
"335","https://www.gov.uk/government/statistics/sub-regional-fuel-poverty-2020",NA,NA,NA,NA,NA
