"","Table 2: Fuel Poverty by Local Authority1, 2018","...2","...3","...4","...5","...6"
"1",NA,NA,NA,NA,NA,NA
"2","LA Code","LA Name","Region","Number of households1","Number of households in fuel poverty1","Proportion of households fuel poor (%)"
"3","E06000001","Hartlepool","North East","42229","4274","10.1"
"4","E06000002","Middlesbrough","North East","59726","7092","11.9"
"5","E06000003","Redcar and Cleveland","North East","62277","6385","10.3"
"6","E06000004","Stockton-on-Tees","North East","82686","7474","9"
"7","E06000005","Darlington","North East","48726","4402","9"
"8","E06000006","Halton","North West","55796","6085","10.9"
"9","E06000007","Warrington","North West","89154","8110","9.1"
"10","E06000008","Blackburn with Darwen","North West","60022","8793","14.6"
"11","E06000009","Blackpool","North West","67472","10280","15.2"
"12","E06000010","Kingston upon Hull City of","Yorkshire and The Humber","117714","12445","10.6"
"13","E06000011","East Riding of Yorkshire","Yorkshire and The Humber","149715","14027","9.4"
"14","E06000012","North East Lincolnshire","Yorkshire and The Humber","72939","7380","10.1"
"15","E06000013","North Lincolnshire","Yorkshire and The Humber","73893","7222","9.8000000000000007"
"16","E06000014","York","Yorkshire and The Humber","87374","7408","8.5"
"17","E06000015","Derby","East Midlands","108475","12611","11.6"
"18","E06000016","Leicester","East Midlands","130856","19078","14.6"
"19","E06000017","Rutland","East Midlands","15928","1744","10.9"
"20","E06000018","Nottingham","East Midlands","134077","18666","13.9"
"21","E06000019","Herefordshire County of","West Midlands","83106","10682","12.9"
"22","E06000020","Telford and Wrekin","West Midlands","70543","6607","9.4"
"23","E06000021","Stoke-on-Trent","West Midlands","113939","14143","12.4"
"24","E06000022","Bath and North East Somerset","South West","80865","7335","9.1"
"25","E06000023","Bristol City of","South West","199974","19572","9.8000000000000007"
"26","E06000024","North Somerset","South West","97122","7343","7.6"
"27","E06000025","South Gloucestershire","South West","118051","7928","6.7"
"28","E06000026","Plymouth","South West","120006","12418","10.3"
"29","E06000027","Torbay","South West","64909","6467","10"
"30","E06000028","Bournemouth","South West","89882","8438","9.4"
"31","E06000029","Poole","South West","69575","4868","7"
"32","E06000030","Swindon","South West","97316","6651","6.8"
"33","E06000031","Peterborough","East of England","79276","7547","9.5"
"34","E06000032","Luton","East of England","79418","9219","11.6"
"35","E06000033","Southend-on-Sea","East of England","79656","7409","9.3000000000000007"
"36","E06000034","Thurrock","East of England","66659","5815","8.6999999999999993"
"37","E06000035","Medway","South East","113834","10291","9"
"38","E06000036","Bracknell Forest","South East","49285","2544","5.2"
"39","E06000037","West Berkshire","South East","66770","4401","6.6"
"40","E06000038","Reading","South East","67451","6056","9"
"41","E06000039","Slough","South East","54341","4815","8.9"
"42","E06000040","Windsor and Maidenhead","South East","62509","3829","6.1"
"43","E06000041","Wokingham","South East","64764","3498","5.4"
"44","E06000042","Milton Keynes","South East","105850","6290","5.9"
"45","E06000043","Brighton and Hove","South East","130091","14575","11.2"
"46","E06000044","Portsmouth","South East","91464","9859","10.8"
"47","E06000045","Southampton","South East","105322","10964","10.4"
