"","Table 2: Fuel Poverty by Local Authority1, 2017","...2","...3","...4","...5","...6"
"103","E07000068","Brentwood","East of England","32450","2719","8.4"
"104","E07000069","Castle Point","East of England","38617","3851","10"
"105","E07000070","Chelmsford","East of England","73793","6006","8.1"
"106","E07000071","Colchester","East of England","76080","7663","10.1"
"107","E07000072","Epping Forest","East of England","55168","4945","9"
"108","E07000073","Harlow","East of England","36715","2984","8.1"
"109","E07000074","Maldon","East of England","27349","2461","9"
"110","E07000075","Rochford","East of England","35578","3060","8.6"
"111","E07000076","Tendring","East of England","65874","7478","11.4"
"112","E07000077","Uttlesford","East of England","33228","3090","9.3000000000000007"
"113","E07000078","Cheltenham","South West","55121","5723","10.4"
"114","E07000079","Cotswold","South West","39391","4019","10.199999999999999"
"115","E07000080","Forest of Dean","South West","36965","4036","10.9"
"116","E07000081","Gloucester","South West","54588","5600","10.3"
"117","E07000082","Stroud","South West","51648","5117","9.9"
"118","E07000083","Tewkesbury","South West","38082","3349","8.8000000000000007"
"119","E07000084","Basingstoke and Deane","South East","74106","4849","6.5"
"120","E07000085","East Hampshire","South East","50425","3631","7.2"
"121","E07000086","Eastleigh","South East","55628","4029","7.2"
"122","E07000087","Fareham","South East","49636","3374","6.8"
"123","E07000088","Gosport","South East","37756","3083","8.1999999999999993"
"124","E07000089","Hart","South East","37927","2524","6.7"
"125","E07000090","Havant","South East","54637","4711","8.6"
"126","E07000091","New Forest","South East","81906","6562","8"
"127","E07000092","Rushmoor","South East","38922","2936","7.5"
"128","E07000093","Test Valley","South East","50823","3693","7.3"
"129","E07000094","Winchester","South East","49983","4072","8.1"
"130","E07000095","Broxbourne","East of England","39849","3233","8.1"
"131","E07000096","Dacorum","East of England","63444","5348","8.4"
"132","E07000097","East Hertfordshire","East of England","59916","4665","7.8"
"133","E07000098","Hertsmere","East of England","42125","3786","9"
"134","E07000099","North Hertfordshire","East of England","56592","4979","8.8000000000000007"
"135","E07000100","St Albans","East of England","59390","4923","8.3000000000000007"
"136","E07000101","Stevenage","East of England","36957","2959","8"
"137","E07000102","Three Rivers","East of England","37215","3283","8.8000000000000007"
"138","E07000103","Watford","East of England","38751","3954","10.199999999999999"
"139","E07000104","Welwyn Hatfield","East of England","46281","4584","9.9"
"140","E07000105","Ashford","South East","51007","4294","8.4"
"141","E07000106","Canterbury","South East","64810","6876","10.6"
"142","E07000107","Dartford","South East","42779","3285","7.7"
"143","E07000108","Dover","South East","51373","5164","10.1"
"144","E07000109","Gravesham","South East","43138","4349","10.1"
"145","E07000110","Maidstone","South East","67660","5750","8.5"
"146","E07000111","Sevenoaks","South East","50144","4101","8.1999999999999993"
"147","E07000112","Shepway","South East","50391","5330","10.6"
"148","E07000113","Swale","South East","59278","5800","9.8000000000000007"
"149","E07000114","Thanet","South East","63384","7802","12.3"
"150","E07000115","Tonbridge and Malling","South East","51340","4069","7.9"
"151","E07000116","Tunbridge Wells","South East","50220","4529","9"
"152","E07000117","Burnley","North West","39320","6458","16.399999999999999"
"153","E07000118","Chorley","North West","47038","4617","9.8000000000000007"
"154","E07000119","Fylde","North West","36470","3710","10.199999999999999"
"155","E07000120","Hyndburn","North West","35956","5552","15.4"
"156","E07000121","Lancaster","North West","60597","8234","13.6"
"157","E07000122","Pendle","North West","39113","6774","17.3"
"158","E07000123","Preston","North West","60233","9079","15.1"
"159","E07000124","Ribble Valley","North West","25229","2562","10.199999999999999"
"160","E07000125","Rossendale","North West","30384","3684","12.1"
"161","E07000126","South Ribble","North West","48289","4608","9.5"
"162","E07000127","West Lancashire","North West","47513","5061","10.7"
"163","E07000128","Wyre","North West","49522","5391","10.9"
"164","E07000129","Blaby","East Midlands","40617","2854","7"
"165","E07000130","Charnwood","East Midlands","69956","6146","8.8000000000000007"
"166","E07000131","Harborough","East Midlands","36677","2517","6.9"
"167","E07000132","Hinckley and Bosworth","East Midlands","47679","3622","7.6"
"168","E07000133","Melton","East Midlands","22570","1874","8.3000000000000007"
"169","E07000134","North West Leicestershire","East Midlands","41082","3231","7.9"
"170","E07000135","Oadby and Wigston","East Midlands","22492","1855","8.1999999999999993"
"171","E07000136","Boston","East Midlands","28596","2832","9.9"
"172","E07000137","East Lindsey","East Midlands","64082","6488","10.1"
"173","E07000138","Lincoln","East Midlands","41847","4451","10.6"
"174","E07000139","North Kesteven","East Midlands","48180","3539","7.3"
"175","E07000140","South Holland","East Midlands","39098","3012","7.7"
"176","E07000141","South Kesteven","East Midlands","60206","4929","8.1999999999999993"
"177","E07000142","West Lindsey","East Midlands","40329","3746","9.3000000000000007"
"178","E07000143","Breckland","East of England","57840","5795","10"
"179","E07000144","Broadland","East of England","56516","4998","8.8000000000000007"
"180","E07000145","Great Yarmouth","East of England","44601","5906","13.2"
"181","E07000146","King's Lynn and West Norfolk","East of England","66673","7150","10.7"
"182","E07000147","North Norfolk","East of England","48899","5666","11.6"
"183","E07000148","Norwich","East of England","63805","8226","12.9"
"184","E07000149","South Norfolk","East of England","56008","5237","9.4"
"185","E07000150","Corby","East Midlands","26538","2162","8.1"
"186","E07000151","Daventry","East Midlands","33267","2457","7.4"
"187","E07000152","East Northamptonshire","East Midlands","37422","2934","7.8"
"188","E07000153","Kettering","East Midlands","41630","3526","8.5"
"189","E07000154","Northampton","East Midlands","93191","7916","8.5"
"190","E07000155","South Northamptonshire","East Midlands","36565","2488","6.8"
"191","E07000156","Wellingborough","East Midlands","33694","2908","8.6"
"192","E07000163","Craven","Yorkshire and The Humber","25428","2394","9.4"
"193","E07000164","Hambleton","Yorkshire and The Humber","39483","3287","8.3000000000000007"
"194","E07000165","Harrogate","Yorkshire and The Humber","69492","5703","8.1999999999999993"
"195","E07000166","Richmondshire","Yorkshire and The Humber","20952","1890","9"
"196","E07000167","Ryedale","Yorkshire and The Humber","23376","2334","10"
"197","E07000168","Scarborough","Yorkshire and The Humber","51108","5907","11.6"
"198","E07000169","Selby","Yorkshire and The Humber","35731","2530","7.1"
"199","E07000170","Ashfield","East Midlands","53440","4952","9.3000000000000007"
"200","E07000171","Bassetlaw","East Midlands","50126","4549","9.1"
"201","E07000172","Broxtowe","East Midlands","49245","4249","8.6"
"202","E07000173","Gedling","East Midlands","51869","4316","8.3000000000000007"
"203","E07000174","Mansfield","East Midlands","47198","4602","9.8000000000000007"
"204","E07000175","Newark and Sherwood","East Midlands","51300","4660","9.1"
"205","E07000176","Rushcliffe","East Midlands","48207","3714","7.7"
"206","E07000177","Cherwell","South East","60576","4748","7.8"
"207","E07000178","Oxford","South East","59126","6946","11.7"
"208","E07000179","South Oxfordshire","South East","57812","4449","7.7"
"209","E07000180","Vale of White Horse","South East","52791","3914","7.4"
"210","E07000181","West Oxfordshire","South East","46244","3381","7.3"
"211","E07000187","Mendip","South West","49996","5370","10.7"
"212","E07000188","Sedgemoor","South West","52808","5706","10.8"
"213","E07000189","South Somerset","South West","75323","7900","10.5"
"214","E07000190","Taunton Deane","South West","50918","5184","10.199999999999999"
"215","E07000191","West Somerset","South West","17016","2145","12.6"
"216","E07000192","Cannock Chase","West Midlands","42540","4605","10.8"
"217","E07000193","East Staffordshire","West Midlands","49432","6239","12.6"
"218","E07000194","Lichfield","West Midlands","43187","4064","9.4"
"219","E07000195","Newcastle-under-Lyme","West Midlands","55091","6252","11.3"
"220","E07000196","South Staffordshire","West Midlands","46593","4268","9.1999999999999993"
"221","E07000197","Stafford","West Midlands","58286","5900","10.1"
"222","E07000198","Staffordshire Moorlands","West Midlands","43719","4739","10.8"
"223","E07000199","Tamworth","West Midlands","33125","3217","9.6999999999999993"
"224","E07000200","Babergh","East of England","39868","3965","9.9"
"225","E07000201","Forest Heath","East of England","26845","2588","9.6"
"226","E07000202","Ipswich","East of England","60600","7777","12.8"
"227","E07000203","Mid Suffolk","East of England","42617","3979","9.3000000000000007"
"228","E07000204","St Edmundsbury","East of England","48560","4427","9.1"
"229","E07000205","Suffolk Coastal","East of England","56913","5813","10.199999999999999"
"230","E07000206","Waveney","East of England","54029","6814","12.6"
"231","E07000207","Elmbridge","South East","56413","4365","7.7"
"232","E07000208","Epsom and Ewell","South East","31739","2438","7.7"
"233","E07000209","Guildford","South East","57684","4896","8.5"
"234","E07000210","Mole Valley","South East","38197","3030","7.9"
"235","E07000211","Reigate and Banstead","South East","59177","4373","7.4"
"236","E07000212","Runnymede","South East","34956","2743","7.8"
"237","E07000213","Spelthorne","South East","42200","2979","7.1"
"238","E07000214","Surrey Heath","South East","35818","2587","7.2"
"239","E07000215","Tandridge","South East","35640","2706","7.6"
"240","E07000216","Waverley","South East","52594","4182","8"
"241","E07000217","Woking","South East","42105","3174","7.5"
"242","E07000218","North Warwickshire","West Midlands","27079","2664","9.8000000000000007"
"243","E07000219","Nuneaton and Bedworth","West Midlands","55162","5958","10.8"
"244","E07000220","Rugby","West Midlands","43845","4500","10.3"
"245","E07000221","Stratford-on-Avon","West Midlands","54443","5225","9.6"
"246","E07000222","Warwick","West Midlands","61472","6142","10"
"247","E07000223","Adur","South East","28772","2446","8.5"
"248","E07000224","Arun","South East","71169","6127","8.6"
"249","E07000225","Chichester","South East","53105","4921","9.3000000000000007"
"250","E07000226","Crawley","South East","45586","3164","6.9"
"251","E07000227","Horsham","South East","58495","4249","7.3"
"252","E07000228","Mid Sussex","South East","61097","4594","7.5"
"253","E07000229","Worthing","South East","50058","4530","9"
"254","E07000234","Bromsgrove","West Midlands","40091","3616","9"
"255","E07000235","Malvern Hills","West Midlands","33733","3818","11.3"
"256","E07000236","Redditch","West Midlands","36313","3384","9.3000000000000007"
"257","E07000237","Worcester","West Midlands","44018","4890","11.1"
"258","E07000238","Wychavon","West Midlands","51870","4940","9.5"
"259","E07000239","Wyre Forest","West Midlands","44985","5047","11.2"
"260","E08000001","Bolton","North West","121698","16477","13.5"
"261","E08000002","Bury","North West","81738","9563","11.7"
"262","E08000003","Manchester","North West","214163","38307","17.899999999999999"
"263","E08000004","Oldham","North West","93981","12095","12.9"
"264","E08000005","Rochdale","North West","91622","12487","13.6"
"265","E08000006","Salford","North West","108389","13881","12.8"
"266","E08000007","Stockport","North West","127771","13696","10.7"
"267","E08000008","Tameside","North West","99373","11757","11.8"
"268","E08000009","Trafford","North West","98880","11246","11.4"
"269","E08000010","Wigan","North West","142644","17022","11.9"
"270","E08000011","Knowsley","North West","64293","8938","13.9"
"271","E08000012","Liverpool","North West","216033","37982","17.600000000000001"
"272","E08000013","St. Helens","North West","79348","9812","12.4"
"273","E08000014","Sefton","North West","123533","16133","13.1"
"274","E08000015","Wirral","North West","147015","19859","13.5"
"275","E08000016","Barnsley","Yorkshire and The Humber","104088","11141","10.7"
"276","E08000017","Doncaster","Yorkshire and The Humber","130745","14085","10.8"
"277","E08000018","Rotherham","Yorkshire and The Humber","112042","11272","10.1"
"278","E08000019","Sheffield","Yorkshire and The Humber","237868","25522","10.7"
"279","E08000020","Gateshead","North East","92308","9985","10.8"
"280","E08000021","Newcastle upon Tyne","North East","121192","15782","13"
"281","E08000022","North Tyneside","North East","94384","8819","9.3000000000000007"
"282","E08000023","South Tyneside","North East","69540","7814","11.2"
"283","E08000024","Sunderland","North East","123938","15678","12.6"
"284","E08000025","Birmingham","West Midlands","430251","69692","16.2"
"285","E08000026","Coventry","West Midlands","134734","19852","14.7"
"286","E08000027","Dudley","West Midlands","135971","15942","11.7"
"287","E08000028","Sandwell","West Midlands","127205","19383","15.2"
"288","E08000029","Solihull","West Midlands","90097","8315","9.1999999999999993"
"289","E08000030","Walsall","West Midlands","112841","15404","13.7"
"290","E08000031","Wolverhampton","West Midlands","106935","15395","14.4"
"291","E08000032","Bradford","Yorkshire and The Humber","205992","27767","13.5"
