Area Codes,households,fuel_poor,proportion
E07000179,58865,4129,7.01435488
E07000180,53758,3809,7.085457048
E07000181,47096,3446,7.316969594
E07000187,51304,5692,11.09465149
E07000188,54216,6198,11.43204958
E07000189,77355,8738,11.29597311
E07000192,43830,7246,16.53205567
E07000193,50944,8333,16.35717651
E07000194,44529,5665,12.72204631
E07000195,56811,10443,18.38200349
E07000196,48051,6051,12.59287008
E07000197,60047,8773,14.61022199
E07000198,45060,7098,15.75233023
E07000199,34163,4910,14.3722741
E07000200,41034,5422,13.21343276
E07000202,62246,10803,17.35533207
E07000203,43735,5734,13.11078084
E07000207,57412,3477,6.056225179
E07000208,32315,2352,7.278353706
E07000209,58788,4615,7.850241546
E07000210,38895,2778,7.142306209
E07000211,60259,4133,6.858726497
E07000212,35603,2447,6.873016319
E07000213,42963,2956,6.880338896
E07000214,36494,2116,5.798213405
E07000215,36299,2436,6.710928676
E07000216,53560,3896,7.274085138
E07000217,42884,2796,6.519914187
E07000218,27952,4295,15.36562679
E07000219,56861,9101,16.00569811
E07000220,45191,6502,14.38782058
E07000221,56188,7499,13.34626611
E07000222,63375,8384,13.22919132
E07000223,29295,2704,9.230244069
E07000224,72447,6337,8.747084075
E07000225,54060,4842,8.956714761
E07000226,46423,3805,8.19636818
E07000227,59523,4085,6.862893335
E07000228,62192,4149,6.671276048
E07000229,50954,4813,9.44577462
E07000234,41313,4841,11.71786121
E07000235,34797,5437,15.62491019
E07000236,37413,5405,14.44685003
E07000237,45380,7042,15.51784927
E07000238,53520,7486,13.98729447
E07000239,46357,7258,15.65675087
E07000240,61008,5620,9.211906635
E07000241,47599,6236,13.10111557
E07000242,61545,6160,10.00893655
E07000243,37997,4838,12.73258415
E07000244,114121,17076,14.96306552
E07000245,77486,9983,12.88361769
E07000246,69773,8023,11.49871727
E08000001,124572,18250,14.65016216
E08000002,83689,11035,13.18572333
E08000003,219112,44864,20.47537333
E08000004,96271,13867,14.40413001
E08000005,93801,14330,15.27702263
E08000006,110992,17004,15.32002306
E08000007,130876,15613,11.92961276
E08000008,101754,14379,14.13113981
E08000009,101237,12440,12.28799747
E08000010,145998,20191,13.8296415
E08000011,65877,9820,14.9065683
E08000012,221126,41297,18.67577761
E08000013,81289,11298,13.89855946
E08000014,126536,17536,13.85850667
E08000015,150488,21700,14.4197544
E08000016,108289,20798,19.20601354
E08000017,136181,25568,18.77501267
E08000018,116749,20889,17.89223034
E08000019,247909,46753,18.85893614
E08000021,124137,20820,16.77179246
E08000022,96641,12000,12.41709005
E08000023,71288,10316,14.47087869
E08000024,127030,18513,14.57372274
E08000025,443703,96795,21.81526832
E08000026,138952,28208,20.30053544
E08000027,140168,24248,17.29924091
E08000028,131117,27220,20.7600845
E08000029,92889,11637,12.52785583
E08000030,116294,22682,19.50401568
E08000031,110201,24722,22.43355323
E08000032,214445,39619,18.47513348
E08000033,95223,16499,17.32669628
E08000034,186510,32492,17.42104981
E08000035,345757,60802,17.58518266
E08000036,151129,26170,17.3163324
E08000037,94587,13455,14.22499921
E09000001,4700,205,4.361702128
E09000002,75298,13993,18.58349491
E09000003,146427,15188,10.372404
E09000004,99964,10129,10.13264775
E09000005,118699,15750,13.26885652
E09000006,141200,13119,9.291076487
E09000007,105133,10684,10.16236577
E09000008,156480,19981,12.76904397
E09000009,133802,14339,10.71658122
E09000010,129101,16030,12.41663504
E09000011,109251,14148,12.94999588
E09000012,109302,13821,12.64478235
E09000013,86921,8254,9.495979107
E09000014,109594,15391,14.04365202
E09000015,90777,10018,11.03583507
E09000016,104824,10778,10.28199649
E09000017,108198,11021,10.18595538
E09000018,102156,11334,11.09479619
E09000019,100635,10245,10.18035475
E09000020,84942,7699,9.063831791
E09000021,68715,6385,9.292003202
E09000022,139812,15475,11.06843476
E09000023,125093,17613,14.07992454
E09000024,85283,8969,10.51675011
E09000025,109730,19547,17.8137246
E09000026,106999,12739,11.90571875
E09000027,86077,6431,7.471217631
E09000028,129467,14386,11.11171186
E09000029,84424,8283,9.81119113
E09000030,108845,11941,10.97064633
E09000031,104280,17075,16.37418489
E09000032,140455,12099,8.61414688
E09000033,113697,10737,9.443520937
