"Area.Codes","households","fuel_poor","proportion"
"E07000118",46543,7170,15.4051092538083
"E07000119",36102,5097,14.1183313943826
"E07000120",35578,7312,20.5520265332509
"E07000121",59986,11397,18.9994332010803
"E07000122",38706,8909,23.0171032914794
"E07000123",59623,12235,20.52060446472
"E07000124",24960,3643,14.5953525641026
"E07000125",30070,5354,17.8051213834386
"E07000126",47780,7323,15.326496442026
"E07000127",47018,7534,16.0236505168233
"E07000128",49001,7742,15.7996775576009
"E07000129",39807,5287,13.2815836410682
"E07000130",68492,10813,15.7872452257198
"E07000131",35919,4637,12.9096021604165
"E07000132",46707,6919,14.8136253666474
"E07000133",22120,3554,16.0669077757685
"E07000134",40255,6269,15.5732207179232
"E07000135",22013,3072,13.9553899968201
"E07000136",28041,5615,20.0242502050569
"E07000137",62723,11760,18.7491031997832
"E07000138",41003,7944,19.374192132283
"E07000139",47256,7266,15.3758252920264
"E07000140",38312,6625,17.2922321987889
"E07000141",59005,9093,15.4105584272519
"E07000142",39518,7053,17.8475631357862
"E07000143",57316,8653,15.097006071603
"E07000144",56031,7299,13.0267173528939
"E07000145",44218,8233,18.6191143878059
"E07000146",66117,10648,16.1047839436151
"E07000147",48439,7830,16.1646607072813
"E07000148",63271,11394,18.0082502252217
"E07000149",55487,7697,13.8717176996414
"E07000163",25184,3812,15.1365946632783
"E07000164",39083,5368,13.7348719392063
"E07000165",68834,9474,13.7635470842897
"E07000166",20741,2869,13.8325056651078
"E07000167",23133,3770,16.2970647992046
"E07000168",50631,8969,17.7144437202504
"E07000169",35410,4539,12.8184128777182
"E07000170",52383,9055,17.2861424507951
"E07000171",49081,8163,16.6316904708543
"E07000172",48218,8290,17.1927495955867
"E07000173",50811,8135,16.010312727559
"E07000174",46234,8072,17.4590128476878
"E07000175",50221,8402,16.7300531650107
"E07000176",47209,6887,14.5883200237243
"E07000177",59959,7015,11.6996614353141
"E07000178",58517,10195,17.4222875403729
"E07000179",57213,6612,11.5568140108017
"E07000180",52250,6046,11.5712918660287
"E07000181",45769,5052,11.0380388472547
"E07000187",48640,7058,14.5106907894737
"E07000188",51401,7904,15.3771327406082
"E07000189",73285,10903,14.8775329194242
"E07000192",42364,7710,18.1994145972996
"E07000193",49223,10032,20.3807163317961
"E07000194",42990,6766,15.7385438474064
"E07000195",54845,10305,18.78931534324
"E07000196",46399,7049,15.1921377615897
"E07000197",58050,9775,16.838931955211
"E07000198",43546,7913,18.1715886648601
"E07000199",32992,5351,16.219083414161
"E07000200",39487,5640,14.2831818066705
"E07000202",60095,10586,17.6154422164906
"E07000203",42263,5910,13.9838629534108
"E07000207",55855,6351,11.3705129352788
"E07000208",31441,3914,12.4487134633122
