Area.Codes,households,fuel_poor,proportion
E07000179,58520,3734,6.380025177
E07000180,53430,3455,6.466079459
E07000181,46819,3197,6.828234684
E07000187,50896,5334,10.47939078
E07000188,53755,5792,10.77532879
E07000189,76708,8412,10.96672474
E07000192,43418,6948,16.00318427
E07000193,50487,8432,16.70065607
E07000194,44127,5505,12.47539897
E07000195,56279,10115,17.97305907
E07000196,47611,5897,12.38479573
E07000197,59511,8460,14.21624853
E07000198,44648,7188,16.10019931
E07000199,33833,4853,14.34253437
E07000200,40666,5437,13.37005271
E07000202,61715,10659,17.27207236
E07000203,43395,5827,13.42787655
E07000207,57075,3005,5.265712493
E07000208,32125,2071,6.446824813
E07000209,58420,3992,6.833752126
E07000210,38674,2371,6.131841991
E07000211,59907,3661,6.111145377
E07000212,35393,2212,6.248645245
E07000213,42694,2806,6.572768085
E07000214,36270,1834,5.056456669
E07000215,36060,2108,5.846112335
E07000216,53257,3292,6.18114406
E07000217,42649,2533,5.938752451
E07000218,27687,4475,16.16247147
E07000219,56332,9007,15.98904674
E07000220,44782,6534,14.58976985
E07000221,55635,7530,13.53415967
E07000222,62776,8141,12.96883003
E07000223,29120,2256,7.745873817
E07000224,72015,5145,7.144586191
E07000225,53740,4037,7.512217412
E07000226,46153,3428,7.427034489
E07000227,59157,3524,5.957577843
E07000228,61810,3558,5.756837337
E07000229,50663,4136,8.163565789
E07000234,40943,4761,11.62931383
E07000235,34464,5188,15.05235837
E07000236,37065,5385,14.52941639
E07000237,44956,6912,15.37496466
E07000238,53017,7430,14.01459123
E07000239,45941,7096,15.44536013
E07000240,60507,5602,9.25767994
E07000241,47193,5646,11.96434227
E07000242,61040,6327,10.36474595
E07000243,37653,4517,11.99533189
E07000244,113142,16118,14.24594467
E07000245,76831,10453,13.60555226
E07000246,69164,7378,10.66682982
E08000001,122724,18040,14.69977709
E08000002,82464,10971,13.30357049
E08000003,215977,42680,19.76114896
E08000004,94858,14383,15.1626764
E08000005,92405,14481,15.67131766
E08000006,109335,17002,15.55066228
E08000007,128929,15605,12.10327638
E08000008,100257,14640,14.60262569
E08000009,99754,12713,12.74409178
E08000010,143839,20373,14.16373374
E08000011,64896,10010,15.42473898
E08000012,217880,39375,18.07165292
E08000013,80065,11290,14.10051245
E08000014,124658,17093,13.71226579
E08000015,148293,20479,13.80966362
E08000016,107135,19894,18.56928968
E08000017,134672,23849,17.70869123
E08000018,115456,19604,16.97950821
E08000019,245150,42636,17.39160564
E08000021,123566,20144,16.30191909
E08000022,96192,12375,12.86519625
E08000023,70930,10417,14.68629412
E08000024,126427,19215,15.1988452
E08000025,439526,92631,21.07517827
E08000026,137650,25744,18.70279807
E08000027,138862,23421,16.86627689
E08000028,129918,27111,20.8679297
E08000029,92008,11439,12.43219072
E08000030,115225,22213,19.27804505
E08000031,109199,22983,21.04690664
E08000032,212068,38775,18.28400201
E08000033,94196,15668,16.63335351
E08000034,184520,30907,16.75012785
E08000035,341890,57270,16.75108084
E08000036,149464,25824,17.27769779
E08000037,94124,14128,15.01018372
E09000001,4655,295,6.336857035
E09000002,74494,16673,22.38215034
E09000003,144912,19101,13.18121225
E09000004,98927,12656,12.79286591
E09000005,117505,20243,17.22755903
E09000006,139712,16546,11.84289535
E09000007,104052,14224,13.67002866
E09000008,154868,25344,16.36516359
E09000009,132407,19567,14.77776505
E09000010,127782,20865,16.32848513
E09000011,108057,17934,16.59713201
E09000012,108209,17752,16.40540394
E09000013,86023,12136,14.10774716
E09000014,108473,19721,18.18077819
E09000015,89874,12964,14.42431244
E09000016,103763,13602,13.10902403
E09000017,107046,14747,13.77677853
E09000018,101106,15467,15.29798574
E09000019,99623,14646,14.70175767
E09000020,84022,10768,12.81517646
E09000021,67990,8392,12.34226473
E09000022,138398,21760,15.72265897
E09000023,123821,22489,18.16234975
E09000024,84337,12349,14.64248758
E09000025,108572,23478,21.62435276
E09000026,105841,16273,15.37455889
E09000027,85182,8999,10.56470592
E09000028,128171,18693,14.5841603
E09000029,83529,10697,12.80668666
E09000030,107761,15231,14.13395202
E09000031,103229,21658,20.98045613
E09000032,139052,18218,13.10140136
E09000033,112567,15201,13.50375528
