"Area.Codes","households","fuel_poor","proportion"
"E07000118",45691,6547,14.3288612637062
"E07000119",35470,5140,14.4911192557091
"E07000120",34927,7498,21.4676324906233
"E07000121",58846,11500,19.5425347517248
"E07000122",37985,8785,23.1275503488219
"E07000123",58542,12005,20.5066448020225
"E07000124",24481,4670,19.076018136514
"E07000125",29549,5419,18.3390300856205
"E07000126",46904,6037,12.8709704929217
"E07000127",46166,7602,16.4666637785383
"E07000128",48092,7402,15.3913332778841
"E07000129",39619,4693,11.8453267371716
"E07000130",68151,10006,14.6821029772124
"E07000131",35756,4938,13.8102696051012
"E07000132",46479,6590,14.1784461799953
"E07000133",22007,4001,18.1805789067115
"E07000134",40059,6588,16.4457425297686
"E07000135",21895,2949,13.4688284996575
"E07000136",27915,5273,18.8894859394591
"E07000137",62426,11895,19.0545605997501
"E07000138",40802,7814,19.1510220087251
"E07000139",47044,7075,15.0391123203809
"E07000140",38138,5620,14.7359588861503
"E07000141",58727,9974,16.9836702028028
"E07000142",39315,7135,18.1482894569503
"E07000143",56026,9473,16.9082211830222
"E07000144",54789,6526,11.9111500483674
"E07000145",43246,7493,17.3264579383064
"E07000146",64656,11534,17.8390249938134
"E07000147",47350,9356,19.7592397043295
"E07000148",61906,10763,17.3860368946467
"E07000149",54240,8920,16.4454277286136
"E07000163",24891,5580,22.417741352296
"E07000164",38626,8430,21.8246776782478
"E07000165",68042,13088,19.2351782722436
"E07000166",20482,5135,25.0707938677863
"E07000167",22827,5999,26.2802821220485
"E07000168",50059,11382,22.7371701392357
"E07000169",34992,5419,15.4863968907179
"E07000170",52126,7978,15.3052219621686
"E07000171",48839,8369,17.1358954933557
"E07000172",47984,7240,15.0883627875959
"E07000173",50562,7225,14.2893872868953
"E07000174",46027,7082,15.3866208964304
"E07000175",49982,8293,16.5919731103197
"E07000176",46981,6661,14.1780719865478
"E07000177",58657,8036,13.6999846565627
"E07000178",57247,11286,19.7145701958181
"E07000179",55970,7706,13.7680900482401
"E07000180",51094,6763,13.236387834188
"E07000181",44753,6267,14.0035304895761
"E07000187",48563,9956,20.5012046208018
"E07000188",51316,10187,19.8515083015044
"E07000189",73169,15654,21.3943063319165
