"Area.Codes","households","fuel_poor","proportion"
"E06000001",42229,6283,14.878401098771
"E06000002",59726,10425,17.45470984161
"E06000003",62277,9386,15.071374664804
"E06000004",82686,10987,13.2876182183199
"E06000005",48726,6471,13.2803841891393
"E06000006",55796,8945,16.0316151695462
"E06000007",89154,11922,13.372366915674
"E06000008",60022,12926,21.535437006431
"E06000009",67472,15112,22.3974389376334
"E06000010",117714,18294,15.5410571384882
"E06000011",149715,20620,13.7728350532679
"E06000012",72939,10849,14.8740728553997
"E06000013",73893,10616,14.366719445685
"E06000014",87374,10890,12.4636619589352
"E06000015",108475,18538,17.0896519935469
"E06000016",130856,28045,21.4319557376047
"E06000017",15928,2564,16.0974384731291
"E06000018",134077,27439,20.4651058719989
"E06000019",83106,15703,18.8951459581739
"E06000020",70543,9712,13.7674893327474
"E06000021",113939,20790,18.2466056398599
"E06000022",80865,10782,13.3333333333333
"E06000023",199974,28771,14.3873703581466
"E06000024",97122,10794,11.1138567986656
"E06000025",118051,11654,9.87200447264318
"E06000026",120006,18254,15.2109061213606
"E06000027",64909,9506,14.6451185505862
"E06000030",97316,9777,10.0466521435324
"E06000031",79276,11094,13.9941470306272
"E06000032",79418,13552,17.0641416303609
"E06000033",79656,10891,13.6725419303003
"E06000034",66659,8548,12.8234746995905
"E06000035",113834,15128,13.289526854894
"E06000036",49285,3740,7.58851577559095
"E06000037",66770,6469,9.68848285158005
"E06000038",67451,8902,13.1977287215905
"E06000039",54341,7078,13.0251559595885
"E06000040",62509,5629,9.00510326512982
"E06000041",64764,5142,7.93959607189179
"E06000042",105850,9246,8.73500236183278
"E06000043",130091,21425,16.4692407622357
"E06000044",91464,14493,15.845578588297
"E06000045",105322,16117,15.3025958489205
"E06000046",65398,10746,16.4316951588734
"E06000047",233658,33691,14.4189370789787
"E06000049",167004,24168,14.4715096644392
"E06000050",148163,23180,15.6449315956075
"E06000051",137012,24734,18.052433363501
"E06000052",252948,46784,18.4955010515995
"E06000053",1104,340,30.7971014492754
"E06000054",213598,25784,12.0712740756
"E06000055",68164,10143,14.880288715451
"E06000056",111290,13681,12.2931080959655
"E06000057",144722,20848,14.4055499509404
"E06000058",183033,21906,11.9683335791906
"E06000059",174556,22470,12.8726597768052
"E06000060",215328,22101,10.2638765046812
"E06000061",140748,19813,14.0769318214113
"E06000062",164776,22332,13.552944603583
"E07000008",49951,8117,16.2499249264279
"E07000009",36914,5382,14.5798342092431
"E07000010",43134,6850,15.880743728845
"E07000011",73996,9176,12.4006703065031
"E07000012",64070,7826,12.2147651006711
"E07000026",44283,8954,20.219948964614
"E07000027",32698,6908,21.1266744143373
"E07000028",50540,8933,17.6751088246933
"E07000029",32006,6394,19.9775042179591
"E07000030",24110,5198,21.5595188718374
"E07000031",48798,9001,18.4454280913152
"E07000032",55791,8624,15.4576903084727
"E07000033",34761,5518,15.8741117919507
"E07000034",49652,7556,15.2179167002336
"E07000035",32734,6071,18.5464654487689
"E07000036",51701,7850,15.1834587338736
"E07000037",41392,6389,15.4353498260533
"E07000038",45769,6997,15.2876401057484
"E07000039",41348,5978,14.4577730482732
"E07000040",64717,9212,14.2342815643494
"E07000041",54112,8251,15.2480041395624
"E07000042",35964,5839,16.235680124569
"E07000043",43820,7566,17.2660885440438
"E07000044",40445,6443,15.9302756830263
"E07000045",59307,8404,14.1703340246514
"E07000046",30662,5665,18.4756375970256
"E07000047",24919,4492,18.0264055539949
"E07000061",48279,6064,12.5603264359245
"E07000062",44005,7425,16.8730826042495
"E07000063",45151,5314,11.7693960266661
"E07000064",43778,6836,15.6151491616794
"E07000065",67062,8380,12.4958993170499
"E07000066",77625,8870,11.426731078905
"E07000067",65149,8914,13.682481695805
"E07000068",32703,3585,10.9622970369691
"E07000069",38918,5154,13.2432293540264
"E07000070",74369,8607,11.5733706248571
"E07000071",76699,10577,13.7902710595966
"E07000072",55618,6721,12.0842173397102
"E07000073",37005,4088,11.0471557897581
"E07000074",27566,4316,15.6569687295944
"E07000075",35854,4488,12.5174318067719
"E07000076",66413,10641,16.0224654811558
"E07000077",33489,4582,13.6821045716504
"E07000078",55923,6688,11.9593011819824
"E07000079",39984,5577,13.9480792316927
"E07000080",37514,6425,17.1269392760036
"E07000081",55398,6449,11.6412144842774
"E07000082",52372,6743,12.8752004888108
"E07000083",38660,4182,10.8173823072944
"E07000084",74448,6708,9.01031592520954
"E07000085",50673,5233,10.3269985988594
"E07000086",55886,5173,9.25634327022868
"E07000087",49869,4314,8.65066474162305
"E07000088",37940,4026,10.611491829204
"E07000089",38114,3072,8.06003043501076
"E07000090",54880,6262,11.4103498542274
"E07000091",82308,9255,11.2443504884094
"E07000092",39124,3706,9.47244658010428
"E07000093",51038,5183,10.1551784944551
"E07000094",50226,5742,11.4323258869908
"E07000095",40185,4407,10.9667786487495
"E07000096",63925,6909,10.8079780993352
"E07000098",42465,4763,11.2162957729895
"E07000099",57059,6583,11.5371808128428
"E07000102",37500,4057,10.8186666666667
"E07000103",39047,4876,12.4875150459702
"E07000105",51261,6412,12.5085347535163
"E07000106",65134,9667,14.8417109343814
"E07000107",42962,4301,10.0111726642149
"E07000108",51615,7638,14.7980238302819
"E07000109",43333,5624,12.978561373549
"E07000110",67963,7966,11.7210835307447
"E07000111",50395,5417,10.7490822502232
"E07000112",50597,7581,14.9831017649268
"E07000113",59559,8072,13.5529474974395
"E07000114",63692,10034,15.7539408402939
"E07000115",51581,5542,10.7442662996064
"E07000116",50451,6286,12.4596142792016
"E07000117",39344,7869,20.0005083367222
"E07000118",47066,6890,14.6390175498237
"E07000119",36494,5185,14.2078149832849
"E07000120",35972,6949,19.3178027354609
"E07000121",60626,12304,20.2949229703428
"E07000122",39128,8724,22.2960539766919
"E07000123",60267,11844,19.6525461695455
"E07000124",25243,4103,16.2540110129541
"E07000125",30401,5072,16.6836617216539
"E07000126",48311,6637,13.7380720746828
"E07000127",47528,8051,16.9394883016327
"E07000128",49558,8085,16.3142176843295
"E07000129",41051,5047,12.2944629850674
"E07000130",70689,10444,14.7745759594845
"E07000131",37075,4829,13.0249494268375
"E07000132",48179,6408,13.3004005894684
"E07000133",22815,3546,15.5424063116371
"E07000134",41508,5956,14.3490411486942
"E07000135",22757,2965,13.0289581227754
"E07000136",28878,5088,17.6189486806566
"E07000137",64777,13689,21.132500733285
"E07000138",42291,6868,16.2398619091532
"E07000139",48676,7419,15.241597501849
"E07000140",39492,6731,17.0439582700294
"E07000141",60841,8930,14.6776022747818
"E07000142",40755,7654,18.7805177278861
"E07000143",58302,9662,16.5723302802648
"E07000144",57002,7935,13.9205641907302
"E07000145",44976,8386,18.6454998221274
"E07000146",67221,12035,17.9036313056932
"E07000147",49292,9792,19.8652925424004
"E07000148",64291,10480,16.300881927486
"E07000149",56471,8811,15.6026987303218
"E07000163",25747,4018,15.605701635142
"E07000164",39983,5571,13.9334217042243
"E07000165",70361,8573,12.1843066471483
"E07000166",21227,3235,15.2400244971027
"E07000167",23687,4090,17.2668552370499
"E07000168",51733,9168,17.7217636711577
"E07000169",36179,4419,12.2142679454932
"E07000170",54004,8379,15.5155173690838
"E07000171",50666,8451,16.679824734536
"E07000172",49786,7047,14.1545816092877
"E07000173",52426,7271,13.8690725975661
"E07000174",47709,7507,15.7349766291475
"E07000175",51835,8533,16.4618501012829
"E07000176",48731,6324,12.9773655373376
"E07000177",60856,6612,10.8649927698173
"E07000178",59391,9164,15.4299472984122
"E07000179",58086,6271,10.7960610129808
"E07000180",53046,5395,10.1704181276628
"E07000181",46449,5058,10.8893625266421
"E07000187",50709,7015,13.8338362026465
"E07000188",53581,7541,14.0740187753121
"E07000189",76445,11187,14.6340506246321
"E07000192",42974,6270,14.5902173407176
"E07000193",49921,8247,16.520101760782
"E07000194",43653,5854,13.4103039882711
"E07000195",55674,8910,16.003879728419
"E07000196",47091,6364,13.5142596249814
"E07000197",58875,8527,14.4832271762208
"E07000198",44156,7406,16.7723525681674
"E07000199",33476,4326,12.9226908830207
"E07000200",40212,6492,16.144434497165
"E07000202",61066,9482,15.5274620901975
"E07000203",42934,6837,15.9244421670471
"E07000207",56676,4866,8.58564471734067
"E07000208",31906,3096,9.70350404312669
"E07000209",57995,6040,10.4146909216312
