"","Area.Codes","households","fuel_poor","proportion"
"126","E07000106",65602,5721,8.72077070821012
"127","E07000107",43292,3232,7.46558255566848
"128","E07000108",51976,5146,9.90072341080499
"129","E07000109",43668,4104,9.39818631492168
"130","E07000110",68469,5298,7.73780835122464
"131","E07000111",50737,3383,6.66771783905237
"132","E07000112",50959,4709,9.24076218136149
"133","E07000113",59997,5453,9.08878777272197
"134","E07000114",64157,6769,10.5506803622364
"135","E07000115",51981,3614,6.9525403512822
"136","E07000116",50814,4135,8.13752115558704
"137","E07000117",39670,6507,16.4028232921603
"138","E07000118",47473,5635,11.8699049986308
"139","E07000119",36781,4117,11.1932791386857
"140","E07000120",36271,5642,15.5551266852306
"141","E07000121",61141,8869,14.5058144289429
"142","E07000122",39460,6818,17.2782564622402
"143","E07000123",60749,9181,15.113005975407
"144","E07000124",25463,2978,11.6954011703256
"145","E07000125",30654,4549,14.8398251451687
"146","E07000126",48730,5240,10.7531294890211
"147","E07000127",47944,6290,13.1194727181712
"148","E07000128",49967,5996,11.9999199471651
"149","E07000129",41491,4008,9.65992624906606
"150","E07000130",71430,8448,11.8269634607308
"151","E07000131",37494,3625,9.6682135808396
"152","E07000132",48696,5566,11.4300969278791
"153","E07000133",23061,2873,12.4582628680456
"154","E07000134",41941,5386,12.8418492644429
"155","E07000135",23030,2349,10.1997394702562
"156","E07000136",29178,4777,16.3719240523682
"157","E07000137",65476,10002,15.2758262569491
"158","E07000138",42754,6568,15.3623052813772
"159","E07000139",49191,5860,11.9127482669594
"160","E07000140",39908,5711,14.3104139520898
"161","E07000141",61485,7450,12.1167764495405
"162","E07000142",41192,5933,14.4032821907166
"163","E07000143",58965,8888,15.0733485966251
"164","E07000144",57611,6561,11.3884501223725
"165","E07000145",45472,7451,16.3859078114004
"166","E07000146",67915,11517,16.9579621585806
"167","E07000147",49840,7866,15.7825040128411
"168","E07000148",64957,12176,18.7447080376249
"169","E07000149",57082,7571,13.2633754949021
"177","E07000163",26195,4025,15.3655277724757
"178","E07000164",40720,5770,14.1699410609037
"179","E07000165",71628,9217,12.8678728988664
"180","E07000166",21636,3516,16.2506932889628
"181","E07000167",24145,3894,16.127562642369
"182","E07000168",52640,8824,16.7629179331307
"183","E07000169",36812,4857,13.1940671520156
"184","E07000170",54566,8302,15.2146024997251
"185","E07000171",51224,7649,14.9324535374043
"186","E07000172",50344,6220,12.3549976163992
"187","E07000173",53002,6088,11.4863590053206
"188","E07000174",48239,7421,15.3838180725139
"189","E07000175",52387,7269,13.8755798194208
"190","E07000176",49271,4856,9.85569604838546
"191","E07000177",61328,4428,7.22019306026611
"192","E07000178",59850,5893,9.84628237259816
"193","E07000179",58520,3748,6.40464798359535
"194","E07000180",53430,3468,6.49073554183043
"195","E07000181",46819,3209,6.85405497768
"196","E07000187",50896,5354,10.5194907261867
"197","E07000188",53755,5815,10.817598362943
"198","E07000189",76708,8445,11.0092819523387
"199","E07000192",43418,6975,16.0647657653508
"200","E07000193",50487,8464,16.7647117079644
"201","E07000194",44127,5526,12.5229451356312
"202","E07000195",56279,10154,18.042253771389
"203","E07000196",47611,5919,12.4320010081704
"204","E07000197",59511,8493,14.2713111861673
"205","E07000198",44648,7216,16.1619781401183
"206","E07000199",33833,4871,14.3971861791742
"207","E07000200",40666,5458,13.4215315005164
"208","E07000202",61715,10701,17.3393826460342
"209","E07000203",43395,5850,13.4808157621846
"210","E07000207",57075,3017,5.28602715724923
"211","E07000208",32125,2079,6.4715953307393
"212","E07000209",58420,4008,6.86066415611092
"213","E07000210",38674,2381,6.15659099136371
"214","E07000211",59907,3675,6.13450848815664
"215","E07000212",35393,2220,6.27242675105247
"216","E07000213",42694,2817,6.59811683140488
