"Area.Codes","households","fuel_poor","proportion"
"E06000001",40843,8841,21.6463041402444
"E06000002",57778,15718,27.2041261379764
"E06000003",60247,12856,21.3388218500506
"E06000004",79982,15772,19.7194368732965
"E06000005",47148,10415,22.090014422669
"E06000006",54421,8836,16.2363793388582
"E06000007",86956,12241,14.0772344634068
"E06000008",58539,14087,24.0642990143323
"E06000009",65773,16440,24.9950587627142
"E06000010",114915,23741,20.6596179785058
"E06000011",146078,21176,14.4963649557086
"E06000012",71187,13590,19.0905642884234
"E06000013",72141,10427,14.4536394006182
"E06000014",85278,13620,15.9712938858791
"E06000015",104287,23713,22.7382128165543
"E06000016",125643,36834,29.3163964566271
"E06000017",15305,2520,16.4652074485462
"E06000018",128710,31948,24.8216921762101
"E06000019",78628,19643,24.9821946380424
"E06000020",66858,12801,19.1465494032128
"E06000021",107993,28049,25.9729797301677
"E06000022",77428,16557,21.3837371493517
"E06000023",191878,44921,23.4112300524291
"E06000024",92931,15684,16.8770378022404
"E06000025",113101,18130,16.0299201598571
"E06000026",114977,27270,23.717787035668
"E06000027",62146,14056,22.6177066906961
"E06000030",93120,16134,17.3260309278351
"E06000031",76061,13068,17.1809468715899
"E06000032",76281,18084,23.7070830219845
"E06000033",76619,13294,17.3507876636343
"E06000034",64025,9831,15.3549394767669
"E06000035",109312,18941,17.3274663348946
"E06000036",47277,4683,9.90545085348055
"E06000037",64165,7547,11.761863944518
"E06000038",64742,12857,19.8588242562788
"E06000039",52217,9353,17.9117911791179
"E06000040",60046,8126,13.5329580654831
"E06000041",62150,6829,10.9879324215607
"E06000042",101557,11342,11.1681124885532
"E06000043",125027,26308,21.0418549593288
"E06000044",87895,19088,21.7168212071221
"E06000045",101116,18459,18.2552711737015
"E06000046",62835,11153,17.749661812684
"E06000047",226091,46108,20.3935583459757
"E06000049",162840,25304,15.539179562761
"E06000050",144489,22697,15.7084622358795
"E06000051",130170,30483,23.4178382115695
"E06000052",242388,61946,25.5565457035827
"E06000053",1052,418,39.7338403041825
"E06000054",204471,36326,17.7658445451922
"E06000055",65504,11726,17.9011968734734
"E06000056",107092,14519,13.5575019609308
"E06000057",139995,28253,20.1814350512518
"E06000058",175650,31823,18.1172786791916
"E06000059",167136,29883,17.8794514646755
"E06000060",206693,27421,13.2665353930709
"E06000061",135265,22021,16.2798950208849
"E06000062",158254,26419,16.6940488076131
"E07000008",47964,10245,21.3597698273705
"E07000009",35504,4581,12.9027715187021
"E07000010",41585,5797,13.9401226403751
"E07000011",71126,8793,12.3625678373591
"E07000012",61555,7776,12.6326049874096
"E07000026",43212,8029,18.5804869017865
"E07000027",31885,8149,25.5574721655951
"E07000028",49337,8854,17.9459634756876
"E07000029",31198,5414,17.3536765177255
"E07000030",23529,4728,20.0943516511539
"E07000031",47561,8514,17.9012215891171
"E07000032",53649,9751,18.1755484724785
"E07000033",33442,5830,17.4331678727349
"E07000034",47745,8485,17.7714943973191
"E07000035",31385,6301,20.0764696511072
"E07000036",49665,9154,18.4314909896305
"E07000037",39744,7367,18.5361312399356
"E07000038",43962,6990,15.9000955370547
"E07000039",39758,6324,15.9062327078827
"E07000040",62073,12110,19.5092874518712
"E07000041",51816,12029,23.2148371159487
"E07000042",34458,7783,22.586917406698
"E07000043",42019,10091,24.0153263999619
"E07000044",38772,8338,21.5052099453214
"E07000045",56796,11866,20.8923163603071
"E07000046",29409,7296,24.80873202081
"E07000047",23894,5816,24.3408387042772
"E07000061",46344,6992,15.0871741757293
"E07000062",42327,8861,20.9346280152149
"E07000063",43388,5910,13.621277772656
"E07000064",42051,6636,15.7808375543982
"E07000065",64469,8446,13.1008701856706
"E07000066",74621,9285,12.4428780102116
"E07000067",62639,9039,14.4303069972381
"E07000068",31457,4296,13.656737769018
"E07000069",37407,5006,13.3825219878632
"E07000070",71499,9351,13.0785045944699
"E07000071",73595,10995,14.9398736327196
"E07000072",53411,7875,14.7441538259909
"E07000073",35527,4616,12.9929349508824
"E07000074",26500,3871,14.6075471698113
"E07000075",34466,4363,12.6588522021703
"E07000076",63786,10590,16.602389239018
"E07000077",32160,4836,15.0373134328358
"E07000078",53581,10457,19.5162464306377
"E07000079",38219,7480,19.5714173578587
"E07000080",35930,7400,20.5956025605344
"E07000081",53027,10029,18.9130065815528
