Area Codes,households,fuel_poor,proportion
E06000001,41844,5291,12.64458465
E06000002,59163,9106,15.39137637
E06000003,61674,7461,12.0974803
E06000004,81906,9219,11.25558567
E06000005,48267,5883,12.18845174
E06000006,55763,6594,11.82504528
E06000007,89105,8776,9.849054486
E06000008,59983,9895,16.49634063
E06000009,67444,11787,17.47672143
E06000010,116322,13932,11.97709806
E06000011,147919,12527,8.468824154
E06000012,72075,8255,11.45334721
E06000013,73013,6663,9.125772123
E06000014,86346,7697,8.91413615
E06000015,107351,11617,10.82151075
E06000016,129468,17978,13.88605679
E06000017,15763,1264,8.018778151
E06000018,132647,16722,12.6063914
E06000019,82202,9990,12.15298898
E06000020,69808,7700,11.03025441
E06000021,112735,16548,14.67867122
E06000022,79693,8657,10.86293652
E06000023,197240,23015,11.66852565
E06000024,95697,9111,9.520674629
E06000025,116352,9525,8.186365512
E06000026,118270,15419,13.03711846
E06000027,63985,8060,12.59670235
E06000030,95918,8729,9.100481661
E06000031,78629,8990,11.43344059
E06000032,78769,10972,13.92933768
E06000033,79057,9017,11.40569463
E06000034,66141,6005,9.079088614
E06000035,113307,11661,10.29150891
E06000036,49052,2826,5.761232977
E06000037,66481,4781,7.191528407
E06000038,67112,7290,10.86243891
E06000039,54074,5462,10.10097274
E06000040,62214,4876,7.837464236
E06000041,64460,4298,6.6677009
E06000042,105356,7288,6.917498766
E06000043,129473,15125,11.6819723
E06000044,91044,10978,12.05790607
E06000045,104805,12022,11.47082677
E06000046,65083,7155,10.99365426
E06000047,231517,27309,11.79567807
E06000049,166922,17564,10.52227987
E06000050,148106,16179,10.92393286
E06000051,135638,16013,11.80568867
E06000052,249359,32883,13.1870115
E06000053,1084,135,12.45387454
E06000054,210529,19540,9.281381662
E06000055,67613,7495,11.08514635
E06000056,110439,9314,8.433614937
E06000057,143347,15883,11.08010632
E06000058,180507,19201,10.6372606
E06000059,171970,16903,9.829039949
E06000060,214294,17150,8.003023883
E06000061,139284,11530,8.278050602
E06000062,163023,12861,7.889070867
E07000008,49543,6075,12.26207537
E07000009,36626,3030,8.272811664
E07000010,42826,4345,10.14570588
E07000011,73404,5961,8.120810855
E07000012,63568,5073,7.980430405
E07000026,44269,5287,11.94289458
E07000027,32684,4920,15.05323706
E07000028,50518,6113,12.1006374
E07000029,31995,3756,11.73933427
E07000030,24106,2880,11.94723305
