Area Codes,households,fuel_poor,proportion
E06000001,42229,4274,10.12100689
E06000002,59726,7092,11.87422563
E06000003,62277,6385,10.25258121
E06000004,82686,7474,9.039015069
E06000005,48726,4402,9.034191192
E06000006,55796,6085,10.9057997
E06000007,89154,8110,9.096619333
E06000008,60022,8793,14.64962847
E06000009,67472,10280,15.23594973
E06000010,117714,12445,10.5722344
E06000011,149715,14027,9.369134689
E06000012,72939,7380,10.11804384
E06000013,73893,7222,9.773591545
E06000014,87374,7408,8.478494747
E06000015,108475,12611,11.62572021
E06000016,130856,19078,14.57938497
E06000017,15928,1744,10.94927172
E06000018,134077,18666,13.92185088
E06000019,83106,10682,12.85346425
E06000020,70543,6607,9.36591866
E06000021,113939,14143,12.41278228
E06000022,80865,7335,9.070673344
E06000023,199974,19572,9.787272345
E06000024,97122,7343,7.560593892
E06000025,118051,7928,6.715741502
E06000026,120006,12418,10.34781594
E06000027,64909,6467,9.96317922
E06000030,97316,6651,6.834436269
E06000031,79276,7547,9.519905142
E06000032,79418,9219,11.60819965
E06000033,79656,7409,9.301245355
E06000034,66659,5815,8.723503203
E06000035,113834,10291,9.040357011
E06000036,49285,2544,5.161813939
E06000037,66770,4401,6.591283511
E06000038,67451,6056,8.978369483
E06000039,54341,4815,8.860712906
E06000040,62509,3829,6.125517925
E06000041,64764,3498,5.401148786
E06000042,105850,6290,5.94237128
E06000043,130091,14575,11.20369587
E06000044,91464,9859,10.77910435
E06000045,105322,10964,10.40998082
E06000046,65398,7310,11.17771186
E06000047,233658,22919,9.808780354
E06000049,167004,16441,9.844674379
E06000050,148163,15769,10.64300804
E06000051,137012,16826,12.28067615
E06000052,252948,31826,12.58203267
E06000053,1104,231,20.92391304
E06000054,213598,17540,8.211687375
E06000055,68164,6900,10.12264538
E06000056,111290,9307,8.362835834
E06000057,144722,14182,9.799477619
E06000058,183033,14902,8.141701223
E06000059,174556,15286,8.757075093
E06000060,215328,15035,6.98237108
E06000061,140748,13478,9.575979765
E06000062,164776,15192,9.21978929
E07000008,49951,5522,11.05483374
E07000009,36914,3661,9.917646421
E07000010,43134,4660,10.80354245
E07000011,73996,6242,8.435591113
E07000012,64070,5324,8.309661308
E07000026,44283,6091,13.754714
E07000027,32698,4699,14.37090954
E07000028,50540,6077,12.0241393
E07000029,32006,4350,13.59120165
E07000030,24110,3536,14.66611365
