Area Codes,households,fuel_poor,proportion
E06000001,40875,4837,11.83363914
E06000002,57832,8292,14.33808272
E06000003,60241,7120,11.81919291
E06000004,80051,8585,10.72441319
E06000005,47177,5940,12.59088115
E06000006,54209,5252,9.688428121
E06000007,86591,7246,8.368075204
E06000008,58325,7232,12.39948564
E06000009,65501,8633,13.17995145
E06000010,113998,15026,13.180933
E06000011,144838,14643,10.10991591
E06000012,70581,8664,12.27525821
E06000013,71569,7298,10.1971524
E06000014,84601,9075,10.72682356
E06000015,104703,11175,10.67304662
E06000016,126158,16991,13.46803215
E06000017,15366,1630,10.60783548
E06000018,129238,16245,12.5698324
E06000019,79154,11978,15.13252647
E06000020,67301,6824,10.13952244
E06000021,108672,13634,12.54601001
E06000022,77379,10203,13.18574807
E06000023,191818,26116,13.61498921
E06000024,92907,9176,9.87654321
E06000025,113092,10797,9.547094401
E06000026,114958,14721,12.80554637
E06000027,62128,7234,11.64370332
E06000030,93083,9137,9.815970693
E06000031,76128,6441,8.460750315
E06000032,76337,7321,9.590369022
E06000033,76668,6907,9.008973757
E06000034,64109,4747,7.404576581
E06000035,109768,10150,9.246775016
E06000036,47478,2739,5.768987742
E06000037,64437,5330,8.271645173
E06000038,65015,7002,10.76982235
E06000039,52424,4317,8.234777964
E06000040,60300,4947,8.2039801
E06000041,62404,3781,6.05890648
E06000042,101976,6092,5.973954656
E06000043,125532,15459,12.31478826
E06000044,88263,10429,11.81582316
E06000045,101531,9984,9.833449882
E06000046,63093,5645,8.947109822
E06000047,226226,27618,12.20814584
E06000049,162174,16343,10.07744768
E06000050,143904,14461,10.04906048
E06000051,130948,19135,14.61267068
E06000052,242313,36217,14.94637102
E06000053,1051,214,20.36156042
E06000054,204443,25679,12.56046918
E06000055,65522,6006,9.166386862
E06000056,107161,7836,7.312361773
E06000057,140057,18668,13.32885896
E06000058,175563,17603,10.02660014
E06000059,167058,18120,10.84653234
E06000060,207550,16462,7.931582751
E06000061,135811,12619,9.291589047
E06000062,158903,15339,9.653058784
E07000008,47995,5447,11.34909886
E07000009,35530,2853,8.029833943
E07000010,41619,3133,7.527811817
E07000011,71207,4790,6.726866741
E07000012,61602,4870,7.905587481
E07000026,43045,5485,12.7424788
E07000027,31764,3892,12.25286488
E07000028,49142,5866,11.93683611
E07000029,31077,3476,11.18512083
E07000030,23431,3837,16.37574154
E07000031,47359,5620,11.86680462
E07000032,53853,5426,10.07557611
E07000033,33571,3310,9.859700337
E07000034,47925,4594,9.585811163
E07000035,31524,3835,12.16533435
E07000036,49883,4704,9.430066355
E07000037,39898,4208,10.54689458
E07000038,44134,3836,8.691711606
E07000039,39903,3614,9.056963136
E07000040,62047,6988,11.26243009
E07000041,51821,6379,12.3096814
E07000042,34422,4959,14.40648423
E07000043,42011,5834,13.88683916
E07000044,38761,5113,13.19109414
E07000045,56779,6626,11.6698075
E07000046,29396,4397,14.95781739
E07000047,23891,3622,15.1605207
E07000061,46540,4010,8.616244091
E07000062,42499,5036,11.84969058
E07000063,43569,3588,8.23521311
E07000064,42232,3808,9.016859254
E07000065,64713,5189,8.018481603
E07000066,74711,4725,6.324369905
E07000067,62687,5237,8.354204221
E07000068,31462,2196,6.979848706
E07000069,37438,2382,6.362519365
E07000070,71553,4906,6.856456054
E07000071,73643,5766,7.829664734
E07000072,53459,4185,7.828429264
E07000073,35561,2531,7.117347656
E07000074,26517,2422,9.133763246
E07000075,34475,2128,6.172588832
E07000076,63823,5128,8.034721025
E07000077,32181,3120,9.695161741
E07000078,53563,6103,11.39405933
E07000079,38205,5544,14.51118963
E07000080,35924,5066,14.1019931
E07000081,53018,5091,9.602399185
E07000082,50206,5596,11.14607816
E07000083,36980,3460,9.35640887
E07000084,71704,4963,6.921510655
E07000085,48828,3518,7.204882444
E07000086,53930,3271,6.065269794
E07000087,48110,2690,5.591353149
E07000088,36598,2766,7.557790043
E07000089,36725,2302,6.268209666
E07000090,52965,3625,6.844142358
E07000091,79391,5408,6.811855248
E07000092,37641,2656,7.056135597
E07000093,49204,4142,8.418014796
E07000094,48431,4188,8.647353968
E07000095,38656,2560,6.622516556
E07000096,61530,4505,7.321631724
E07000098,40872,2997,7.332648268
E07000099,54869,4403,8.024567606
E07000102,36057,2559,7.097096264
E07000103,37636,3233,8.590179615
E07000105,49409,4125,8.348681414
E07000106,62799,5858,9.328174016
E07000107,41425,2989,7.215449608
E07000108,49844,4891,9.81261536
E07000109,41789,3814,9.126803704
E07000110,65548,5340,8.146701654
E07000111,48594,4233,8.710951969
E07000112,48887,4669,9.550596273
E07000113,57435,5010,8.722904153
E07000114,61479,6229,10.13191496
E07000115,49737,3740,7.519552848
E07000116,48698,4759,9.772475256
E07000117,38195,5147,13.47558581
E07000118,45691,3968,8.684423628
E07000119,35470,3115,8.782069354
E07000120,34927,4544,13.00999227
E07000121,58846,6970,11.84447541
E07000122,37985,5324,14.01605897
E07000123,58542,7276,12.42868368
E07000124,24481,2830,11.55998529
E07000125,29549,3284,11.11374327
E07000126,46904,3659,7.801040423
E07000127,46166,4607,9.979205476
E07000128,48092,4486,9.327954753
E07000129,39619,2844,7.178374012
E07000130,68151,6064,8.897888512
E07000131,35756,2993,8.370623112
E07000132,46479,3994,8.593128079
E07000133,22007,2425,11.01922116
E07000134,40059,3993,9.967797499
E07000135,21895,1787,8.161680749
E07000136,27915,3196,11.44904173
E07000137,62426,7209,11.54807292
E07000138,40802,4736,11.60727415
E07000139,47044,4288,9.114871184
E07000140,38138,3406,8.930725261
E07000141,58727,6045,10.29339146
E07000142,39315,4324,10.99834669
E07000143,56026,5741,10.24702817
E07000144,54789,3955,7.218602274
E07000145,43246,4541,10.5003931
E07000146,64656,6990,10.81106162
E07000147,47350,5670,11.97465681
E07000148,61906,6523,10.53694311
E07000149,54240,5406,9.966814159
E07000163,24891,3382,13.58724037
E07000164,38626,5109,13.22684202
E07000165,68042,7932,11.65750566
E07000166,20482,3112,15.19382873
E07000167,22827,3636,15.92850572
E07000168,50059,6898,13.77973991
E07000169,34992,3284,9.385002286
E07000170,52126,4835,9.275601427
E07000171,48839,5072,10.38514302
E07000172,47984,4388,9.144714905
E07000173,50562,4379,8.660654246
E07000174,46027,4292,9.324961436
E07000175,49982,5026,10.05562002
E07000176,46981,4037,8.592835402
E07000177,58657,4870,8.30250439
E07000178,57247,6840,11.94822436
E07000179,55970,4670,8.343755583
E07000180,51094,4099,8.022468392
E07000181,44753,3798,8.486581905
E07000187,48563,6034,12.4250973
E07000188,51316,6174,12.03133526
E07000189,73169,9487,12.96587353
E07000192,41054,3729,9.083158767
E07000193,47708,5883,12.3312652
E07000194,41642,3937,9.454397003
E07000195,53129,5985,11.26503416
E07000196,44916,4150,9.239469231
E07000197,56245,6212,11.04453729
E07000198,42167,4863,11.53271516
E07000199,31957,2967,9.284350846
E07000200,38591,3985,10.32624187
E07000202,58807,5596,9.515873961
E07000203,41379,4527,10.94033205
E07000207,54669,3967,7.256397593
E07000208,30783,2275,7.390442777
E07000209,55842,4442,7.954586154
E07000210,37019,2806,7.579891407
E07000211,57305,4129,7.205304947
E07000212,33836,2554,7.548173543
E07000213,40858,2870,7.024328161
E07000214,34689,2306,6.647640462
E07000215,34482,2417,7.009454208
E07000216,50941,3969,7.791366483
E07000217,40798,2689,6.591009363
E07000218,26075,2696,10.33940556
E07000219,53229,5203,9.774746849
E07000220,42291,4393,10.38755291
E07000221,52467,6356,12.11428136
E07000222,59254,6429,10.84990043
E07000223,27860,1888,6.776740847
E07000224,68925,4942,7.170112441
E07000225,51492,4867,9.451953702
E07000226,44152,2991,6.774325059
E07000227,56716,4330,7.634529939
E07000228,59259,4493,7.581970671
E07000229,48565,3923,8.077833831
E07000234,38675,3507,9.067873303
E07000235,32521,4582,14.08935765
E07000236,35068,3146,8.971141782
E07000237,42455,4525,10.65834413
E07000238,49981,5569,11.14223405
E07000239,43420,4830,11.12390603
E07000240,57634,4166,7.228372141
E07000241,44839,3607,8.044336404
E07000242,58103,4381,7.540058173
E07000243,35836,2530,7.059939725
E07000244,107412,10446,9.725170372
E07000245,73088,6817,9.327112522
E07000246,65908,7968,12.08957941
E08000001,118303,12452,10.52551499
E08000002,79442,8279,10.42143954
E08000003,208335,30222,14.50644395
E08000004,91288,9728,10.65638419
E08000005,89035,10135,11.38316392
E08000006,105326,11333,10.75992632
E08000007,124087,12185,9.819723259
E08000008,96582,9834,10.18202149
E08000009,96098,9998,10.40396262
E08000010,138692,13750,9.914054163
E08000011,62411,6697,10.7304802
E08000012,209969,29974,14.27544066
E08000013,77066,7927,10.28598863
E08000014,119978,13480,11.23539316
E08000015,142933,15568,10.89181645
E08000016,101973,11505,11.28239828
E08000017,128081,14835,11.58251419
E08000018,109679,11511,10.49517228
E08000019,232940,28787,12.35811797
E08000021,118427,15795,13.33733017
E08000022,92265,9158,9.925757329
E08000023,67929,7984,11.75344845
E08000024,121097,15385,12.70469128
E08000025,414908,58677,14.14217128
E08000026,129899,16822,12.9500612
E08000027,131168,13623,10.3859173
E08000028,122703,15766,12.8489116
E08000029,86902,7917,9.110262134
E08000030,108869,12776,11.7352047
E08000031,103181,13558,13.14001609
E08000032,201806,26621,13.19138182
E08000033,89718,10984,12.24280523
E08000034,175686,20361,11.58942659
E08000035,324810,38613,11.88787291
E08000036,142186,14568,10.24573446
E08000037,90158,10108,11.21142882
E09000001,4404,251,5.699364214
E09000002,70017,7444,10.63170373
E09000003,136601,13761,10.07386476
E09000004,93063,7950,8.542600174
E09000005,110806,12921,11.66092089
E09000006,131478,11160,8.48811208
E09000007,98017,12884,13.14465858
E09000008,145715,14085,9.666129088
E09000009,124653,14014,11.24240893
E09000010,120482,12787,10.61320363
E09000011,101557,10011,9.857518438
E09000012,102161,10768,10.54022572
E09000013,80985,10978,13.55559672
E09000014,102452,13650,13.32331238
E09000015,84666,8686,10.2591359
E09000016,97652,8184,8.380780732
E09000017,100698,9202,9.138215258
E09000018,95342,9513,9.977764259
E09000019,93991,10440,11.10744646
E09000020,78943,11274,14.28119023
E09000021,63940,6422,10.04379105
E09000022,130632,14172,10.84879662
E09000023,116620,12282,10.53164123
E09000024,79167,8384,10.5902712
E09000025,102046,13925,13.64580679
E09000026,99593,10599,10.64231422
E09000027,80220,7598,9.471453503
E09000028,120989,10783,8.912380464
E09000029,78586,6402,8.146489197
E09000030,101733,8210,8.070144398
E09000031,97328,11807,12.13114417
E09000032,131086,13996,10.67696016
E09000033,106259,13672,12.86667482
