Area Codes,households,fuel_poor,proportion
E06000001,41016,5262,12.82913985
E06000002,58011,9057,15.61255624
E06000003,60458,7712,12.75596282
E06000004,80287,9907,12.33948211
E06000005,47332,6663,14.0771571
E06000006,54361,5854,10.76874966
E06000007,86844,8541,9.83487633
E06000008,58486,8162,13.95547652
E06000009,65703,8835,13.44687457
E06000010,114079,15760,13.81498786
E06000011,144997,14736,10.16296889
E06000012,70655,8632,12.21711132
E06000013,71620,7770,10.84892488
E06000014,84694,9779,11.54627246
E06000015,104871,15139,14.43583069
E06000016,126348,22985,18.19181942
E06000017,15389,1744,11.33277016
E06000018,129446,20493,15.8313119
E06000019,79804,13287,16.64954138
E06000020,67827,7903,11.65170212
E06000021,109500,15349,14.0173516
E06000022,77111,9555,12.39122823
E06000023,191219,24574,12.8512334
E06000024,92605,8382,9.051347119
E06000025,112706,9877,8.763508598
E06000026,114545,13778,12.02846043
E06000027,61923,6702,10.82311903
E06000030,92777,8335,8.98390765
E06000031,76558,5935,7.75229238
E06000032,76762,6827,8.893723457
E06000033,77103,6445,8.35894842
E06000034,64459,4359,6.762438139
E06000035,110669,12682,11.45939694
E06000036,47870,3321,6.937539169
E06000037,64926,5446,8.388010966
E06000038,65528,9085,13.86430228
E06000039,52860,6711,12.69580023
E06000040,60777,4976,8.187307699
E06000041,62921,4446,7.066003401
E06000042,102855,8158,7.93155413
E06000043,126536,16074,12.70310425
E06000044,88969,12868,14.4634648
E06000045,102383,12739,12.44249534
E06000046,63595,6730,10.58259297
E06000047,226940,30242,13.32598925
E06000049,162686,16289,10.01253949
E06000050,144311,14627,10.13574849
E06000051,131948,21139,16.02070513
E06000052,241496,34176,14.15178719
E06000053,1046,203,19.40726577
E06000054,203780,23965,11.76023162
E06000055,65930,5582,8.466555438
E06000056,107755,7182,6.665119948
E06000057,140543,18389,13.08425179
E06000058,175087,16209,9.257683323
E06000059,166519,16714,10.03729304
E06000060,209259,17551,8.387213931
E06000061,136020,16477,12.11365976
E06000062,159121,18842,11.84130316
E07000008,48272,5165,10.69978455
E07000009,35732,2626,7.349154819
E07000010,41836,2910,6.955731906
E07000011,71591,4359,6.088754173
E07000012,61942,4484,7.23903006
E07000026,43181,4902,11.35221509
E07000027,31851,4297,13.4909422
E07000028,49275,6038,12.25367834
E07000029,31160,3396,10.89858793
E07000030,23501,3004,12.78243479
E07000031,47506,4821,10.14819181
E07000032,53923,6784,12.5809024
E07000033,33624,3908,11.62265049
E07000034,48000,5882,12.25416667
E07000035,31580,3920,12.41291957
E07000036,49943,6495,13.0048255
E07000037,39969,4965,12.42212715
E07000038,44199,4883,11.04776126
E07000039,39970,4513,11.29096823
E07000040,61850,6489,10.49151172
E07000041,51631,5947,11.51827391
E07000042,34326,4677,13.62524034
E07000043,41888,5500,13.1302521
E07000044,38634,4796,12.41393591
E07000045,56597,6153,10.87160097
E07000046,29308,4156,14.18042855
E07000047,23813,3427,14.39129887
E07000061,46929,4467,9.518634533
E07000062,42832,4859,11.344322
E07000063,43903,3723,8.48005831
E07000064,42586,3986,9.35988353
E07000065,65253,5568,8.532941014
E07000066,75113,4248,5.655479078
E07000067,63048,4861,7.709998731
E07000068,31653,1983,6.264809023
E07000069,37645,2122,5.636870766
E07000070,71951,4441,6.172256119
E07000071,74099,5278,7.122903143
E07000072,53746,3842,7.148438954
E07000073,35775,2305,6.44304682
E07000074,26668,2258,8.467076646
E07000075,34672,1900,5.479926165
E07000076,64182,4735,7.377457854
E07000077,32370,2901,8.962001854
E07000078,53378,5660,10.60361947
E07000079,38078,5216,13.69819843
E07000080,35805,4771,13.32495462
E07000081,52849,4650,8.798652765
E07000082,50032,5196,10.38535337
E07000083,36877,3142,8.520215853
E07000084,72321,5709,7.893972705
E07000085,49250,3818,7.752284264
E07000086,54351,4452,8.191201634
E07000087,48494,3662,7.551449664
E07000088,36898,3597,9.748495853
E07000089,37022,2780,7.509048674
E07000090,53398,4826,9.037791678
E07000091,80024,6511,8.136309107
E07000092,37966,3427,9.026497392
E07000093,49612,4124,8.312505039
E07000094,48834,4228,8.657902281
E07000095,38876,2329,5.990842679
E07000096,61866,4138,6.688649662
E07000098,41085,2748,6.688572472
E07000099,55193,4049,7.336075227
E07000102,36278,2308,6.361982469
E07000103,37824,3019,7.981704738
E07000105,49812,4713,9.461575524
E07000106,63287,6914,10.92483448
E07000107,41766,3624,8.676914236
E07000108,50249,5407,10.76041314
E07000109,42136,4560,10.82209987
E07000110,66088,6406,9.693136424
E07000111,48978,3904,7.970925722
E07000112,49255,5097,10.348188
E07000113,57918,5954,10.28005111
E07000114,61962,6989,11.27949388
E07000115,50159,4166,8.305588229
E07000116,49089,4763,9.702784738
E07000117,38309,5611,14.64668877
E07000118,45830,4494,9.805804058
E07000119,35564,3038,8.542346193
E07000120,35029,5050,14.41662622
E07000121,59013,7530,12.75990036
E07000122,38092,6027,15.82221989
E07000123,58723,8218,13.99451663
E07000124,24545,2608,10.62538195
E07000125,29631,3608,12.17643684
E07000126,47039,4672,9.932183932
E07000127,46301,4542,9.809723332
E07000128,48255,4739,9.820743964
E07000129,39665,3973,10.01638724
E07000130,68248,8540,12.5131872
E07000131,35804,3546,9.90392135
E07000132,46554,5219,11.21063711
E07000133,22047,2826,12.81807049
E07000134,40113,4535,11.30556179
E07000135,21935,2628,11.98085252
E07000136,27949,3883,13.89316255
E07000137,62513,7969,12.74774847
E07000138,40851,5982,14.64346038
E07000139,47091,4843,10.28434308
E07000140,38197,4442,11.62918554
E07000141,58801,6828,11.61204741
E07000142,39376,5017,12.74126371
E07000143,56348,5367,9.524739121
E07000144,55105,3619,6.567462118
E07000145,43496,4276,9.830789038
E07000146,65018,6567,10.10027992
E07000147,47616,5357,11.25042003
E07000148,62232,6146,9.875948065
E07000149,54575,5057,9.266147503
E07000163,24922,3124,12.53510954
E07000164,38672,4124,10.66404634
E07000165,68116,7074,10.3852252
E07000166,20509,2518,12.27753669
E07000167,22868,3043,13.30680427
E07000168,50101,6181,12.3370791
E07000169,35033,3213,9.171352725
E07000170,52228,6193,11.85762426
E07000171,48929,5678,11.60456989
E07000172,48045,5716,11.89717973
E07000173,50626,5789,11.43483586
E07000174,46091,5560,12.06309258
E07000175,50060,5946,11.8777467
E07000176,47034,4695,9.982140579
E07000177,59131,5481,9.269249632
E07000178,57729,7406,12.82890748
E07000179,56431,4809,8.521911715
E07000180,51528,4306,8.356621643
E07000181,45119,3913,8.67262129
E07000187,48411,5626,11.62132573
E07000188,51156,5748,11.23621863
E07000189,72911,8870,12.16551686
E07000192,41380,4347,10.50507492
E07000193,48081,6631,13.7913105
E07000194,41976,4597,10.95149609
E07000195,53533,6840,12.77716549
E07000196,45267,4859,10.73408885
E07000197,56689,7087,12.50154351
E07000198,42522,5506,12.94859132
E07000199,32192,3463,10.75733101
E07000200,38826,3737,9.624993561
E07000202,59136,5239,8.859239719
E07000203,41582,4258,10.2400077
E07000207,55114,3475,6.305113038
E07000208,31011,2336,7.532810938
E07000209,56339,5049,8.961820409
E07000210,37312,2865,7.678494854
E07000211,57777,4346,7.522024335
E07000212,34119,2820,8.265189484
E07000213,41183,3163,7.680353544
E07000214,34993,2672,7.635812877
E07000215,34777,2638,7.585473158
E07000216,51358,4033,7.852720122
E07000217,41122,3182,7.737950489
E07000218,26300,3123,11.87452471
E07000219,53623,6034,11.25263413
E07000220,42622,5038,11.82018676
E07000221,52903,7203,13.61548494
E07000222,59749,7376,12.34497648
E07000223,28094,2425,8.631736314
E07000224,69500,6139,8.833093525
E07000225,51906,4847,9.338034139
E07000226,44528,3769,8.464337046
E07000227,57172,4382,7.664591059
E07000228,59731,4816,8.062814954
E07000229,48948,4499,9.191386778
E07000234,38964,4124,10.58412894
E07000235,32795,5100,15.55115109
E07000236,35323,3696,10.46343742
E07000237,42792,5181,12.10740325
E07000238,50362,6398,12.70402287
E07000239,43741,5502,12.5785876
E07000240,57938,3820,6.593254859
E07000241,45091,3327,7.378412544
E07000242,58434,4030,6.896669747
E07000243,36045,2316,6.425301706
E07000244,108033,9737,9.012986773
E07000245,73515,6335,8.617288989
E07000246,65687,7393,11.25489062
E08000001,118662,14811,12.48167063
E08000002,79708,8938,11.21342902
E08000003,208928,31939,15.28708455
E08000004,91541,11032,12.05143051
E08000005,89308,11034,12.35499619
E08000006,105638,12076,11.43149246
E08000007,124472,12746,10.24005399
E08000008,96846,11512,11.88691324
E08000009,96386,9519,9.875915589
E08000010,139097,15216,10.93912881
E08000011,62600,6924,11.06070288
E08000012,210601,30210,14.34466123
E08000013,77295,8429,10.90497445
E08000014,120325,13169,10.94452524
E08000015,143347,16028,11.18125946
E08000016,102086,11572,11.33554062
E08000017,128226,14511,11.31673764
E08000018,109821,11670,10.62638293
E08000019,233110,28708,12.31521599
E08000021,118817,17604,14.81606167
E08000022,92576,10300,11.12599378
E08000023,68147,8364,12.27346765
E08000024,121491,16997,13.99033673
E08000025,418199,65117,15.57081676
E08000026,130907,18878,14.42092478
E08000027,132185,15648,11.83795438
E08000028,123652,17684,14.30142658
E08000029,87584,9261,10.5738491
E08000030,109737,14458,13.17513692
E08000031,103970,15158,14.57920554
E08000032,201995,30380,15.03997624
E08000033,89795,12170,13.55309316
E08000034,175820,24570,13.97451939
E08000035,324995,43871,13.49897691
E08000036,142303,15547,10.92527916
E08000037,90465,11445,12.65130161
E09000001,4456,216,4.847396768
E09000002,70973,7117,10.02775703
E09000003,138304,12729,9.203638362
E09000004,94290,7202,7.63813766
E09000005,112210,14702,13.10221905
E09000006,133233,9210,6.912701808
E09000007,99264,9859,9.932100258
E09000008,147611,14815,10.03651489
E09000009,126309,14363,11.37131954
E09000010,122013,11334,9.289174104
E09000011,102919,9467,9.198495905
E09000012,103419,10155,9.819278856
E09000013,82033,8747,10.66278205
E09000014,103718,13033,12.56580343
E09000015,85773,10104,11.77993075
E09000016,98941,7726,7.80869407
E09000017,102052,9823,9.625485047
E09000018,96560,11268,11.66942833
E09000019,95172,9293,9.764426512
E09000020,80004,6975,8.718314084
E09000021,64797,6072,9.370804204
E09000022,132268,13287,10.04551365
E09000023,118129,12045,10.19648012
E09000024,80252,8151,10.15675622
E09000025,103415,16195,15.66020403
E09000026,100885,11570,11.46850374
E09000027,81241,5995,7.379278936
E09000028,122494,10718,8.749816318
E09000029,79607,5994,7.529488613
E09000030,102982,10871,10.55621371
E09000031,98585,13033,13.2200639
E09000032,132762,13069,9.843931245
E09000033,107584,10067,9.357339381
