"Area.Codes","households","fuel_poor","proportion"
"E06000001",39671,8586,21.6430137884097
"E06000002",56144,15730,28.0172413793103
"E06000003",58500,12399,21.1948717948718
"E06000004",77665,14899,19.1836734693878
"E06000005",45813,10077,21.9959400170257
"E06000006",52722,9004,17.0782595500929
"E06000007",84202,12921,15.3452412056721
"E06000008",56726,14763,26.0251031273138
"E06000009",63630,16011,25.1626591230552
"E06000010",115099,23791,20.6700318855941
"E06000011",146252,22629,15.4726089215874
"E06000012",71283,13325,18.6930965307296
"E06000013",72252,11578,16.0244699108675
"E06000014",85422,14430,16.892603778886
"E06000015",104376,30993,29.693607725914
"E06000016",125774,49794,39.5900583586433
"E06000017",15320,3404,22.2193211488251
"E06000018",128819,43985,34.1448078311429
"E06000019",76472,23257,30.4124385395962
"E06000020",65071,13346,20.509904565782
"E06000021",105113,31423,29.8944944963991
"E06000022",75847,13422,17.6961514628133
"E06000023",188220,38718,20.57060886197
"E06000024",91047,12304,13.5138994145881
"E06000025",110874,13915,12.5502823024334
"E06000026",112703,21546,19.1175035269691
"E06000027",60890,11140,18.2952865823616
"E06000030",91212,12953,14.2009823268868
"E06000031",73145,13042,17.8303370018456
"E06000032",73410,18306,24.936657131181
"E06000033",73805,12668,17.1641487704085
"E06000034",61598,8552,13.8835676483003
"E06000035",106126,17006,16.0243484160338
"E06000036",45842,4155,9.06374067449064
"E06000037",62286,7659,12.2965032270494
"E06000038",62815,12453,19.8248825917376
"E06000039",50726,9469,18.6669558017585
"E06000040",58304,8000,13.7211855104281
"E06000041",60284,6244,10.3576405016256
"E06000042",98489,9983,10.1361573373676
"E06000043",121434,24226,19.9499316501145
"E06000044",85400,16952,19.8501170960187
"E06000045",98183,18394,18.7344041229133
"E06000046",61040,10786,17.670380078637
"E06000047",219725,46647,21.2297189668904
"E06000049",157652,27729,17.5887397559181
"E06000050",139867,24331,17.3958117354344
"E06000051",126825,36404,28.7041198501873
"E06000052",237557,50345,21.192808462811
"E06000053",1025,376,36.6829268292683
"E06000054",200358,29606,14.7765499755438
"E06000055",63057,11558,18.3294479597824
"E06000056",103226,13805,13.3735686745587
"E06000057",135954,29777,21.9022610588876
"E06000058",172339,27208,15.7874886125601
"E06000059",163750,25289,15.4436641221374
"E06000060",200528,28285,14.1052621080348
"E06000061",135367,28274,20.8869222188569
"E06000062",158409,32857,20.7418770398147
"E07000008",46157,11322,24.5293238295383
"E07000009",34210,4576,13.3762057877814
"E07000010",40197,6132,15.2548697664005
"E07000011",68537,8076,11.7834162569123
"E07000012",59234,8046,13.5834149306142
"E07000026",41901,8826,21.0639364215651
"E07000027",30877,7518,24.3482203581954
"E07000028",47828,9655,20.1869197959354
"E07000029",30169,5868,19.4504292485664
"E07000030",22776,5498,24.139445029856
"E07000031",46021,9931,21.579279024793
"E07000032",53681,13165,24.5245058773123
"E07000033",33465,7725,23.0838189152846
"E07000034",47770,11564,24.2076617123718
"E07000035",31430,9146,29.0995863824372
"E07000036",49722,11694,23.518764329673
"E07000037",39760,9823,24.7057344064386
"E07000038",43985,9745,22.1552802091622
"E07000039",39785,8171,20.5378911650119
"E07000040",60867,10351,17.0059309642335
"E07000041",50790,10100,19.8858042921835
"E07000042",33774,6584,19.4942855450939
"E07000043",41213,8437,20.4716958241332
"E07000044",38002,7193,18.9279511604652
"E07000045",55679,9618,17.2740171339284
"E07000046",28838,6138,21.2844163950343
"E07000047",23425,5067,21.6307363927428
"E07000061",44977,6596,14.6652733619405
"E07000062",41127,8258,20.0792666618037
"E07000063",42151,5673,13.4587554269175
"E07000064",40848,6702,16.4071680376028
"E07000065",62622,9077,14.4949059435981
"E07000066",71911,8098,11.2611422452754
"E07000067",60339,9053,15.0035632012463
"E07000068",30291,4323,14.2715658116272
"E07000069",36015,4404,12.2282382340691
