"Area.Codes","households","fuel_poor","proportion"
"E06000001",41016,7998,19.4997074312463
"E06000002",58011,13767,23.731706055748
"E06000003",60458,11722,19.3886665122895
"E06000004",80287,15059,18.7564611954613
"E06000005",47332,10128,21.3977858531226
"E06000006",54361,8898,16.3683523113997
"E06000007",86844,12982,14.9486435447469
"E06000008",58486,12406,21.2119139623158
"E06000009",65703,13429,20.4389449492413
"E06000010",114079,23955,20.9986062290167
"E06000011",144997,22399,15.4479058187411
"E06000012",70655,13121,18.5705187177128
"E06000013",71620,11810,16.4898073163921
"E06000014",84694,14864,17.5502396864005
"E06000015",104871,23011,21.9421956498937
"E06000016",126348,34937,27.6514072244911
"E06000017",15389,2651,17.2265904217298
"E06000018",129446,31149,24.0633159773187
"E06000019",79804,20196,25.3070021552804
"E06000020",67827,12013,17.7112359384906
"E06000021",109500,23330,21.3059360730594
"E06000022",77111,14524,18.8351856414779
"E06000023",191219,37352,19.5336237507779
"E06000024",92605,12741,13.7584363695265
"E06000025",112706,15013,13.3204975777687
"E06000026",114545,20943,18.2836439827142
"E06000027",61923,10187,16.4510763367408
"E06000030",92777,12669,13.6553240566089
"E06000031",76558,9021,11.783223177199
"E06000032",76762,10377,13.5184075454001
"E06000033",77103,9796,12.7050828113044
"E06000034",64459,6626,10.2794024108348
"E06000035",110669,19277,17.4186086437937
"E06000036",47870,5048,10.5452266555254
"E06000037",64926,8278,12.7498998860241
"E06000038",65528,13809,21.0734342571115
"E06000039",52860,10201,19.2981460461597
"E06000040",60777,7564,12.4454974743735
"E06000041",62921,6758,10.7404523132182
"E06000042",102855,12400,12.0558067181955
"E06000043",126536,24432,19.3083391287855
"E06000044",88969,19559,21.9840618642449
"E06000045",102383,19363,18.91231942803
"E06000046",63595,10230,16.086170296407
"E06000047",226940,45968,20.2555741605711
"E06000049",162686,24759,15.2188879190588
"E06000050",144311,22233,15.4063099833
"E06000051",131948,32131,24.3512595871101
"E06000052",241496,51948,21.5109152946633
"E06000053",1046,309,29.5411089866157
"E06000054",203780,36427,17.8756502110119
"E06000055",65930,8485,12.8697102988018
"E06000056",107755,10917,10.1313164122315
"E06000057",140543,27951,19.8878635008503
"E06000058",175087,24638,14.0718614174667
"E06000059",166519,25405,15.256517274305
"E06000060",209259,26678,12.7487945560287
"E06000061",136020,25045,18.4127334215557
"E06000062",159121,28640,17.998881354441
"E07000008",48272,7851,16.264086841233
"E07000009",35732,3992,11.1720586589052
"E07000010",41836,4423,10.5722344392389
"E07000011",71591,6626,9.25535332653546
"E07000012",61942,6816,11.0038423040909
"E07000026",43181,7451,17.2552743104606
"E07000027",31851,6531,20.5048507111237
"E07000028",49275,9178,18.6260781329274
"E07000029",31160,5162,16.5661103979461
"E07000030",23501,4566,19.4289604697672
"E07000031",47506,7328,15.4254199469541
"E07000032",53923,10312,19.1235650835451
"E07000033",33624,5940,17.6659528907923
"E07000034",48000,8941,18.6270833333333
"E07000035",31580,5958,18.8663711209626
"E07000036",49943,9872,19.7665338485874
"E07000037",39969,7547,18.8821336535815
"E07000038",44199,7422,16.7922351184416
"E07000039",39970,6860,17.1628721541156
"E07000040",61850,9863,15.946645109135
"E07000041",51631,9039,17.5069241347253
"E07000042",34326,7109,20.7102487910039
"E07000043",41888,8360,19.9579831932773
"E07000044",38634,7290,18.869389656779
"E07000045",56597,9353,16.5256108981041
"E07000046",29308,6317,21.5538419544152
"E07000047",23813,5209,21.8746063074791
"E07000061",46929,6790,14.4686654307571
"E07000062",42832,7386,17.244116548375
"E07000063",43903,5659,12.8897797417033
"E07000064",42586,6059,14.2276804583666
"E07000065",65253,8463,12.969518642821
"E07000066",75113,6457,8.59638145194574
"E07000067",63048,7389,11.7196421773887
"E07000068",31653,3014,9.522004233406
"E07000069",37645,3225,8.56687475096294
"E07000070",71951,6750,9.3813845533766
"E07000071",74099,8023,10.8274065776866
"E07000072",53746,5840,10.8659249060395
"E07000073",35775,3504,9.79454926624738
"E07000074",26668,3432,12.8693565321734
"E07000075",34672,2888,8.32948777111214
"E07000076",64182,7197,11.213424324577
"E07000077",32370,4410,13.6237256719184
"E07000078",53378,8603,16.117126906216
"E07000079",38078,7928,20.8204212406114
"E07000080",35805,7252,20.2541544477028
"E07000081",52849,7068,13.3739522034476
"E07000082",50032,7898,15.7858970259034
"E07000083",36877,4776,12.9511619708762
"E07000084",72321,8678,11.9992809833935
"E07000085",49250,5803,11.7827411167513
"E07000086",54351,6767,12.4505528877114
"E07000087",48494,5566,11.4777085825051
"E07000088",36898,5467,14.8165212206624
"E07000089",37022,4226,11.4148344227756
"E07000090",53398,7336,13.7383422600097
"E07000091",80024,9897,12.3675397380786
"E07000092",37966,5209,13.7201706790286
"E07000093",49612,6268,12.6340401515762
"E07000094",48834,6427,13.1609124790105
"E07000095",38876,3540,9.10587509002984
"E07000096",61866,6290,10.1671354217179
"E07000098",41085,4177,10.1667275161251
"E07000099",55193,6154,11.1499646694327
"E07000102",36278,3508,9.669772313799
"E07000103",37824,4589,12.1325084602369
"E07000105",49812,7164,14.3820766080463
"E07000106",63287,10509,16.6053059870116
"E07000107",41766,5508,13.1877603792559
